DATE,RANG,TICKER,S1,S2,S3,S4,S5,SCORE,POSITION,MOMENTUM,VERDICT_REGLE
2021-12-31,1,MC.PA,2,1,1,2,0,6,74.0,32.85,ATTENTE
2021-12-31,2,BNP.PA,2,1,1,2,0,6,97.7,31.64,ATTENTE
2021-12-31,3,SU.PA,2,1,1,2,0,6,87.5,29.58,ATTENTE
2021-12-31,4,TTE.PA,2,1,1,2,0,6,75.3,19.78,ATTENTE
2021-12-31,5,CAP.PA,2,1,0,2,0,5,41.8,67.92,ATTENTE
2021-12-31,6,RI.PA,2,1,0,2,0,5,21.2,31.71,ATTENTE
2021-12-31,7,OR.PA,2,0,0,2,0,4,24.5,32.04,ATTENTE
2021-12-31,8,SAN.PA,0,1,1,2,0,4,81.7,10.33,ATTENTE
2021-12-31,9,AI.PA,2,0,0,1,0,3,42.1,9.24,ATTENTE
2021-12-31,10,DG.PA,0,1,1,1,0,3,100.0,8.29,ATTENTE
2021-12-31,11,AIR.PA,-2,1,1,2,0,2,93.1,12.61,ATTENTE
2021-12-31,12,ORA.PA,0,1,1,-1,0,1,66.8,-2.94,ATTENTE
2022-01-31,1,TTE.PA,2,1,1,2,0,6,75.1,35.85,ATTENTE
2022-01-31,2,SAN.PA,2,1,1,2,0,6,61.0,14.16,ATTENTE
2022-01-31,3,BNP.PA,2,0,1,2,0,5,52.0,45.13,ATTENTE
2022-01-31,4,DG.PA,2,1,0,2,0,5,28.4,11.38,ATTENTE
2022-01-31,5,ORA.PA,2,1,1,1,0,5,93.3,5.0,ATTENTE
2022-01-31,6,MC.PA,2,-1,1,2,0,4,55.4,36.84,ATTENTE
2022-01-31,7,CAP.PA,2,-1,0,2,0,3,28.6,64.19,ATTENTE
2022-01-31,8,SU.PA,2,-1,-1,2,0,2,11.6,42.79,ATTENTE
2022-01-31,9,OR.PA,2,-1,-1,2,0,2,16.4,34.87,ATTENTE
2022-01-31,10,RI.PA,2,-1,-1,2,0,2,1.2,31.21,ATTENTE
2022-01-31,11,AI.PA,2,-1,-1,2,0,2,13.4,13.71,ATTENTE
2022-01-31,12,AIR.PA,-2,-1,0,2,0,-1,34.0,21.51,ATTENTE
2022-02-28,1,ORA.PA,2,1,1,2,0,6,82.3,14.62,ATTENTE
2022-02-28,2,SAN.PA,2,0,1,2,0,5,59.7,23.2,ATTENTE
2022-02-28,3,SU.PA,2,-1,1,2,0,4,74.9,20.13,ATTENTE
2022-02-28,4,AI.PA,2,0,0,2,0,4,37.1,18.1,ATTENTE
2022-02-28,5,CAP.PA,2,-1,0,2,0,3,26.7,35.86,ATTENTE
2022-02-28,6,MC.PA,2,-1,0,2,0,3,22.1,33.92,ATTENTE
2022-02-28,7,RI.PA,0,0,1,2,0,3,89.6,23.31,ATTENTE
2022-02-28,8,DG.PA,2,0,-1,2,0,3,19.1,11.35,ATTENTE
2022-02-28,9,AIR.PA,0,0,1,2,0,3,62.6,11.09,ATTENTE
2022-02-28,10,TTE.PA,2,-1,-1,2,0,2,8.2,34.56,ATTENTE
2022-02-28,11,BNP.PA,2,-1,-1,2,0,2,5.1,25.21,ATTENTE
2022-02-28,12,OR.PA,0,-1,1,2,0,2,95.0,19.72,ATTENTE
2022-03-31,1,TTE.PA,2,1,1,2,0,6,50.0,33.04,ATTENTE
2022-03-31,2,ORA.PA,2,1,0,2,0,5,32.2,14.6,ATTENTE
2022-03-31,3,SAN.PA,2,0,1,2,0,5,61.4,12.94,ATTENTE
2022-03-31,4,AIR.PA,0,1,1,2,0,4,69.9,11.46,ATTENTE
