DATE,TICKER,CLOSE,TEND_120,TEND_20,POSITION,ALPHA,ALPHA_BAS,ALPHA_HAUT,MOMENTUM,VETOS,VERDICT
2021-12-31,AIR.PA,103.0830078125,-1.0,1.0,93.1,-20.6,-72.7,31.51,12.61,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2021-12-31,MC.PA,662.712158203125,1.0,1.0,74.0,15.9,-8.24,40.04,32.85,aucun,ATTENTE
2021-12-31,OR.PA,384.5305480957031,1.0,0.0,24.5,14.6,-9.17,38.37,32.04,aucun,ATTENTE
2021-12-31,SAN.PA,71.49210357666016,0.0,1.0,81.7,-3.01,-28.89,22.87,10.33,aucun,ATTENTE
2021-12-31,BNP.PA,43.76030349731445,1.0,1.0,97.7,-5.55,-41.08,29.98,31.64,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2021-12-31,TTE.PA,34.003055572509766,1.0,1.0,75.3,-11.38,-44.84,22.08,19.78,aucun,ATTENTE
2021-12-31,SU.PA,157.42971801757812,1.0,1.0,87.5,20.46,-3.29,44.22,29.58,aucun,ATTENTE
2021-12-31,AI.PA,104.99873352050781,1.0,0.0,42.1,1.94,-18.77,22.65,9.24,aucun,ATTENTE
2021-12-31,DG.PA,77.42694854736328,0.0,1.0,100.0,-16.67,-45.62,12.28,8.29,aucun,ATTENTE
2021-12-31,CAP.PA,194.02125549316406,1.0,1.0,41.8,23.35,-9.97,56.68,67.92,aucun,ATTENTE
2021-12-31,RI.PA,176.52908325195312,1.0,1.0,21.2,7.2,-15.46,29.85,31.71,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2021-12-31,ORA.PA,7.10178804397583,0.0,1.0,66.8,-17.54,-43.46,8.39,-2.94,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2022-01-31,AIR.PA,102.8628158569336,-1.0,-1.0,34.0,-19.19,-69.49,31.1,21.51,aucun,ATTENTE
2022-01-31,MC.PA,658.7012939453125,1.0,-1.0,55.4,15.32,-8.79,39.43,36.84,veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2022-01-31,OR.PA,347.5484924316406,1.0,-1.0,16.4,9.45,-14.13,33.03,34.87,veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2022-01-31,SAN.PA,74.857666015625,1.0,1.0,61.0,-0.58,-26.0,24.84,14.16,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2022-01-31,BNP.PA,45.36611557006836,1.0,0.0,52.0,-2.98,-37.72,31.77,45.13,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2022-01-31,TTE.PA,38.83634567260742,1.0,1.0,75.1,-4.11,-36.82,28.61,35.85,aucun,ATTENTE
