DATE,ESPECES,TITRES,TOTAL,BASE100,REFERENCE100
2022-01-03,802.55,9174.51,9977.07,99.7707,100.0
2022-01-04,802.55,9340.85,10143.4,101.434,101.5565
2022-01-05,802.55,9355.5,10158.06,101.5806,101.8349
2022-01-06,802.55,9180.89,9983.44,99.8344,100.0148
2022-01-07,802.55,9136.15,9938.7,99.387,99.437
2022-01-10,802.55,8962.45,9765.0,97.65,98.6056
2022-01-11,802.55,9118.42,9920.97,99.2097,99.5225
2022-01-12,802.55,9285.23,10087.78,100.8778,100.4156
2022-01-13,802.55,9269.35,10071.9,100.719,99.971
2022-01-14,802.55,9175.81,9978.37,99.7837,99.5713
2022-01-17,802.55,9249.31,10051.86,100.5186,100.2379
2022-01-18,802.55,9192.08,9994.64,99.9464,99.4824
2022-01-19,802.55,9287.1,10089.65,100.8965,100.0639
2022-01-20,802.55,9266.68,10069.23,100.6923,100.3491
2022-01-21,802.55,9080.03,9882.59,98.8259,98.8325
2022-01-24,802.55,8664.4,9466.96,94.6696,95.493
2022-01-25,802.55,8774.47,9577.02,95.7702,96.4097
2022-01-26,802.55,9011.96,9814.51,98.1451,98.3472
2022-01-27,802.55,9078.89,9881.45,98.8145,99.2794
2022-01-28,802.55,8992.74,9795.29,97.9529,98.4051
2022-01-31,802.55,9025.2,9827.76,98.2776,98.5604
2022-02-01,63.37,9892.91,9956.29,99.5629,99.6417
2022-02-02,63.37,9868.26,9931.64,99.3164,99.817
2022-02-03,63.37,9720.77,9784.14,97.8414,98.3671
2022-02-04,63.37,9727.97,9791.34,97.9134,97.8785
2022-02-07,63.37,9888.53,9951.91,99.5191,98.9126
2022-02-08,63.37,9900.59,9963.97,99.6397,99.4353
2022-02-09,63.37,10038.55,10101.92,101.0192,100.6488
2022-02-10,63.37,9966.64,10030.01,100.3001,100.3589
2022-02-11,63.37,9893.35,9956.72,99.5672,99.5547
2022-02-14,63.37,9635.58,9698.95,96.9895,97.4914
2022-02-15,63.37,9716.11,9779.48,97.7948,98.8049
2022-02-16,63.37,9655.46,9718.83,97.1883,98.5177
2022-02-17,63.37,9618.81,9682.19,96.8219,98.5156
2022-02-18,63.37,9606.79,9670.16,96.7016,98.5333
2022-02-21,63.37,9464.43,9527.8,95.278,96.578
2022-02-22,63.37,9465.77,9529.15,95.2915,96.6762
2022-02-23,63.37,9443.19,9506.57,95.0657,96.4519
