DATE,TICKER,SOUS_BAS,TAUX_20_POSITIF,AU_DESSUS_HAUT,REPLI_SOUS_SEUIL,SOUS_ECHANTILLON,RENDEMENT_20
2022-01-07,ENGI.PA,non,oui,non,non,oui,6.4453
2022-01-07,AC.PA,non,oui,non,non,oui,3.3322
2022-01-07,EN.PA,non,oui,non,non,oui,-2.9777
2022-01-07,TTE.PA,non,oui,non,non,oui,9.7073
2022-01-07,SAF.PA,non,oui,non,non,oui,-5.3495
2022-01-07,AIR.PA,non,oui,oui,non,oui,-6.2702
2022-01-07,PUB.PA,non,oui,non,non,oui,5.1645
2022-01-07,SGO.PA,non,oui,oui,non,oui,-8.9538
2022-01-07,MC.PA,non,oui,non,non,oui,-1.3551
2022-01-07,CAP.PA,oui,oui,non,non,oui,-3.4733
2022-01-14,ENGI.PA,non,oui,oui,non,non,4.6954
2022-01-14,AC.PA,non,oui,oui,non,non,4.9487
2022-01-14,EN.PA,non,oui,oui,non,non,-0.612
2022-01-14,TTE.PA,non,oui,oui,non,non,5.481
2022-01-14,SAF.PA,non,oui,non,non,non,1.9681
2022-01-14,AIR.PA,non,oui,oui,non,non,0.9886
2022-01-14,PUB.PA,non,oui,non,non,non,6.4952
2022-01-14,SGO.PA,non,oui,oui,non,non,-6.0757
2022-01-14,MC.PA,oui,non,non,non,non,1.4214
2022-01-14,CAP.PA,oui,non,non,non,non,-0.8052
2022-01-21,ENGI.PA,non,oui,non,non,non,6.895
2022-01-21,AC.PA,non,oui,oui,non,non,1.575
2022-01-21,EN.PA,non,oui,non,non,non,3.1546
2022-01-21,TTE.PA,non,oui,oui,non,non,2.0959
2022-01-21,SAF.PA,non,oui,non,non,non,2.0694
2022-01-21,AIR.PA,non,oui,non,non,non,1.4109
2022-01-21,PUB.PA,non,oui,non,non,non,3.438
2022-01-21,SGO.PA,non,oui,non,non,non,-2.3215
2022-01-21,MC.PA,non,non,non,non,non,-1.5634
2022-01-21,CAP.PA,non,non,non,non,non,-8.4892
2022-01-28,ENGI.PA,non,oui,non,non,non,6.3284
2022-01-28,AC.PA,non,oui,oui,non,non,-2.1542
2022-01-28,EN.PA,non,non,non,non,non,1.2071
2022-01-28,TTE.PA,non,oui,oui,non,non,-5.7963
2022-01-28,SAF.PA,oui,non,non,non,non,10.1982
2022-01-28,AIR.PA,non,non,non,non,non,4.0761
2022-01-28,PUB.PA,non,non,non,non,non,0.5023
2022-01-28,SGO.PA,oui,non,non,non,non,-0.2925
2022-01-28,MC.PA,non,non,non,non,non,-6.9514
2022-01-28,CAP.PA,oui,non,non,non,non,-1.9948
2022-02-04,ENGI.PA,non,oui,oui,non,oui,-23.9081
2022-02-04,AC.PA,non,oui,non,non,oui,-17.4518
2022-02-04,EN.PA,non,non,non,non,oui,-3.8044
2022-02-04,TTE.PA,non,oui,non,non,oui,-12.6938
2022-02-04,SAF.PA,non,non,non,non,oui,-8.6285
2022-02-04,AIR.PA,non,non,non,non,oui,-11.9833
2022-02-04,PUB.PA,non,oui,oui,non,oui,-21.0197
2022-02-04,SGO.PA,oui,non,non,non,oui,-15.1402
2022-02-04,MC.PA,oui,oui,non,non,oui,-18.1702
2022-02-04,CAP.PA,oui,non,non,non,oui,-11.3383
2022-02-11,ENGI.PA,non,oui,oui,non,non,-23.8547
2022-02-11,AC.PA,non,oui,oui,non,non,-18.2088
2022-02-11,EN.PA,non,non,oui,non,non,-2.4938
2022-02-11,TTE.PA,non,oui,oui,non,non,-12.7464
2022-02-11,SAF.PA,non,oui,oui,non,non,-9.4592
2022-02-11,AIR.PA,non,oui,oui,non,non,-12.6076
2022-02-11,PUB.PA,non,oui,oui,non,non,-14.3344
2022-02-11,SGO.PA,non,non,non,non,non,-12.199
2022-02-11,MC.PA,oui,oui,non,non,non,-13.1533
2022-02-11,CAP.PA,oui,non,non,non,non,-11.2126
2022-02-18,ENGI.PA,non,oui,non,non,non,-16.6298
2022-02-18,AC.PA,non,oui,non,non,non,-13.1043
