TICKER,ACHAT,SORTIE,MOTIF,TRANCHES,QUANTITE,PRIX_PREMIERE_TRANCHE,PRIX_ACHAT,PRIX_SORTIE,SEUIL_REGLE_4,SEUIL_REGLE_7,SEANCES,PLUS_VALUE,REPLI_PREMIERE,REPLI_MOYEN,REPLI_LOW,CONTRIBUTION
CAP.PA,2022-01-10,2022-03-09,REGLE-7,2,10,180.4263,174.5066,154.7668,172.9168,153.3623,43,-11.3118,-16.8912,-14.072,-18.0639,-206.4196
MC.PA,2022-02-07,2022-03-07,REGLE-7,3,5,647.2154,616.0579,505.0104,622.4215,550.1331,21,-18.0255,-20.0282,-15.9835,-23.3944,-570.9248
ENGI.PA,2022-03-28,2022-05-23,VENTE,1,115,7.9742,7.9742,9.3266,7.3373,6.778,39,16.96,-2.983,-2.983,-6.2712,150.4886
PUB.PA,2022-04-04,2022-06-14,REGLE-7,2,42,44.7148,43.3655,37.7241,42.3498,38.0076,50,-13.009,-16.5036,-13.9057,-17.2826,-246.3208
SGO.PA,2022-04-04,2022-05-30,VENTE,1,19,47.0544,47.0544,47.9718,44.1208,39.9962,39,1.9496,-8.1203,-8.1203,-10.0331,12.6717
TTE.PA,2022-04-11,2022-05-23,VENTE,1,25,35.8108,35.8108,41.1935,33.8358,30.4392,29,15.0307,-3.5276,-3.5276,-3.5824,129.6658
AC.PA,2022-08-01,2022-09-26,REGLE-7,1,41,22.3725,22.3725,18.3952,20.7512,19.0167,41,-17.7778,-16.8254,-16.8254,-18.7698,-167.7449
TTE.PA,2023-02-20,2023-07-31,VENTE,3,75,48.9733,47.337,46.4736,47.0948,41.6273,113,-1.8239,-11.9458,-8.9021,-12.708,-83.4952
MC.PA,2023-02-27,2023-04-17,VENTE,1,1,731.8194,731.8194,829.482,698.5965,622.0465,34,13.3452,-1.7252,-1.7252,-2.6259,93.6717
SAF.PA,2023-03-13,2023-07-31,VENTE,2,14,128.1309,125.3221,145.8035,124.8915,108.9112,98,16.3431,-4.878,-2.7461,-6.3594,277.1117
SGO.PA,2023-03-13,2023-06-19,VENTE,2,37,49.5765,47.4489,51.6868,48.2579,42.14,68,8.9316,-11.844,-7.8911,-12.2394,147.3181
PUB.PA,2023-06-05,2023-07-31,VENTE,1,15,60.5867,60.5867,65.2093,56.6805,51.4987,41,7.6298,-1.4378,-1.4378,-1.5788,64.4429
ENGI.PA,2023-06-26,2023-11-20,VENTE,1,80,11.3573,11.3573,12.4432,10.9424,9.6537,106,9.5607,-1.4221,-1.4221,-2.6753,81.9516
MC.PA,2023-06-26,2023-09-27,REGLE-7,2,2,783.201,755.1794,658.6711,750.9879,665.7209,68,-12.7795,-16.5333,-13.4362,-16.7603,-200.7997
AIR.PA,2023-09-18,2023-11-20,VENTE,2,15,124.0201,120.1945,125.2471,121.5852,105.4171,46,4.2037,-7.7169,-4.7796,-8.4627,71.5562
AC.PA,2023-09-25,2023-12-04,VENTE,2,62,30.1021,29.7398,29.6985,29.5126,25.5868,51,-0.1388,-10.0548,-8.9591,-15.5698,-12.3283
SAF.PA,2023-10-23,2023-11-20,VENTE,2,18,140.6924,142.4864,155.1546,137.4812,119.5885,21,8.8908,0.9082,-0.3623,-0.2477,214.1723
PUB.PA,2023-10-23,2023-11-27,VENTE,2,28,63.6089,63.1287,66.2763,62.5681,54.0675,26,4.9859,-2.4602,-1.7183,-3.7462,78.6615
TTE.PA,2023-12-04,2024-03-18,VENTE,2,37,53.0128,51.9672,54.5568,52.3814,45.0609,73,4.983,-4.8785,-2.9647,-5.3726,85.5117
PUB.PA,2024-04-08,2024-09-23,VENTE,2,21,88.9582,88.3442,91.4926,87.0973,75.6144,120,3.5637,-7.9347,-7.2949,-10.1494,56.2067
AIR.PA,2024-04-15,2024-06-26,REGLE-7,2,12,154.9591,151.7182,129.7711,150.4335,131.7152,52,-14.4657,-18.8325,-17.0987,-19.9975,-267.249
SGO.PA,2024-04-15,2024-05-06,VENTE,1,14,66.7779,66.7779,71.9715,64.3592,56.7612,15,7.7774,-2.7678,-2.7678,-3.9856,67.6721
