DATE,DATE_DECISION,TICKER,SENS,RANG_SERVICE,QUANTITE,PRIX_REEL,BRUT,FRAIS,NET,ECART_S,TAUX_20,MOTIF
2022-01-10,2022-01-07,CAP.PA,ACHAT,1,5,180.4263,902.1314,3.7438,905.8752,-1.4634,0.1809,"CAP.PA : clôture 180,16 sous le bord bas 183,51 (-1,46 s), TAUX_20 +0,181 %/séance"
2022-02-07,2022-02-04,MC.PA,ACHAT,1,1,647.2154,647.2154,2.6859,649.9014,-1.0986,0.1799,"MC.PA : clôture 643,66 sous le bord bas 645,75 (-1,10 s), TAUX_20 +0,180 %/séance"
2022-02-14,2022-02-11,MC.PA,RENFORT,1,3,613.305,1839.9149,7.6356,1847.5505,-1.9222,0.2264,"MC.PA : renforcement, clôture 624,43 encore sous le bord bas (-1,92 s), TAUX_20 +0,226 %/séance"
2022-02-21,2022-02-18,CAP.PA,REGLE-4,1,5,168.5869,842.9347,3.4982,846.4329,-1.8488,-0.1675,"CAP.PA : clôture 167,42 sous le seuil de la règle 4 (-1,85 s dans la bande)"
2022-02-28,2022-02-25,MC.PA,REGLE-4,1,1,593.1593,593.1593,2.4616,595.6209,-1.8697,-0.5638,"MC.PA : clôture 607,65 sous le seuil de la règle 4 (-1,87 s dans la bande)"
2022-03-28,2022-03-25,ENGI.PA,ACHAT,1,121,7.9742,964.8724,4.0042,968.8767,-1.3849,0.0172,"ENGI.PA : clôture 7,97 sous le bord bas 8,22 (-1,38 s), TAUX_20 +0,017 %/séance"
2022-04-04,2022-04-01,CAP.PA,VENTE,1,10,181.2366,1812.3657,2.0842,-2.0842,1.1615,0.9034,"CAP.PA : clôture 179,93 au-dessus du bord haut 178,49 (+1,16 s)"
2022-04-04,2022-04-01,PUB.PA,ACHAT,1,22,44.7148,983.7257,4.0825,987.8082,-1.1779,0.4266,"PUB.PA : clôture 44,62 sous le bord bas 45,02 (-1,18 s), TAUX_20 +0,427 %/séance"
2022-04-04,2022-04-01,SGO.PA,ACHAT,2,20,47.0544,941.0882,3.9055,944.9937,-1.0391,0.2994,"SGO.PA : clôture 46,76 sous le bord bas 46,86 (-1,04 s), TAUX_20 +0,299 %/séance"
2022-04-11,2022-04-08,TTE.PA,ACHAT,1,27,35.8108,966.8929,4.0126,970.9055,-1.1869,0.1081,"TTE.PA : clôture 35,83 sous le bord bas 36,20 (-1,19 s), TAUX_20 +0,108 %/séance"
2022-05-23,2022-05-20,ENGI.PA,VENTE,1,121,9.3266,1128.5146,1.2978,-1.2978,1.8641,0.4506,"ENGI.PA : clôture 9,19 au-dessus du bord haut 8,68 (+1,86 s)"
2022-05-23,2022-05-20,TTE.PA,VENTE,2,27,41.1935,1112.2236,1.2791,-1.2791,1.0412,0.8144,"TTE.PA : clôture 40,57 au-dessus du bord haut 40,49 (+1,04 s)"
2022-05-30,2022-05-27,SGO.PA,VENTE,1,20,47.9718,959.4358,1.1034,-1.1034,1.1844,-0.1043,"SGO.PA : clôture 47,74 au-dessus du bord haut 47,28 (+1,18 s)"
2022-05-30,2022-05-27,PUB.PA,REGLE-4,1,23,42.1388,969.1935,4.0222,973.2157,-0.9416,-0.4784,"PUB.PA : clôture 41,93 sous le seuil de la règle 4 (-0,94 s dans la bande)"
2022-06-06,2022-06-03,MC.PA,VENTE,1,5,565.8657,2829.3285,3.2537,-3.2537,1.513,0.4168,"MC.PA : clôture 561,62 au-dessus du bord haut 548,40 (+1,51 s)"
2022-07-25,2022-07-22,PUB.PA,VENTE,1,45,42.8736,1929.3113,2.2187,-2.2187,2.5397,0.5054,"PUB.PA : clôture 42,92 au-dessus du bord haut 39,39 (+2,54 s)"
2022-08-01,2022-07-29,AC.PA,ACHAT,1,44,22.3725,984.3913,4.0852,988.4766,-1.1173,0.2665,"AC.PA : clôture 22,44 sous le bord bas 22,64 (-1,12 s), TAUX_20 +0,267 %/séance"
2022-09-26,2022-09-23,AC.PA,REGLE-4,1,53,18.3952,974.9452,4.046,978.9912,-2.1531,-0.1521,"AC.PA : clôture 18,61 sous le seuil de la règle 4 (-2,15 s dans la bande)"
2022-10-31,2022-10-28,AC.PA,VENTE,1,97,21.3693,2072.8239,2.3837,-2.3837,2.427,0.4895,"AC.PA : clôture 21,25 au-dessus du bord haut 19,87 (+2,43 s)"
2023-02-20,2023-02-17,TTE.PA,ACHAT,1,20,48.9733,979.4655,4.0648,983.5303,-1.2449,0.1194,"TTE.PA : clôture 48,70 sous le bord bas 49,09 (-1,24 s), TAUX_20 +0,119 %/séance"
2023-02-27,2023-02-24,MC.PA,ACHAT,1,1,731.8194,731.8194,3.0371,734.8565,-1.5797,0.0052,"MC.PA : clôture 721,61 sous le bord bas 734,95 (-1,58 s), TAUX_20 +0,005 %/séance"
2023-02-27,2023-02-24,TTE.PA,RENFORT,2,41,48.7574,1999.0544,8.2961,2007.3505,-1.5486,0.2843,"TTE.PA : renforcement, clôture 48,31 encore sous le bord bas (-1,55 s), TAUX_20 +0,284 %/séance"
2023-03-13,2023-03-10,SAF.PA,ACHAT,1,7,128.1309,896.916,3.7222,900.6382,-1.6196,0.0903,"SAF.PA : clôture 127,92 sous le bord bas 129,80 (-1,62 s), TAUX_20 +0,090 %/séance"
2023-03-13,2023-03-10,SGO.PA,ACHAT,2,20,49.5765,991.5297,4.1148,995.6446,-1.3255,0.4767,"SGO.PA : clôture 49,57 sous le bord bas 49,99 (-1,33 s), TAUX_20 +0,477 %/séance"
2023-03-20,2023-03-17,SGO.PA,REGLE-4,1,21,45.4332,954.098,3.9595,958.0575,-3.465,-0.1934,"SGO.PA : clôture 45,54 sous le seuil de la règle 4 (-3,46 s dans la bande)"
2023-03-20,2023-03-17,TTE.PA,REGLE-4,2,22,43.2366,951.2057,3.9475,955.1532,-3.1897,-0.4597,"TTE.PA : clôture 44,12 sous le seuil de la règle 4 (-3,19 s dans la bande)"
2023-03-20,2023-03-17,SAF.PA,REGLE-4,3,7,122.5133,857.5929,3.559,861.1519,-2.9179,-0.197,"SAF.PA : clôture 123,07 sous le seuil de la règle 4 (-2,92 s dans la bande)"
2023-04-17,2023-04-14,MC.PA,VENTE,1,1,829.482,829.482,0.9539,-0.9539,1.4116,0.4676,"MC.PA : clôture 828,83 au-dessus du bord haut 819,37 (+1,41 s)"
2023-06-05,2023-06-02,PUB.PA,ACHAT,1,16,60.5867,969.387,4.023,973.41,-1.0747,0.0263,"PUB.PA : clôture 60,47 sous le bord bas 60,75 (-1,07 s), TAUX_20 +0,026 %/séance"
2023-06-19,2023-06-16,SGO.PA,VENTE,1,41,51.6868,2119.1586,2.437,-2.437,1.6388,0.5086,"SGO.PA : clôture 51,93 au-dessus du bord haut 50,56 (+1,64 s)"
2023-06-26,2023-06-23,ENGI.PA,ACHAT,1,90,11.3573,1022.1592,4.242,1026.4011,-1.673,0.0893,"ENGI.PA : clôture 11,28 sous le bord bas 11,51 (-1,67 s), TAUX_20 +0,089 %/séance"
2023-06-26,2023-06-23,MC.PA,ACHAT,2,1,783.201,783.201,3.2503,786.4513,-1.4437,0.1794,"MC.PA : clôture 776,65 sous le bord bas 788,04 (-1,44 s), TAUX_20 +0,179 %/séance"
2023-07-31,2023-07-28,TTE.PA,VENTE,1,83,46.4736,3857.3121,4.4359,-4.4359,1.2359,0.2361,"TTE.PA : clôture 46,41 au-dessus du bord haut 46,08 (+1,24 s)"
2023-07-31,2023-07-28,SAF.PA,VENTE,2,14,145.8035,2041.2493,2.3474,-2.3474,2.853,0.3677,"SAF.PA : clôture 145,65 au-dessus du bord haut 140,56 (+2,85 s)"
2023-07-31,2023-07-28,PUB.PA,VENTE,3,16,65.2093,1043.3489,1.1999,-1.1999,1.6995,0.1111,"PUB.PA : clôture 65,44 au-dessus du bord haut 64,09 (+1,70 s)"
2023-08-21,2023-08-18,MC.PA,REGLE-4,1,1,727.1578,727.1578,3.0177,730.1755,-2.1342,-0.3494,"MC.PA : clôture 726,88 sous le seuil de la règle 4 (-2,13 s dans la bande)"
2023-09-18,2023-09-15,AIR.PA,ACHAT,1,8,124.0201,992.1612,1.141,993.3021,-1.1674,0.1152,"AIR.PA : clôture 123,94 sous le bord bas 124,34 (-1,17 s), TAUX_20 +0,115 %/séance"
2023-09-25,2023-09-22,AIR.PA,REGLE-4,1,8,116.847,934.776,1.075,935.851,-3.4094,-0.3143,"AIR.PA : clôture 116,92 sous le seuil de la règle 4 (-3,41 s dans la bande)"
2023-09-25,2023-09-22,AC.PA,ACHAT,2,34,30.1021,1023.4705,4.2474,1027.7179,-1.9305,0.1494,"AC.PA : clôture 30,25 sous le bord bas 30,93 (-1,93 s), TAUX_20 +0,149 %/séance"
2023-10-02,2023-09-29,AC.PA,REGLE-4,1,35,29.3775,1028.2123,4.2671,1032.4794,-2.6381,-0.2857,"AC.PA : clôture 29,29 sous le seuil de la règle 4 (-2,64 s dans la bande)"
2023-10-23,2023-10-20,SAF.PA,ACHAT,1,7,140.6924,984.8465,4.0871,988.9336,-1.9432,0.0858,"SAF.PA : clôture 140,31 sous le bord bas 142,97 (-1,94 s), TAUX_20 +0,086 %/séance"
2023-10-23,2023-10-20,PUB.PA,ACHAT,2,15,63.6089,954.133,3.9597,958.0927,-1.3588,0.3611,"PUB.PA : clôture 63,91 sous le bord bas 64,39 (-1,36 s), TAUX_20 +0,361 %/séance"
2023-10-30,2023-10-27,SAF.PA,RENFORT,1,14,143.3834,2007.3682,8.3306,2015.6987,-1.3563,0.0944,"SAF.PA : renforcement, clôture 141,97 encore sous le bord bas (-1,36 s), TAUX_20 +0,094 %/séance"
2023-11-13,2023-11-10,PUB.PA,REGLE-4,1,2,62.6486,125.2972,0.52,125.8172,-1.9365,-0.2477,"PUB.PA : clôture 62,56 sous le seuil de la règle 4 (-1,94 s dans la bande)"
2023-11-20,2023-11-17,ENGI.PA,VENTE,1,90,12.4432,1119.8846,1.2879,-1.2879,1.5458,0.2769,"ENGI.PA : clôture 12,47 au-dessus du bord haut 12,31 (+1,55 s)"
2023-11-20,2023-11-17,SAF.PA,VENTE,2,21,155.1546,3258.247,3.747,-3.747,2.3352,0.4423,"SAF.PA : clôture 155,43 au-dessus du bord haut 151,45 (+2,34 s)"
2023-11-20,2023-11-17,AIR.PA,VENTE,3,16,125.2471,2003.9542,2.3045,-2.3045,1.598,0.325,"AIR.PA : clôture 124,83 au-dessus du bord haut 123,00 (+1,60 s)"
2023-11-20,2023-11-17,MC.PA,VENTE,4,2,666.9044,1333.8089,1.5339,-1.5339,1.579,0.3455,"MC.PA : clôture 665,78 au-dessus du bord haut 650,78 (+1,58 s)"
2023-11-27,2023-11-24,PUB.PA,VENTE,1,17,66.2763,1126.6966,1.2957,-1.2957,1.1628,0.2445,"PUB.PA : clôture 66,47 au-dessus du bord haut 66,27 (+1,16 s)"
2023-12-04,2023-12-01,AC.PA,VENTE,1,69,29.6985,2049.1975,2.3566,-2.3566,1.8095,0.4387,"AC.PA : clôture 29,77 au-dessus du bord haut 29,05 (+1,81 s)"
2023-12-04,2023-12-01,TTE.PA,ACHAT,1,20,53.0128,1060.2558,4.4001,1064.6559,-1.7741,0.0801,"TTE.PA : clôture 53,80 sous le bord bas 54,89 (-1,77 s), TAUX_20 +0,080 %/séance"
2024-01-22,2024-01-19,TTE.PA,REGLE-4,1,21,50.9767,1070.5104,4.4426,1074.953,-2.1842,-0.2908,"TTE.PA : clôture 50,89 sous le seuil de la règle 4 (-2,18 s dans la bande)"
2024-03-18,2024-03-15,TTE.PA,VENTE,1,41,54.5568,2236.8269,2.5724,-2.5724,2.7342,0.2559,"TTE.PA : clôture 54,56 au-dessus du bord haut 52,94 (+2,73 s)"
2024-04-08,2024-04-05,PUB.PA,ACHAT,1,12,88.9582,1067.498,4.4301,1071.9281,-1.2884,0.2849,"PUB.PA : clôture 89,14 sous le bord bas 89,72 (-1,29 s), TAUX_20 +0,285 %/séance"
2024-04-15,2024-04-12,AIR.PA,ACHAT,1,7,154.9591,1084.7138,1.2474,1085.9612,-1.1398,0.0071,"AIR.PA : clôture 153,75 sous le bord bas 154,21 (-1,14 s), TAUX_20 +0,007 %/séance"
2024-04-15,2024-04-12,SGO.PA,ACHAT,2,16,66.7779,1068.4464,4.4341,1072.8805,-1.0476,0.2952,"SGO.PA : clôture 66,45 sous le bord bas 66,54 (-1,05 s), TAUX_20 +0,295 %/séance"
2024-05-06,2024-05-03,SGO.PA,VENTE,1,16,71.9715,1151.5443,1.3243,-1.3243,1.633,0.1686,"SGO.PA : clôture 71,81 au-dessus du bord haut 70,67 (+1,63 s)"
2024-05-06,2024-05-03,AIR.PA,REGLE-4,1,7,148.4772,1039.3405,1.1952,1040.5357,-2.5826,-0.2972,"AIR.PA : clôture 148,21 sous le seuil de la règle 4 (-2,58 s dans la bande)"
2024-05-06,2024-05-03,AC.PA,ACHAT,2,29,37.7881,1095.8549,4.5478,1100.4027,-1.788,0.0314,"AC.PA : clôture 37,65 sous le bord bas 38,54 (-1,79 s), TAUX_20 +0,031 %/séance"
2024-05-06,2024-05-03,SAF.PA,ACHAT,3,5,199.9934,999.967,4.1499,1004.1169,-1.1872,0.0041,"SAF.PA : clôture 199,80 sous le bord bas 200,83 (-1,19 s), TAUX_20 +0,004 %/séance"
2024-05-13,2024-05-10,AC.PA,RENFORT,1,58,38.0999,2209.7967,9.1707,2218.9674,-1.4536,0.2481,"AC.PA : renforcement, clôture 38,02 encore sous le bord bas (-1,45 s), TAUX_20 +0,248 %/séance"
2024-05-13,2024-05-10,CAP.PA,ACHAT,2,5,191.9279,959.6393,3.9825,963.6218,-1.2743,0.0096,"CAP.PA : clôture 191,37 sous le bord bas 194,04 (-1,27 s), TAUX_20 +0,010 %/séance"
2024-06-03,2024-05-31,CAP.PA,REGLE-4,1,6,177.281,1063.686,4.4143,1068.1003,-2.4073,-0.0509,"CAP.PA : clôture 175,77 sous le seuil de la règle 4 (-2,41 s dans la bande)"
2024-06-17,2024-06-14,PUB.PA,REGLE-4,1,11,87.6689,964.358,4.0021,968.3601,-3.721,-0.3427,"PUB.PA : clôture 86,92 sous le seuil de la règle 4 (-3,72 s dans la bande)"
2024-06-17,2024-06-14,SAF.PA,REGLE-4,2,3,193.665,580.9949,2.4111,583.406,-3.6396,-0.2642,"SAF.PA : clôture 192,30 sous le seuil de la règle 4 (-3,64 s dans la bande)"
2024-08-26,2024-08-23,AIR.PA,VENTE,1,14,135.2639,1893.6944,2.1777,-2.1777,1.6877,0.274,"AIR.PA : clôture 135,21 au-dessus du bord haut 131,07 (+1,69 s)"
2024-08-26,2024-08-23,AC.PA,REGLE-4,1,29,34.9977,1014.9324,4.212,1019.1444,0.9805,0.2646,"AC.PA : clôture 35,06 sous le seuil de la règle 4 (+0,98 s dans la bande)"
2024-09-02,2024-08-30,AC.PA,VENTE,1,116,35.9995,4175.9419,4.8023,-4.8023,1.8304,0.89,"AC.PA : clôture 35,98 au-dessus du bord haut 34,92 (+1,83 s)"
2024-09-02,2024-08-30,CAP.PA,VENTE,2,11,177.6598,1954.2579,2.2474,-2.2474,1.6161,0.35,"CAP.PA : clôture 177,57 au-dessus du bord haut 174,22 (+1,62 s)"
2024-09-09,2024-09-06,SGO.PA,ACHAT,1,14,71.4899,1000.8585,4.1536,1005.012,-1.1186,0.2427,"SGO.PA : clôture 71,22 sous le bord bas 71,56 (-1,12 s), TAUX_20 +0,243 %/séance"
2024-09-16,2024-09-13,SAF.PA,VENTE,1,8,198.0164,1584.1314,1.8218,-1.8218,1.6207,0.0419,"SAF.PA : clôture 198,80 au-dessus du bord haut 195,92 (+1,62 s)"
2024-09-23,2024-09-20,PUB.PA,VENTE,1,23,91.4926,2104.3296,2.42,-2.42,1.517,-0.0308,"PUB.PA : clôture 91,36 au-dessus du bord haut 90,10 (+1,52 s)"
2024-09-23,2024-09-20,SGO.PA,VENTE,2,14,78.6844,1101.5821,1.2668,-1.2668,1.557,0.2885,"SGO.PA : clôture 79,14 au-dessus du bord haut 77,57 (+1,56 s)"
2024-12-23,2024-12-20,SGO.PA,ACHAT,1,13,80.6207,1048.0691,4.3495,1052.4186,-1.567,0.0811,"SGO.PA : clôture 80,92 sous le bord bas 82,14 (-1,57 s), TAUX_20 +0,081 %/séance"
2025-02-10,2025-02-07,SGO.PA,VENTE,1,13,88.7644,1153.9373,1.327,-1.327,1.5113,0.384,"SGO.PA : clôture 88,82 au-dessus du bord haut 87,73 (+1,51 s)"
2025-02-24,2025-02-21,AIR.PA,ACHAT,1,7,154.8534,1083.9739,1.2466,1085.2205,-2.4937,0.0345,"AIR.PA : clôture 153,64 sous le bord bas 159,65 (-2,49 s), TAUX_20 +0,035 %/séance"
2025-04-07,2025-04-04,AIR.PA,REGLE-4,1,8,126.9671,1015.737,1.1681,1016.9051,-4.7226,-0.21,"AIR.PA : clôture 141,06 sous le seuil de la règle 4 (-4,72 s dans la bande)"
2025-04-07,2025-04-04,TTE.PA,ACHAT,2,23,46.1961,1062.5104,4.4094,1066.9198,-1.6716,0.2019,"TTE.PA : clôture 49,46 sous le bord bas 50,91 (-1,67 s), TAUX_20 +0,202 %/séance"
2025-04-14,2025-04-11,TTE.PA,REGLE-4,1,23,46.2707,1064.2254,4.4165,1068.6419,-2.8448,-0.9001,"TTE.PA : clôture 45,36 sous le seuil de la règle 4 (-2,84 s dans la bande)"
2025-06-09,2025-06-06,EN.PA,ACHAT,1,30,36.5692,1097.0762,4.5529,1101.6291,-1.7872,0.0152,"EN.PA : clôture 36,53 sous le bord bas 37,17 (-1,79 s), TAUX_20 +0,015 %/séance"
2025-06-23,2025-06-20,TTE.PA,VENTE,1,46,52.1576,2399.2474,2.7591,-2.7591,1.2346,0.4445,"TTE.PA : clôture 51,75 au-dessus du bord haut 51,21 (+1,23 s)"
2025-06-23,2025-06-20,AIR.PA,VENTE,2,15,163.4989,2452.4835,2.8204,-2.8204,1.0632,0.0203,"AIR.PA : clôture 164,46 au-dessus du bord haut 163,88 (+1,06 s)"
2025-06-23,2025-06-20,EN.PA,REGLE-4,1,32,35.2453,1127.8511,4.6806,1132.5317,-2.9161,-0.2506,"EN.PA : clôture 35,53 sous le seuil de la règle 4 (-2,92 s dans la bande)"
2025-07-14,2025-07-11,ENGI.PA,ACHAT,1,61,18.8107,1147.4512,4.7619,1152.2131,-2.1567,0.015,"ENGI.PA : clôture 18,73 sous le bord bas 19,09 (-2,16 s), TAUX_20 +0,015 %/séance"
2025-08-04,2025-08-01,ENGI.PA,REGLE-4,1,62,18.2205,1129.6686,4.6881,1134.3567,-3.1129,-0.0374,"ENGI.PA : clôture 18,22 sous le seuil de la règle 4 (-3,11 s dans la bande)"
2025-09-01,2025-08-29,CAP.PA,ACHAT,1,9,117.8589,1060.7301,4.402,1065.1321,-1.1362,0.0208,"CAP.PA : clôture 117,67 sous le bord bas 118,94 (-1,14 s), TAUX_20 +0,021 %/séance"
2025-09-29,2025-09-26,SGO.PA,ACHAT,1,12,89.0283,1068.3402,4.4336,1072.7738,-1.1541,0.0436,"SGO.PA : clôture 88,58 sous le bord bas 89,29 (-1,15 s), TAUX_20 +0,044 %/séance"
2025-10-06,2025-10-03,TTE.PA,ACHAT,1,23,49.3229,1134.4275,4.7079,1139.1354,-1.2851,0.0232,"TTE.PA : clôture 49,15 sous le bord bas 49,42 (-1,29 s), TAUX_20 +0,023 %/séance"
2025-10-13,2025-10-10,TTE.PA,REGLE-4,1,23,48.3604,1112.2881,4.616,1116.9041,-2.0647,-0.0691,"TTE.PA : clôture 48,13 sous le seuil de la règle 4 (-2,06 s dans la bande)"
