DATE,ESPECES,TITRES,TOTAL,BASE100,APPARIEE100,DETENTION100,PART_INVESTIE,LIGNES_OUVERTES
2022-01-03,10000.0,0.0,10000.0,100.0,100.0,99.0181,0.0,0
2022-01-04,10000.0,0.0,10000.0,100.0,100.0,100.759,0.0,0
2022-01-05,10000.0,0.0,10000.0,100.0,100.0,101.0948,0.0,0
2022-01-06,10000.0,0.0,10000.0,100.0,100.0,100.2844,0.0,0
2022-01-07,10000.0,0.0,10000.0,100.0,100.0,100.3079,0.0,0
2022-01-10,9094.12,875.35,9969.47,99.6947,100.0,99.753,8.7803,1
2022-01-11,9094.12,903.48,9997.61,99.9761,100.0898,100.7731,9.037,1
2022-01-12,9094.12,915.19,10009.31,100.0931,100.1799,101.7767,9.1433,1
2022-01-13,9094.12,907.98,10002.11,100.0211,100.2066,102.074,9.0779,1
2022-01-14,9094.12,894.48,9988.6,99.886,100.1879,101.864,8.955,1
2022-01-17,9094.12,920.14,10014.26,100.1426,100.2234,102.2673,9.1883,1
2022-01-18,9094.12,906.63,10000.76,100.0076,100.18,101.7852,9.0656,1
2022-01-19,9094.12,924.64,10018.76,100.1876,100.1877,101.871,9.2291,1
2022-01-20,9094.12,931.84,10025.97,100.2597,100.2363,102.407,9.2943,1
2022-01-21,9094.12,914.74,10008.86,100.0886,100.0944,100.8464,9.1393,1
2022-01-24,9094.12,858.47,9952.59,99.5259,99.6645,96.1072,8.6255,1
2022-01-25,9094.12,849.91,9944.04,99.4404,99.7105,96.6214,8.547,1
2022-01-26,9094.12,870.62,9964.74,99.6474,99.9377,99.1984,8.737,1
2022-01-27,9094.12,872.42,9966.55,99.6655,99.9681,99.5428,8.7535,1
2022-01-28,9094.12,868.82,9962.94,99.6294,99.9218,99.0165,8.7205,1
2022-01-31,9094.12,888.85,9982.98,99.8298,99.9728,99.5964,8.9037,1
2022-02-01,9094.12,905.28,9999.41,99.9941,100.1286,101.3397,9.0534,1
2022-02-02,9094.12,922.39,10016.51,100.1651,100.0974,100.9909,9.2087,1
2022-02-03,9094.12,886.83,9980.95,99.8095,100.0281,100.2314,8.8852,1
2022-02-04,9094.12,869.49,9963.62,99.6362,100.0112,100.0409,8.7267,1
2022-02-07,8444.22,1528.8,9973.02,99.7302,100.054,100.5315,15.3293,2
2022-02-08,8444.22,1520.58,9964.81,99.6481,100.1973,101.4704,15.2595,2
2022-02-09,8444.22,1556.26,10000.49,100.0049,100.5269,103.6579,15.5619,2
2022-02-10,8444.22,1541.16,9985.38,99.8538,100.6585,104.5299,15.4341,2
2022-02-11,8444.22,1511.7,9955.93,99.5593,100.5372,103.7141,15.1839,2
2022-02-14,6596.67,3312.28,9908.95,99.0895,100.2502,101.7643,33.4271,2
2022-02-15,6596.67,3371.2,9967.88,99.6788,100.587,102.7869,33.8207,2
2022-02-16,6596.67,3330.99,9927.66,99.2766,100.5164,102.5738,33.5526,2
2022-02-17,6596.67,3330.38,9927.05,99.2705,100.3347,102.0209,33.5485,2
2022-02-18,6596.67,3339.53,9936.2,99.362,100.2648,101.8093,33.6097,2
2022-02-21,5750.24,4091.44,9841.68,98.4168,99.7435,100.2343,41.5725,2
2022-02-22,5750.24,4105.26,9855.5,98.555,99.7724,100.3042,41.6545,2
2022-02-23,5750.24,4100.06,9850.3,98.503,99.681,100.0836,41.6237,2
2022-02-24,5750.24,3961.78,9712.02,97.1202,97.9233,95.8436,40.7925,2
2022-02-25,5750.24,4133.59,9883.83,98.8383,99.4834,99.587,41.8217,2
2022-02-28,5154.62,4703.05,9857.67,98.5767,98.8861,98.1572,47.7096,2
2022-03-01,5154.62,4495.41,9650.03,96.5003,96.2724,92.7191,46.5844,2
2022-03-02,5154.62,4569.02,9723.64,97.2364,97.052,94.331,46.9888,2
2022-03-03,5154.62,4469.73,9624.35,96.2435,95.5057,91.1323,46.4419,2
2022-03-04,5154.62,4175.34,9329.96,93.2996,93.1656,86.3243,44.752,2
2022-03-07,5154.62,4124.81,9279.43,92.7943,92.1888,84.3019,44.4511,2
2022-03-08,5154.62,4006.78,9161.4,91.614,92.3987,84.7338,43.7354,2
2022-03-09,5154.62,4361.31,9515.93,95.1593,95.3305,90.8811,45.8317,2
2022-03-10,5154.62,4252.89,9407.51,94.0751,94.601,89.3638,45.2074,2
2022-03-11,5154.62,4287.05,9441.67,94.4167,95.2579,90.7363,45.4056,2
2022-03-14,5154.62,4334.08,9488.7,94.887,95.6532,91.5656,45.6762,2
2022-03-15,5154.62,4304.78,9459.4,94.594,95.6483,91.5555,45.508,2
2022-03-16,5154.62,4558.16,9712.78,97.1278,97.025,94.4512,46.9295,2
2022-03-17,5154.62,4588.82,9743.44,97.4344,97.1457,94.7015,47.0965,2
2022-03-18,5154.62,4671.29,9825.91,98.2591,97.161,94.7332,47.5405,2
2022-03-21,5154.62,4630.87,9785.49,97.8549,96.8608,94.1175,47.3239,2
2022-03-22,5154.62,4676.94,9831.56,98.3156,97.5521,95.537,47.5707,2
2022-03-23,5154.62,4567.35,9721.97,97.2197,96.8701,94.1328,46.9797,2
2022-03-24,5154.62,4555.22,9709.84,97.0984,96.5821,93.5372,46.9134,2
2022-03-25,5154.62,4583.65,9738.27,97.3827,96.8198,94.0279,47.0684,2
2022-03-28,4185.74,5613.77,9799.51,97.9951,96.7674,93.9197,57.2862,3
2022-03-29,4185.74,5862.92,10048.66,100.4866,98.4247,96.7276,58.3453,3
2022-03-30,4185.74,5800.78,9986.52,99.8652,97.901,95.8455,58.0861,3
2022-03-31,4185.74,5758.87,9944.61,99.4461,97.1853,94.6393,57.9094,3
2022-04-01,4185.74,5735.27,9921.01,99.2101,97.1529,94.5848,57.8093,3
2022-04-04,4063.22,5938.81,10002.03,100.0203,97.3523,94.9206,59.376,4
2022-04-05,4063.22,5864.84,9928.06,99.2806,96.1467,92.9409,59.0733,4
2022-04-06,4063.22,5698.88,9762.1,97.621,94.9265,90.9442,58.3776,4
2022-04-07,4063.22,5621.71,9684.93,96.8493,94.4492,90.1609,58.0459,4
2022-04-08,4063.22,5700.15,9763.37,97.6337,95.0625,91.1695,58.383,4
2022-04-11,3092.32,6620.48,9712.8,97.128,95.2542,91.4844,68.1625,5
2022-04-12,3092.32,6663.23,9755.55,97.5555,95.2156,91.43,68.302,5
2022-04-13,3092.32,6713.85,9806.17,98.0617,95.4521,91.7625,68.4656,5
