TICKER,ACHAT,SORTIE,MOTIF,TRANCHES,QUANTITE,PRIX_PREMIERE_TRANCHE,PRIX_ACHAT,PRIX_SORTIE,SEUIL_REGLE_4,SEANCES,PLUS_VALUE,REPLI_PREMIERE,REPLI_MOYEN,REPLI_LOW,CONTRIBUTION
CAP.PA,2022-01-10,2022-04-04,VENTE,2,10,180.4263,174.5066,181.2366,172.9168,61,3.8566,-16.8912,-14.072,-18.0639,57.9734
MC.PA,2022-02-07,2022-06-06,VENTE,3,5,647.2154,616.0579,565.8657,622.4215,84,-8.1473,-22.6985,-18.7889,-23.425,-266.998
ENGI.PA,2022-03-28,2022-05-23,VENTE,1,121,7.9742,7.9742,9.3266,7.3373,39,16.96,-2.983,-2.983,-6.2712,158.3402
PUB.PA,2022-04-04,2022-07-25,VENTE,2,45,44.7148,43.3982,42.8736,42.3498,79,-1.2089,-20.6965,-18.2907,-21.4032,-33.9313
SGO.PA,2022-04-04,2022-05-30,VENTE,1,20,47.0544,47.0544,47.9718,44.1208,39,1.9496,-8.1203,-8.1203,-10.0331,13.3387
TTE.PA,2022-04-11,2022-05-23,VENTE,1,27,35.8108,35.8108,41.1935,33.8358,29,15.0307,-3.5276,-3.5276,-3.5824,140.039
AC.PA,2022-08-01,2022-10-31,VENTE,2,97,22.3725,20.1993,21.3693,20.7512,66,5.7921,-16.8254,-7.8769,-18.7698,102.9724
TTE.PA,2023-02-20,2023-07-31,VENTE,3,83,48.9733,47.3461,46.4736,47.0948,113,-1.8427,-11.9458,-8.9195,-12.708,-93.1578
MC.PA,2023-02-27,2023-04-17,VENTE,1,1,731.8194,731.8194,829.482,698.5965,34,13.3452,-1.7252,-1.7252,-2.6259,93.6717
SAF.PA,2023-03-13,2023-07-31,VENTE,2,14,128.1309,125.3221,145.8035,124.8915,98,16.3431,-4.878,-2.7461,-6.3594,277.1117
SGO.PA,2023-03-13,2023-06-19,VENTE,2,41,49.5765,47.4543,51.6868,48.2579,68,8.919,-11.844,-7.9017,-12.2394,163.0195
