DATE,TICKER,EXECUTION,CLOSE_AJUSTE,CLOSE_REEL,VAL_120,S_120,ECART_S,TAUX_120,TAUX_20,SOUS_BAS,AU_DESSUS,SEUIL_4_FRANCHI,ACHETABLE_SANS_VETO,ACHETABLE_AVEC_VETO,SIGNAL
2022-01-07,ENGI.PA,2022-01-10,8.954,8.954,8.935,0.238,0.0798,0.1222,0.1678,non,non,non,non,non,dans la bande
2022-01-07,AC.PA,2022-01-10,27.1755,27.1755,25.6839,1.5047,0.9913,-0.0271,0.9539,non,non,non,non,non,dans la bande
2022-01-07,EN.PA,2022-01-10,24.82,24.82,23.9413,1.2218,0.7192,-0.1202,0.4095,non,non,non,non,non,dans la bande
2022-01-07,TTE.PA,2022-01-10,35.9286,35.9286,35.2649,1.2053,0.5506,0.2108,0.3768,non,non,non,non,non,dans la bande
2022-01-07,SAF.PA,2022-01-10,106.9822,106.9822,103.5255,5.1851,0.6667,-0.0132,0.6862,non,non,non,non,non,dans la bande
2022-01-07,AIR.PA,2022-01-10,107.9821,107.9821,99.4347,3.849,2.2207,-0.0558,0.9178,non,oui,non,non,non,au-dessus du bord haut
2022-01-07,PUB.PA,2022-01-10,49.2511,49.2511,48.4766,0.9392,0.8246,0.0794,0.3945,non,non,non,non,non,dans la bande
2022-01-07,SGO.PA,2022-01-10,56.2541,56.2541,51.9177,1.6308,2.6591,-0.021,0.5922,non,oui,non,non,non,au-dessus du bord haut
2022-01-07,MC.PA,2022-01-10,652.5025,652.5025,653.1134,27.4929,-0.0222,0.1,0.2678,non,non,non,non,non,dans la bande
2022-01-07,CAP.PA,2022-01-10,180.1562,180.1562,190.7502,7.2394,-1.4634,0.1331,0.1809,oui,non,non,oui,oui,candidate à l'achat
2022-01-14,ENGI.PA,2022-01-17,9.3838,9.3838,9.0311,0.2446,1.4422,0.128,0.3953,non,oui,non,non,non,au-dessus du bord haut
2022-01-14,AC.PA,2022-01-17,28.525,28.525,26.0148,1.56,1.6091,-0.0087,0.885,non,oui,non,non,non,au-dessus du bord haut
2022-01-14,EN.PA,2022-01-17,25.1587,25.1587,23.7548,1.1182,1.2556,-0.1322,0.4092,non,oui,non,non,non,au-dessus du bord haut
2022-01-14,TTE.PA,2022-01-17,38.3066,38.3066,35.9047,1.2664,1.8966,0.2202,0.6654,non,oui,non,non,non,au-dessus du bord haut
2022-01-14,SAF.PA,2022-01-17,107.5926,107.5926,104.2972,5.1192,0.6437,0.0009,0.526,non,non,non,non,non,dans la bande
2022-01-14,AIR.PA,2022-01-17,107.6518,107.6518,100.4604,4.1902,1.7163,-0.0413,0.5821,non,oui,non,non,non,au-dessus du bord haut
2022-01-14,PUB.PA,2022-01-17,49.1377,49.1377,48.6952,0.9385,0.4715,0.0788,0.3432,non,non,non,non,non,dans la bande
2022-01-14,SGO.PA,2022-01-17,57.4052,57.4052,52.4947,1.862,2.6372,-0.0105,0.6596,non,oui,non,non,non,au-dessus du bord haut
2022-01-14,MC.PA,2022-01-17,615.6752,615.6752,656.063,26.8424,-1.5046,0.1056,-0.1009,oui,non,non,oui,non,candidate à l'achat
2022-01-14,CAP.PA,2022-01-17,178.8957,178.8957,189.7216,7.4724,-1.4488,0.1147,-0.3144,oui,non,non,oui,non,candidate à l'achat
2022-01-21,ENGI.PA,2022-01-24,9.1541,9.1541,9.1143,0.2474,0.1606,0.1315,0.3318,non,non,non,non,non,dans la bande
2022-01-21,AC.PA,2022-01-24,28.7469,28.7469,26.3665,1.6286,1.4616,0.0067,0.7758,non,oui,non,non,non,au-dessus du bord haut
2022-01-21,EN.PA,2022-01-24,24.4043,24.4043,23.5869,1.0302,0.7934,-0.142,0.2419,non,non,non,non,non,dans la bande
2022-01-21,TTE.PA,2022-01-24,38.3723,38.3723,36.7354,1.3711,1.1939,0.2369,0.8632,non,oui,non,non,non,au-dessus du bord haut
2022-01-21,SAF.PA,2022-01-24,106.0093,106.0093,104.8642,5.1238,0.2235,0.0092,0.2856,non,non,non,non,non,dans la bande
2022-01-21,AIR.PA,2022-01-24,104.0371,104.0371,101.2086,4.3093,0.6564,-0.0288,0.1198,non,non,non,non,non,dans la bande
2022-01-21,PUB.PA,2022-01-24,49.0081,49.0081,48.9229,0.9373,0.0909,0.078,0.1819,non,non,non,non,non,dans la bande
2022-01-21,SGO.PA,2022-01-24,54.8002,54.8002,53.1735,1.9648,0.8279,0.0083,0.354,non,non,non,non,non,dans la bande
2022-01-21,MC.PA,2022-01-24,635.5474,635.5474,659.3323,25.1677,-0.9451,0.1144,-0.4049,non,non,non,non,non,dans la bande
2022-01-21,CAP.PA,2022-01-24,182.9472,182.9472,190.0362,7.5362,-0.9407,0.1116,-0.4129,non,non,non,non,non,dans la bande
2022-01-28,ENGI.PA,2022-01-31,9.1622,9.1622,9.1656,0.2476,-0.0137,0.132,0.0772,non,non,non,non,non,dans la bande
2022-01-28,AC.PA,2022-01-31,28.4362,28.4362,26.6035,1.6617,1.1029,0.0151,0.3463,non,oui,non,non,non,au-dessus du bord haut
2022-01-28,EN.PA,2022-01-31,24.2349,24.2349,23.3325,0.951,0.9489,-0.1536,-0.1364,non,non,non,non,non,dans la bande
2022-01-28,TTE.PA,2022-01-31,39.6251,39.6251,37.4765,1.4206,1.5125,0.2497,0.6568,non,oui,non,non,non,au-dessus du bord haut
2022-01-28,SAF.PA,2022-01-31,99.1416,99.1416,104.4218,5.1829,-1.0188,0.0044,-0.2435,oui,non,non,oui,non,candidate à l'achat
2022-01-28,AIR.PA,2022-01-31,102.1839,102.1839,101.2957,4.3399,0.2047,-0.0248,-0.3828,non,non,non,non,non,dans la bande
2022-01-28,PUB.PA,2022-01-31,48.3762,48.3762,48.793,1.0,-0.4168,0.0686,-0.1337,non,non,non,non,non,dans la bande
2022-01-28,SGO.PA,2022-01-31,50.2912,50.2912,53.0163,1.932,-1.4105,0.0104,-0.5119,oui,non,non,oui,non,candidate à l'achat
2022-01-28,MC.PA,2022-01-31,653.0496,653.0496,662.4645,22.5978,-0.4166,0.1249,-0.4063,non,non,non,non,non,dans la bande
2022-01-28,CAP.PA,2022-01-31,173.7638,173.7638,188.5627,8.2351,-1.797,0.0971,-0.459,oui,non,non,oui,non,candidate à l'achat
