TICKER,ACHAT,SORTIE,MOTIF,TRANCHES,QUANTITE,PRIX_PREMIERE_TRANCHE,PRIX_ACHAT,PRIX_SORTIE,SEUIL_REGLE_4,TAUX_20_ACHAT,SEANCES,PLUS_VALUE,REPLI_PREMIERE,REPLI_MOYEN,REPLI_LOW,CONTRIBUTION
CAP.PA,2022-01-10,2022-04-04,VENTE,2,4,180.4263,174.5066,181.2366,172.9168,0.1809,61,3.8566,-16.8912,-14.072,-18.0639,23.1894
SGO.PA,2022-01-31,2022-05-30,VENTE,2,20,51.0528,45.5098,47.9718,48.3592,-0.5119,84,5.4098,-17.308,-7.2364,-22.4275,44.359
SAF.PA,2022-01-31,2022-02-14,VENTE,1,4,100.8013,100.8013,107.3065,93.9587,-0.2435,11,6.4534,0.4542,0.4542,-2.0628,23.8537
TTE.PA,2022-02-28,2022-05-23,VENTE,2,27,36.4236,35.1665,41.1935,35.8497,-0.2048,59,17.1384,-5.8386,-2.4727,-7.431,157.509
PUB.PA,2022-02-28,2022-07-25,VENTE,2,22,47.7768,43.2435,42.8736,47.3767,-0.0858,104,-0.8553,-25.7791,-17.9983,-26.4405,-13.1701
ENGI.PA,2022-03-07,2022-05-23,VENTE,1,69,6.951,6.951,9.3266,6.8598,-0.9867,54,34.1753,-1.8083,-1.8083,-4.8318,161.1817
AIR.PA,2022-03-07,2022-05-30,VENTE,1,5,83.9453,83.9453,104.7471,84.3116,-0.6121,59,24.7802,2.7213,2.7213,-1.3771,102.9239
AC.PA,2022-03-07,2022-10-31,VENTE,2,46,21.7599,21.57,21.3693,21.2929,-0.9543,169,-0.9306,-14.4839,-13.731,-16.4831,-14.4813
SAF.PA,2022-03-07,2022-07-11,VENTE,2,10,89.4602,88.4581,93.8693,87.4842,-0.3759,89,6.1172,-5.3371,-4.2648,-5.8622,49.3613
MC.PA,2022-05-09,2022-06-06,VENTE,1,1,510.2658,510.2658,565.8657,492.1602,-0.3845,21,10.8963,-1.9516,-1.9516,-2.8732,52.8316
AIR.PA,2022-06-20,2022-07-18,VENTE,1,5,88.3129,88.3129,97.2651,83.1425,-0.6974,21,10.137,-5.7745,-5.7745,-6.3119,43.6942
SGO.PA,2022-06-20,2022-10-31,VENTE,2,27,40.0069,38.3529,36.7012,38.218,-0.4669,96,-4.3066,-20.7238,-17.305,-21.6481,-50.0327
EN.PA,2022-07-04,2022-10-31,VENTE,2,45,23.5235,22.7276,23.442,22.7811,-0.3811,86,3.1435,-9.6361,-6.4712,-10.8146,26.6927
CAP.PA,2022-07-04,2022-08-01,VENTE,1,3,148.5034,148.5034,168.5776,140.6936,-0.232,21,13.5177,-4.5161,-4.5161,-5.4992,57.7922
TTE.PA,2022-07-18,2022-10-10,VENTE,1,13,38.3229,38.3229,41.8879,35.5081,-0.2487,61,9.3026,-2.1243,-2.1243,-2.9661,43.6514
AIR.PA,2022-09-19,2022-10-24,VENTE,1,6,85.1396,85.1396,94.9015,80.5514,-0.4998,26,11.4657,-3.7163,-3.7163,-5.4323,57.329
SAF.PA,2022-09-19,2022-10-31,VENTE,2,10,94.1953,91.0941,107.3669,89.3964,-0.2579,31,17.8637,-6.666,-3.4886,-9.0067,157.7127
CAP.PA,2022-09-26,2022-11-14,VENTE,1,3,140.3369,140.3369,166.0683,133.2981,-0.4717,36,18.3355,0.8453,0.8453,-0.5202,74.8742
ENGI.PA,2022-10-03,2022-10-31,VENTE,1,59,8.6505,8.6505,9.4879,8.1422,-0.2947,21,9.6807,-3.0588,-3.0588,-4.6723,46.6464
PUB.PA,2022-12-19,2023-02-06,VENTE,1,10,50.7138,50.7138,63.1318,48.6467,-0.2739,35,24.4864,-1.0104,-1.0104,-1.5493,121.349
CAP.PA,2022-12-19,2023-01-16,VENTE,1,3,145.401,145.401,156.9893,137.0302,-0.4178,20,7.9699,-2.3847,-2.3847,-2.9809,32.413
ENGI.PA,2022-12-27,2023-04-03,VENTE,2,113,9.943,9.6856,10.6132,9.4197,-0.356,70,9.578,-8.8171,-6.3934,-9.1534,98.9071
TTE.PA,2023-02-06,2023-07-31,VENTE,2,23,46.7815,44.932,46.4736,45.0767,-0.2655,123,3.431,-7.8204,-4.026,-8.6184,29.9392
AIR.PA,2023-02-13,2023-11-20,VENTE,1,5,106.3663,106.3663,125.2471,101.3616,-0.2119,198,17.7508,1.1374,1.1374,-0.1925,93.0724
SAF.PA,2023-03-13,2023-07-31,VENTE,2,8,128.1309,125.3221,145.8035,124.8915,0.0903,98,16.3431,-4.878,-2.7461,-6.3594,158.3495
SGO.PA,2023-03-13,2023-06-19,VENTE,2,23,49.5765,47.4148,51.6868,48.2579,0.4767,68,9.0099,-11.844,-7.8249,-12.2394,92.3633
AC.PA,2023-03-20,2023-07-03,VENTE,1,21,25.32,25.32,31.3219,24.2274,-0.2603,73,23.7042,-1.5428,-1.5428,-2.209,123.077
PUB.PA,2023-03-20,2023-07-31,VENTE,1,9,59.7497,59.7497,65.2093,57.0469,-0.2838,93,9.1374,-2.4871,-2.4871,-5.3173,46.2298
CAP.PA,2023-03-20,2023-06-19,VENTE,2,6,151.4233,147.819,165.4213,145.2851,-0.4072,63,11.908,-6.9298,-4.6605,-7.2914,100.7915
EN.PA,2023-03-27,2023-07-24,VENTE,1,22,24.9831,24.9831,27.2667,23.996,-0.283,83,9.1409,-0.718,-0.718,-0.718,47.2702
ENGI.PA,2023-06-26,2023-11-20,VENTE,1,51,11.3573,11.3573,12.4432,10.9424,0.0893,106,9.5607,-1.4221,-1.4221,-2.6753,52.2441
AC.PA,2023-08-07,2023-12-04,VENTE,2,39,30.1755,29.7662,29.6985,29.2994,-0.1037,86,-0.2275,-10.2736,-9.0401,-15.7751,-8.7911
CAP.PA,2023-08-21,2023-11-06,VENTE,1,3,149.536,149.536,161.415,142.9906,-0.4693,56,7.9439,0.1246,0.1246,-1.0592,33.2185
SGO.PA,2023-08-28,2023-11-20,VENTE,2,22,54.0249,52.0241,54.108,51.8309,-0.2874,61,4.0057,-14.882,-11.6085,-16.4044,39.7275
