ANCRAGE,ISIN,TICKER,BRAS,K,SENS,DATE_EVENEMENT,J,Z,EXCES,EXCES_NET,TAILLE_PANIER
2010-01-04,FR0000045072,ACA.PA,R,2.0,bas,2010-01-20,12,-2.1362,0.0177,-0.5263,31
2010-01-04,FR0000130809,GLE.PA,R,2.0,bas,2010-01-20,12,-2.0332,-8.7545,-9.2985,31
2010-01-04,FR0000131104,BNP.PA,R,2.0,bas,2010-01-20,12,-2.1055,-4.1741,-4.7181,31
2010-01-04,FR0000120073,AI.PA,R,2.0,bas,2010-01-21,13,-2.5187,4.2805,3.7365,31
2010-01-04,FR0000120628,CS.PA,R,2.0,bas,2010-01-27,17,-2.1261,-1.0913,-1.6353,31
2010-01-04,FR0000127771,VIV.PA,R,2.0,bas,2010-01-27,17,-2.0045,-3.0515,-3.5955,31
2010-01-04,FR0000121972,SU.PA,R,2.0,bas,2010-01-28,18,-2.5630,9.4659,8.9219,31
2010-01-04,FR0000125486,DG.PA,R,2.0,bas,2010-01-28,18,-2.4335,4.3561,3.8121,31
2010-01-04,FR0010220475,ALO.PA,R,2.0,bas,2010-01-28,18,-2.0348,-15.7010,-16.2450,31
2010-02-01,FR0000045072,ACA.PA,R,2.0,bas,2010-02-02,1,-2.3826,-8.3933,-8.9373,31
2010-02-01,FR0000127771,VIV.PA,R,2.0,bas,2010-02-02,1,-2.7209,2.4530,1.9090,31
2010-02-01,FR0000130809,GLE.PA,R,2.0,bas,2010-02-02,1,-2.2925,-9.5607,-10.1047,31
2010-02-01,FR0000120073,AI.PA,R,2.0,bas,2010-02-03,2,-2.2105,8.0054,7.4614,31
2010-02-01,FR0000131104,BNP.PA,R,2.0,bas,2010-02-03,2,-2.0776,-4.4106,-4.9546,31
2010-02-01,FR0000120628,CS.PA,R,2.0,bas,2010-02-04,3,-2.2645,-5.5542,-6.0982,31
2010-02-01,FR0000120693,RI.PA,R,2.0,bas,2010-02-04,3,-2.0144,5.1497,4.6057,31
2010-02-01,FR0000121972,SU.PA,R,2.0,bas,2010-02-04,3,-2.4879,7.5227,6.9787,31
2010-02-01,FR0000125007,SGO.PA,R,2.0,bas,2010-02-04,3,-2.2316,3.3246,2.7806,31
2010-01-04,FR0000131906,RNO.PA,R,2.0,bas,2010-02-04,23,-2.1632,-1.6487,-2.1927,31
2010-02-01,FR0000133308,ORA.PA,R,2.0,bas,2010-02-04,3,-2.0218,-8.2161,-8.7601,31
2010-02-01,FR0010208488,ENGI.PA,R,2.0,bas,2010-02-04,3,-2.3598,-6.8480,-7.3920,31
2010-02-01,FR0000120271,TTE.PA,R,2.0,bas,2010-02-05,4,-2.3463,-8.7177,-9.2617,31
2010-02-01,FR0000120321,OR.PA,R,2.0,bas,2010-02-05,4,-2.1361,0.6813,0.1373,31
2010-02-01,FR0000120578,SAN.PA,R,2.0,bas,2010-02-05,4,-2.1112,-9.5255,-10.0695,31
2010-02-01,FR0000120644,BN.PA,R,2.0,bas,2010-02-05,4,-2.6743,1.4645,0.9205,31
2010-01-04,FR0000120693,RI.PA,R,2.0,bas,2010-02-05,24,-2.0016,8.0580,7.5140,31
2010-01-04,FR0000121014,MC.PA,R,2.0,bas,2010-02-05,24,-2.5829,5.7288,5.1848,31
2010-02-01,FR0000121014,MC.PA,R,2.0,bas,2010-02-05,4,-2.5766,5.7288,5.1848,31
2010-01-04,FR0000121261,ML.PA,R,2.0,bas,2010-02-05,24,-2.0611,-9.4622,-10.0062,31
2010-02-01,FR0000121261,ML.PA,R,2.0,bas,2010-02-05,4,-2.0849,-9.4622,-10.0062,31
2010-01-04,FR0000121485,KER.PA,R,2.0,bas,2010-02-05,24,-2.4483,13.6230,13.0790,31
2010-02-01,FR0000121485,KER.PA,R,2.0,bas,2010-02-05,4,-2.0173,13.6230,13.0790,31
2010-01-04,FR0000125007,SGO.PA,R,2.0,bas,2010-02-05,24,-2.1323,3.8912,3.3472,31
2010-02-01,FR0000125486,DG.PA,R,2.0,bas,2010-02-05,4,-2.2416,-1.1578,-1.7018,31
2010-02-01,FR0000131906,RNO.PA,R,2.0,bas,2010-02-05,4,-2.4571,-3.4396,-3.9836,31
2010-01-04,FR0000133308,ORA.PA,R,2.0,bas,2010-02-05,24,-2.0710,-9.3110,-9.8550,31
2010-02-01,FR0010220475,ALO.PA,R,2.0,bas,2010-02-05,4,-2.4940,-15.8473,-16.3913,31
2010-01-04,FR0000125338,CAP.PA,R,2.0,bas,2010-02-10,27,-2.0905,21.0100,20.4660,31
2010-02-01,FR0000125338,CAP.PA,R,2.0,bas,2010-02-10,7,-2.1230,21.0100,20.4660,31
2010-02-01,LU0323134006,MT.AS,R,2.0,bas,2010-02-10,7,-2.2720,-1.2500,-1.4960,31
2010-02-01,FR0000120404,AC.PA,R,2.0,bas,2010-02-12,9,-2.0386,10.2350,9.6910,31
2010-02-01,FR0000120503,EN.PA,R,2.0,bas,2010-02-12,9,-2.0506,0.0833,-0.4607,31
2010-02-01,FR0000130213,MMB.PA,R,2.0,bas,2010-02-15,10,-2.0471,2.9265,2.3825,31
2010-01-04,NL0000226223,STMPA.PA,R,2.0,bas,2010-02-15,30,-2.0495,8.2175,7.9715,31
