DATE,ROLE,DATE_EVALUEE,TICKER,CLOSE,TEND_120,TEND_20,POSITION,ALPHA,ALPHA_BAS,ALPHA_HAUT,MOMENTUM,SUPPORT,RESISTANCE,PENTE_SUP,PENTE_RES,PORTEE_SUP,PORTEE_RES,EPISODES_SUP,EPISODES_RES,LARGEUR,TAU,VETOS,VERDICT
2022-12-30,DECISION,2022-12-30,AIR.PA,103.31397247314453,1.0,0.0,2.5,-4.35,-34.2,25.51,-5.89,103.13,110.52,0.3589,0.0741,63.0,58.0,3.0,3.0,7.39,26.0,aucun,ATTENTE
2022-12-30,DECISION,2022-12-30,MC.PA,631.1861572265625,1.0,-1.0,5.1,1.13,-23.32,25.57,4.19,627.83,693.52,1.4351,0.4246,51.0,75.0,4.0,4.0,65.69,65.0,veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2022-12-30,DECISION,2022-12-30,OR.PA,312.0907897949219,-1.0,-1.0,2.8,-6.35,-30.82,18.12,-12.12,311.3,339.56,0.7496,-0.0862,40.0,89.0,3.0,4.0,28.26,33.8,aucun,ATTENTE
2022-12-30,DECISION,2022-12-30,SAN.PA,75.43019104003906,-1.0,1.0,87.2,5.65,-20.73,32.03,1.54,65.66,76.86,0.0147,-0.0713,32.0,94.0,2.0,4.0,11.2,130.3,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2022-12-30,DECISION,2022-12-30,BNP.PA,41.15745544433594,1.0,1.0,15.3,2.59,-25.92,31.11,-11.09,40.92,42.49,0.1579,0.0339,46.0,75.0,3.0,7.0,1.57,12.7,veto 2 : canal se refermant en 12.7 séances,ATTENTE
2022-12-30,DECISION,2022-12-30,TTE.PA,48.1181755065918,1.0,1.0,38.5,23.4,-8.53,55.33,35.37,46.78,50.26,0.1444,0.0724,56.0,71.0,3.0,6.0,3.49,48.4,aucun,ATTENTE
2022-12-30,DECISION,2022-12-30,SU.PA,122.10205078125,1.0,-1.0,1.0,-7.88,-32.15,16.39,-16.09,121.95,136.47,0.2748,0.0808,66.0,71.0,3.0,5.0,14.52,74.8,veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2022-12-30,DECISION,2022-12-30,AI.PA,101.55265045166016,1.0,-1.0,0.5,-4.34,-23.84,15.16,-1.04,101.51,110.1,0.2496,0.0454,55.0,73.0,2.0,3.0,8.59,42.1,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2022-12-30,DECISION,2022-12-30,DG.PA,80.49412536621094,1.0,-1.0,3.2,-3.05,-24.1,18.0,6.37,80.31,86.18,0.1935,0.0431,57.0,58.0,3.0,3.0,5.87,39.1,veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2022-12-30,DECISION,2022-12-30,CAP.PA,142.29864501953125,-1.0,-1.0,5.5,-1.33,-28.85,26.18,-13.39,141.1,162.94,0.0309,-0.1306,68.0,73.0,3.0,4.0,21.84,135.2,aucun,ATTENTE
2022-12-30,DECISION,2022-12-30,RI.PA,156.84153747558594,0.0,-1.0,12.8,-0.18,-22.28,21.91,-5.05,155.89,163.32,0.2428,-0.0241,42.0,80.0,3.0,2.0,7.42,27.8,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2022-12-30,DECISION,2022-12-30,ORA.PA,7.487525939941406,-1.0,0.0,35.4,0.96,-17.6,19.53,7.33,7.38,7.69,0.0047,-0.0052,52.0,93.0,4.0,4.0,0.31,31.4,aucun,ATTENTE
2023-01-31,DECISION,2023-01-31,AIR.PA,106.86882781982422,1.0,0.0,23.6,-8.53,-37.67,20.61,-0.13,104.69,113.91,0.2844,0.0889,85.0,115.0,2.0,5.0,9.21,47.1,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-01-31,DECISION,2023-01-31,MC.PA,742.6812133789062,1.0,1.0,86.3,3.24,-20.45,26.92,0.11,659.4,755.95,1.4351,0.8764,51.0,109.0,4.0,3.0,96.55,172.8,aucun,ATTENTE
2023-01-31,DECISION,2023-01-31,OR.PA,353.6748046875,1.0,1.0,69.0,-4.44,-28.36,19.48,-7.3,327.79,365.29,0.7496,0.1928,40.0,106.0,2.0,3.0,37.5,67.4,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-01-31,DECISION,2023-01-31,SAN.PA,75.28746032714844,1.0,-1.0,10.2,3.47,-22.06,29.01,1.78,74.74,80.09,0.1177,0.0551,85.0,81.0,3.0,3.0,5.35,85.5,veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2023-01-31,DECISION,2023-01-31,BNP.PA,48.61603927612305,1.0,1.0,96.5,4.94,-22.61,32.49,-10.67,44.39,48.77,0.1579,0.0808,46.0,118.0,3.0,2.0,4.38,56.8,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-01-31,DECISION,2023-01-31,TTE.PA,47.30458068847656,1.0,0.0,5.6,18.26,-12.93,49.45,25.63,47.02,52.07,0.1107,0.0743,87.0,94.0,2.0,6.0,5.05,138.4,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-01-31,DECISION,2023-01-31,SU.PA,138.541748046875,1.0,1.0,82.8,-6.74,-30.27,16.78,-7.76,128.0,140.74,0.2748,0.1019,66.0,106.0,3.0,6.0,12.74,73.6,aucun,ATTENTE
2023-01-31,DECISION,2023-01-31,AI.PA,112.03005981445312,1.0,1.0,67.9,-2.82,-22.0,16.35,3.69,107.0,114.4,0.2496,0.0732,55.0,118.0,3.0,2.0,7.41,42.0,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-01-31,DECISION,2023-01-31,DG.PA,89.42450714111328,1.0,1.0,72.9,-2.31,-22.73,18.11,-3.01,84.56,91.23,0.1935,0.0814,57.0,116.0,2.0,4.0,6.66,59.5,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-01-31,DECISION,2023-01-31,CAP.PA,158.67733764648438,-1.0,1.0,86.9,-0.82,-27.62,25.98,-17.49,141.78,161.22,0.0309,-0.113,68.0,109.0,3.0,6.0,19.44,135.1,veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2023-01-31,DECISION,2023-01-31,RI.PA,162.09091186523438,1.0,0.0,49.4,-1.77,-23.74,20.19,-0.64,155.37,168.98,0.1601,0.032,69.0,109.0,4.0,2.0,13.61,106.2,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-01-31,DECISION,2023-01-31,ORA.PA,7.8433051109313965,0.0,-1.0,63.3,1.83,-16.44,20.1,-6.63,7.48,8.05,0.0047,-0.0009,52.0,101.0,4.0,3.0,0.57,102.0,aucun,ATTENTE
2023-02-28,DECISION,2023-02-28,AIR.PA,115.41163635253906,1.0,1.0,73.8,-6.87,-35.42,21.68,24.48,107.81,118.1,0.26,0.1293,93.0,74.0,3.0,4.0,10.29,78.8,aucun,ATTENTE
2023-02-28,DECISION,2023-02-28,MC.PA,732.46923828125,1.0,0.0,8.8,0.5,-22.57,23.58,47.88,726.28,796.7,2.3371,1.5121,40.0,102.0,2.0,5.0,70.42,85.4,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-02-28,DECISION,2023-02-28,OR.PA,350.91497802734375,1.0,0.0,7.9,-6.17,-29.63,17.29,17.51,349.11,371.78,0.9004,0.2807,40.0,89.0,3.0,4.0,22.66,36.6,aucun,ATTENTE
2023-02-28,DECISION,2023-02-28,SAN.PA,74.63257598876953,1.0,1.0,64.1,2.55,-22.63,27.73,1.77,69.89,77.29,0.0491,-0.0281,88.0,37.0,2.0,3.0,7.4,95.7,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-02-28,DECISION,2023-02-28,BNP.PA,51.12799835205078,1.0,1.0,78.3,5.35,-21.86,32.55,42.55,48.7,51.8,0.1806,0.1038,36.0,119.0,4.0,3.0,3.1,40.3,aucun,ATTENTE
2023-02-28,DECISION,2023-02-28,TTE.PA,48.624595642089844,1.0,1.0,48.6,17.74,-12.97,48.46,35.93,47.15,50.18,0.0913,-0.0101,89.0,32.0,2.0,4.0,3.02,29.8,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-02-28,DECISION,2023-02-28,SU.PA,142.09121704101562,1.0,0.0,18.8,-7.29,-30.27,15.69,12.36,140.04,150.96,0.4306,0.2324,40.0,66.0,2.0,5.0,10.92,55.1,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2023-02-28,DECISION,2023-02-28,AI.PA,115.48161315917969,1.0,1.0,61.0,-2.56,-21.44,16.31,20.32,111.94,117.75,0.2491,0.1324,85.0,60.0,5.0,7.0,5.81,49.9,aucun,ATTENTE
2023-02-28,DECISION,2023-02-28,DG.PA,93.04841613769531,1.0,1.0,40.5,-1.93,-21.93,18.07,27.39,91.37,95.53,0.2628,0.1064,39.0,110.0,3.0,2.0,4.16,26.6,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
