DATE,ESPECES,TITRES,TOTAL,BASE100,REFERENCE100
2025-01-02,10000.0,0,10000.0,100.0,100.0
2025-01-03,10000.0,0,10000.0,100.0,98.6824
2025-01-06,10000.0,0,10000.0,100.0,100.7981
2025-01-07,10000.0,0,10000.0,100.0,101.3125
2025-01-08,10000.0,0,10000.0,100.0,100.595
2025-01-09,10000.0,0,10000.0,100.0,101.0026
2025-01-10,10000.0,0,10000.0,100.0,100.0966
2025-01-13,10000.0,0,10000.0,100.0,100.0705
2025-01-14,10000.0,0,10000.0,100.0,100.1001
2025-01-15,10000.0,0,10000.0,100.0,100.6951
2025-01-16,10000.0,0,10000.0,100.0,102.8915
2025-01-17,10000.0,0,10000.0,100.0,103.9181
2025-01-20,10000.0,0,10000.0,100.0,104.287
2025-01-21,10000.0,0,10000.0,100.0,104.5306
2025-01-22,10000.0,0,10000.0,100.0,104.9308
2025-01-23,10000.0,0,10000.0,100.0,105.629
2025-01-24,10000.0,0,10000.0,100.0,106.3731
2025-01-27,10000.0,0,10000.0,100.0,106.2095
2025-01-28,10000.0,0,10000.0,100.0,106.3888
2025-01-29,10000.0,0,10000.0,100.0,105.7758
2025-01-30,10000.0,0,10000.0,100.0,106.8994
2025-01-31,10000.0,0,10000.0,100.0,106.9152
2025-02-03,8016.84,1989.37,10006.22,100.0622,105.8023
2025-02-04,8016.84,1996.87,10013.71,100.1371,106.3025
2025-02-05,8016.84,1977.55,9994.4,99.944,105.8079
2025-02-06,8016.84,2008.98,10025.82,100.2582,107.3448
2025-02-07,8016.84,1972.37,9989.21,99.8921,106.5656
2025-02-10,8016.84,1975.54,9992.38,99.9238,106.7948
2025-02-11,8016.84,1975.25,9992.09,99.9209,106.9147
2025-02-12,8016.84,1982.74,9999.59,99.9959,107.2092
2025-02-13,8016.84,2038.67,10055.51,100.5551,108.5052
2025-02-14,8016.84,2055.39,10072.23,100.7223,108.4412
2025-02-17,8016.84,2022.24,10039.08,100.3908,108.4988
2025-02-18,8016.84,2032.61,10049.46,100.4946,107.937
2025-02-19,8016.84,1991.68,10008.52,100.0852,106.4634
2025-02-20,8016.84,2004.94,10021.78,100.2178,106.7087
2025-02-21,8016.84,2024.83,10041.68,100.4168,107.6276
2025-02-24,8016.84,1995.14,10011.98,100.1198,106.9547
2025-02-25,8016.84,1972.37,9989.21,99.8921,106.6673
2025-02-26,8016.84,2018.78,10035.62,100.3562,107.6535
2025-02-27,8016.84,1998.02,10014.87,100.1487,107.0263
2025-02-28,8016.84,2003.21,10020.06,100.2006,107.4429
2025-03-03,8011.67,2024.93,10036.6,100.366,108.5354
2025-03-04,8011.67,1961.19,9972.86,99.7286,106.7978
2025-03-05,8011.67,2042.44,10054.11,100.5411,108.644
2025-03-06,8011.67,2111.11,10122.78,101.2278,109.4778
2025-03-07,8011.67,2094.69,10106.36,101.0636,108.4925
2025-03-10,8011.67,2036.42,10048.09,100.4809,107.9458
2025-03-11,8011.67,1995.93,10007.6,100.076,106.2994
2025-03-12,8011.67,2015.91,10027.58,100.2758,106.5453
2025-03-13,8011.67,2012.08,10023.75,100.2375,106.0865
2025-03-14,8011.67,2071.44,10083.11,100.8311,107.3866
2025-03-17,8011.67,2131.35,10143.02,101.4302,108.0042
2025-03-18,8011.67,2194.27,10205.94,102.0594,108.7626
2025-03-19,8011.67,2212.05,10223.72,102.2372,109.2452
2025-03-20,8011.67,2162.54,10174.21,101.7421,108.1981
2025-03-21,8011.67,2180.87,10192.54,101.9254,107.4977
2025-03-24,8011.67,2172.93,10184.6,101.846,106.9025
2025-03-25,8011.67,2231.75,10243.42,102.4342,107.946
2025-03-26,8011.67,2199.47,10211.14,102.1114,107.1472
2025-03-27,8011.67,2179.5,10191.17,101.9117,106.7875
2025-03-28,8011.67,2148.86,10160.53,101.6053,106.3211
2025-03-31,8011.67,2103.99,10115.66,101.1566,104.6269
2025-04-01,2169.65,8062.68,10232.33,102.3233,106.0026
2025-04-02,2169.65,7977.96,10147.61,101.4761,105.6962
2025-04-03,2169.65,7874.9,10044.55,100.4455,102.9993
