DATE,TICKER,TYPE,PHASE,ENONCE,BORNE_BASSE,BORNE_HAUTE,DATE_DEPOUILLEMENT,VALEUR_CONSTATEE,VERDICT
2022-12-30,AIR.PA,CANAL,,"clôture entre 111,03 € et 112,15 € au 2023-01-31",111.02579999999999,112.1502,2023-01-31,106.86882781982422,DEMENTIE
2022-12-30,AIR.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2023-01-31",-5.0,5.0,2023-01-31,-5.420979964276462,DEMENTIE
2022-12-30,MC.PA,CANAL,,"clôture entre 659,40 € et 702,86 € au 2023-01-31",659.4022,702.8611999999999,2023-01-31,742.6812133789062,DEMENTIE
2022-12-30,MC.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2023-01-31",-5.0,5.0,2023-01-31,8.802562433262985,DEMENTIE
2022-12-30,OR.PA,CANAL,,"clôture entre 327,79 € et 337,66 € au 2023-01-31",327.7912,337.6636,2023-01-31,353.6748046875,DEMENTIE
2022-12-30,OR.PA,REFLEXIVE,RETOURNEMENT,"RETOURNEMENT : écart contre TR12 négatif ou nul, au 2023-01-31",,0.0,2023-01-31,4.462525372726955,DEMENTIE
2022-12-30,SAN.PA,CANAL,,"clôture entre 65,98 € et 75,29 € au 2023-01-31",65.9834,75.2914,2023-01-31,75.28746032714844,CONFIRMEE
2022-12-30,SAN.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2023-01-31",-5.0,5.0,2023-01-31,-9.051029503024566,DEMENTIE
2022-12-30,BNP.PA,CANAL,,"clôture entre 44,39 € et 43,24 € au 2023-01-31",44.3938,43.235800000000005,2023-01-31,48.61603927612305,DEMENTIE
2022-12-30,BNP.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2023-01-31",-5.0,5.0,2023-01-31,9.260265056238204,DEMENTIE
2022-12-30,TTE.PA,CANAL,,"clôture entre 49,96 € et 51,85 € au 2023-01-31",49.9568,51.852799999999995,2023-01-31,47.30458068847656,DEMENTIE
2022-12-30,TTE.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2023-01-31",-5.0,5.0,2023-01-31,-10.552633649292808,DEMENTIE
2022-12-30,SU.PA,CANAL,,"clôture entre 128,00 € et 138,25 € au 2023-01-31",127.9956,138.2476,2023-01-31,138.541748046875,DEMENTIE
2022-12-30,SU.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2023-01-31",-5.0,5.0,2023-01-31,4.602092144039638,CONFIRMEE
2022-12-30,AI.PA,CANAL,,"clôture entre 107,00 € et 111,10 € au 2023-01-31",107.00120000000001,111.0988,2023-01-31,112.03005981445312,DEMENTIE
2022-12-30,AI.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2023-01-31",-5.0,5.0,2023-01-31,1.455411773035431,CONFIRMEE
2022-12-30,DG.PA,CANAL,,"clôture entre 84,57 € et 87,13 € au 2023-01-31",84.56700000000001,87.1282,2023-01-31,89.42450714111328,DEMENTIE
2022-12-30,DG.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2023-01-31",-5.0,5.0,2023-01-31,2.2326443520469974,CONFIRMEE
2022-12-30,CAP.PA,CANAL,,"clôture entre 141,78 € et 160,07 € au 2023-01-31",141.7798,160.0668,2023-01-31,158.67733764648438,CONFIRMEE
2022-12-30,CAP.PA,REFLEXIVE,RETOURNEMENT,"RETOURNEMENT : écart contre TR12 négatif ou nul, au 2023-01-31",,0.0,2023-01-31,2.648276093322255,DEMENTIE
2022-12-30,RI.PA,CANAL,,"clôture entre 161,23 € et 162,79 € au 2023-01-31",161.2316,162.78979999999999,2023-01-31,162.09091186523438,CONFIRMEE
2022-12-30,RI.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2023-01-31",-5.0,5.0,2023-01-31,-5.514878568671078,DEMENTIE
2022-12-30,ORA.PA,CANAL,,"clôture entre 7,48 € et 7,58 € au 2023-01-31",7.4834,7.5756000000000006,2023-01-31,7.8433051109313965,DEMENTIE
2022-12-30,ORA.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2023-01-31",-5.0,5.0,2023-01-31,-4.110182021135755,CONFIRMEE
2023-01-31,AIR.PA,CANAL,,"clôture entre 110,38 € et 115,69 € au 2023-02-28",110.378,115.688,2023-02-28,115.41163635253906,CONFIRMEE
2023-01-31,AIR.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2023-02-28",-5.0,5.0,2023-02-28,4.710781641059958,CONFIRMEE
2023-01-31,MC.PA,CANAL,,"clôture entre 688,10 € et 773,48 € au 2023-02-28",688.102,773.4780000000001,2023-02-28,732.46923828125,CONFIRMEE
2023-01-31,MC.PA,REFLEXIVE,AUTO-RENFORCEMENT,"AUTO-RENFORCEMENT : écart contre TR12 positif ou nul, au 2023-02-28",0.0,,2023-02-28,-4.657965747477688,DEMENTIE
2023-01-31,OR.PA,CANAL,,"clôture entre 342,78 € et 369,15 € au 2023-02-28",342.78200000000004,369.146,2023-02-28,350.91497802734375,CONFIRMEE
2023-01-31,OR.PA,REFLEXIVE,AUTO-RENFORCEMENT,"AUTO-RENFORCEMENT : écart contre TR12 positif ou nul, au 2023-02-28",0.0,,2023-02-28,-4.063280034929184,DEMENTIE
2023-01-31,SAN.PA,CANAL,,"clôture entre 77,09 € et 81,19 € au 2023-02-28",77.094,81.19200000000001,2023-02-28,74.63257598876953,DEMENTIE
2023-01-31,SAN.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2023-02-28",-5.0,5.0,2023-02-28,-4.152796321340224,CONFIRMEE
2023-01-31,BNP.PA,CANAL,,"clôture entre 47,55 € et 50,39 € au 2023-02-28",47.548,50.386,2023-02-28,51.12799835205078,DEMENTIE
2023-01-31,BNP.PA,REFLEXIVE,AUTO-RENFORCEMENT,"AUTO-RENFORCEMENT : écart contre TR12 positif ou nul, au 2023-02-28",0.0,,2023-02-28,1.8839836998841175,CONFIRMEE
2023-01-31,TTE.PA,CANAL,,"clôture entre 49,23 € et 53,56 € au 2023-02-28",49.234,53.556,2023-02-28,48.624595642089844,DEMENTIE
2023-01-31,TTE.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2023-02-28",-5.0,5.0,2023-02-28,-0.49249209833199803,CONFIRMEE
2023-01-31,SU.PA,CANAL,,"clôture entre 133,50 € et 142,78 € au 2023-02-28",133.496,142.77800000000002,2023-02-28,142.09121704101562,CONFIRMEE
2023-01-31,SU.PA,REFLEXIVE,AUTO-RENFORCEMENT,"AUTO-RENFORCEMENT : écart contre TR12 positif ou nul, au 2023-02-28",0.0,,2023-02-28,-0.7209299222030285,DEMENTIE
2023-01-31,AI.PA,CANAL,,"clôture entre 111,99 € et 115,86 € au 2023-02-28",111.992,115.864,2023-02-28,115.48161315917969,CONFIRMEE
2023-01-31,AI.PA,REFLEXIVE,AUTO-RENFORCEMENT,"AUTO-RENFORCEMENT : écart contre TR12 positif ou nul, au 2023-02-28",0.0,,2023-02-28,-0.2020339831344975,DEMENTIE
2023-01-31,DG.PA,CANAL,,"clôture entre 88,43 € et 92,86 € au 2023-02-28",88.43,92.858,2023-02-28,93.04841613769531,DEMENTIE
2023-01-31,DG.PA,REFLEXIVE,AUTO-RENFORCEMENT,"AUTO-RENFORCEMENT : écart contre TR12 positif ou nul, au 2023-02-28",0.0,,2023-02-28,0.769527429479866,CONFIRMEE
2023-01-31,CAP.PA,CANAL,,"clôture entre 142,40 € et 158,96 € au 2023-02-28",142.398,158.96,2023-02-28,162.28158569335938,DEMENTIE
2023-01-31,CAP.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2023-02-28",-5.0,5.0,2023-02-28,-1.0115190094428517,CONFIRMEE
2023-01-31,RI.PA,CANAL,,"clôture entre 158,57 € et 169,62 € au 2023-02-28",158.572,169.61999999999998,2023-02-28,168.7486572265625,CONFIRMEE
2023-01-31,RI.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2023-02-28",-5.0,5.0,2023-02-28,0.82446319231404,CONFIRMEE
2023-01-31,ORA.PA,CANAL,,"clôture entre 7,57 € et 8,03 € au 2023-02-28",7.574000000000001,8.032,2023-02-28,8.706536293029785,DEMENTIE
