DATE,RANG,TICKER,S1,S2,S3,S4,S5,SCORE,POSITION,MOMENTUM,TAU,VETOS,VERDICT_REGLE
2020-12-31,1,SU.PA,2,1,0,2,1,6,47.8,30.31,"15,3",veto 1 : moins de 3 épisodes de contact d'un côté; veto 2 : canal se refermant en 15.3 séances,ATTENTE
2020-12-31,2,MC.PA,2,1,0,2,0,5,37.2,19.88,"14,5",veto 1 : moins de 3 épisodes de contact d'un côté; veto 2 : canal se refermant en 14.5 séances,ATTENTE
2020-12-31,3,STMPA.PA,2,-1,1,2,0,4,15.1,40.33,"628,4",veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2020-12-31,4,TEP.PA,2,0,0,2,0,4,45.4,25.85,"13,0",veto 1 : moins de 3 épisodes de contact d'un côté; veto 2 : canal se refermant en 13.0 séances,ATTENTE
2020-12-31,5,RMS.PA,2,1,-1,2,0,4,74.7,21.02,"44,7",aucun,ATTENTE
2020-12-31,6,ALO.PA,0,1,1,2,0,4,26.5,14.24,"2,8",veto 1 : moins de 3 épisodes de contact d'un côté; veto 2 : canal se refermant en 2.8 séances,ATTENTE
2020-12-31,7,SGO.PA,2,-1,1,2,0,4,3.0,11.64,"88,4",veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2020-12-31,8,VIV.PA,2,1,0,1,0,4,44.1,5.11,"2 143,6",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2020-12-31,9,RI.PA,2,0,1,1,0,4,3.6,2.23,"25,9",aucun,ATTENTE
2020-12-31,10,OR.PA,2,0,-1,2,0,3,79.6,18.81,"21,7",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2020-12-31,11,CAP.PA,2,1,-1,1,0,3,85.0,7.93,"23,9",veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2020-12-31,12,MT.AS,2,1,-1,1,0,3,82.5,6.76,∞,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2020-12-31,13,DSY.PA,2,1,-1,1,0,3,90.1,2.51,∞,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE
2020-12-31,14,LR.PA,2,1,1,-1,0,3,33.4,-0.71,"11,4",veto 2 : canal se refermant en 11.4 séances,ATTENTE
2020-12-31,15,PUB.PA,2,1,1,-1,0,3,1.0,-3.03,"18,7",veto 2 : canal se refermant en 18.7 séances,ATTENTE
2020-12-31,16,EL.PA,2,1,1,-1,0,3,0.0,-9.47,"8,0",veto 2 : canal se refermant en 8.0 séances,ATTENTE
2020-12-31,17,WLN.PA,0,1,-1,2,0,2,76.6,16.45,"9,1",veto 1 : moins de 3 épisodes de contact d'un côté; veto 2 : canal se refermant en 9.1 séances,ATTENTE
2020-12-31,18,KER.PA,2,0,-1,1,0,2,98.4,3.3,"25,9",aucun,ATTENTE
2020-12-31,19,ML.PA,2,0,1,-1,0,2,0.0,-1.26,"41,1",aucun,ATTENTE
2020-12-31,20,ATO.PA,0,1,1,-1,0,1,5.7,-1.69,"6,4",veto 1 : moins de 3 épisodes de contact d'un côté; veto 2 : canal se refermant en 6.4 séances,ATTENTE
2020-12-31,21,EN.PA,2,-1,1,-1,0,1,4.3,-4.98,"20,6",veto 3 : critères 1 et 2 de signes opposés,ATTENTE
2020-12-31,22,CS.PA,2,0,1,-2,0,1,2.9,-18.52,"8,9",veto 2 : canal se refermant en 8.9 séances,ATTENTE
2020-12-31,23,RNO.PA,2,0,1,-2,0,1,9.1,-19.7,"15,0",veto 2 : canal se refermant en 15.0 séances,ATTENTE
