DATE,ROLE,DATE_EVALUEE,TICKER,CLOSE,TEND_120,TEND_20,POSITION,ALPHA,ALPHA_BAS,ALPHA_HAUT,MOMENTUM,SUPPORT,RESISTANCE,PENTE_SUP,PENTE_RES,PORTEE_SUP,PORTEE_RES,EPISODES_SUP,EPISODES_RES,LARGEUR,TAU,VETOS,VERDICT,DIAGNOSTIC
2020-12-31,DECISION,2020-12-31,ACA.PA,6.560339450836182,1.0,-1.0,2.9,-7.0,-39.94,25.95,-21.53,6.54,7.2,0.0554,0.01,43.0,98.0,3.0,2.0,0.66,14.6,veto 1 : moins de 3 épisodes de contact d'un côté; veto 2 : canal se refermant en 14.6 séances; veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2020-12-31,DECISION,2020-12-31,AI.PA,90.15969848632812,-1.0,0.0,38.3,8.47,-12.48,29.43,11.76,88.84,92.29,0.1325,-0.1276,37.0,35.0,2.0,2.0,3.45,13.3,veto 1 : moins de 3 épisodes de contact d'un côté; veto 2 : canal se refermant en 13.3 séances,ATTENTE,
2020-12-31,DECISION,2020-12-31,AIR.PA,82.36732482910156,1.0,-1.0,18.0,-9.36,-60.15,41.42,-33.47,79.99,93.18,0.582,0.2306,37.0,83.0,3.0,6.0,13.19,37.5,veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2020-12-31,DECISION,2020-12-31,ALO.PA,45.444175720214844,0.0,1.0,26.5,14.88,-19.58,49.34,14.24,45.22,46.06,0.304,0.0053,33.0,116.0,2.0,3.0,0.84,2.8,veto 1 : moins de 3 épisodes de contact d'un côté; veto 2 : canal se refermant en 2.8 séances,ATTENTE,
2020-12-31,DECISION,2020-12-31,ATO.PA,5464.04833984375,0.0,1.0,5.7,6.11,-30.37,42.59,-1.69,5452.36,5657.42,31.0625,-1.0416,43.0,94.0,3.0,2.0,205.06,6.4,veto 1 : moins de 3 épisodes de contact d'un côté; veto 2 : canal se refermant en 6.4 séances,ATTENTE,
2020-12-31,DECISION,2020-12-31,BN.PA,43.97578430175781,-1.0,1.0,44.0,-9.65,-36.61,17.31,-24.63,43.23,44.93,0.1267,-0.0476,37.0,112.0,3.0,4.0,1.7,9.8,veto 2 : canal se refermant en 9.8 séances; veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2020-12-31,DECISION,2020-12-31,BNP.PA,29.592430114746094,1.0,-1.0,9.8,-6.82,-41.75,28.11,-16.25,29.3,32.28,0.2197,0.0439,43.0,98.0,3.0,4.0,2.98,16.9,veto 2 : canal se refermant en 16.9 séances; veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2020-12-31,DECISION,2020-12-31,CA.PA,10.406219482421875,0.0,1.0,66.9,-6.4,-40.19,27.39,-7.94,9.84,10.68,0.0041,-0.0082,36.0,30.0,2.0,2.0,0.84,68.3,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE,
2020-12-31,DECISION,2020-12-31,CAP.PA,112.70310974121094,1.0,1.0,85.0,10.37,-25.55,46.29,7.93,104.99,114.06,0.4502,0.0707,32.0,83.0,3.0,2.0,9.07,23.9,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE,
2020-12-31,DECISION,2020-12-31,CS.PA,13.66568374633789,1.0,0.0,2.9,-7.86,-32.74,17.01,-18.52,13.64,14.42,0.0983,0.0102,43.0,106.0,3.0,3.0,0.78,8.9,veto 2 : canal se refermant en 8.9 séances,ATTENTE,
2020-12-31,DECISION,2020-12-31,DG.PA,65.84418487548828,1.0,-1.0,0.0,-7.12,-36.45,22.21,-10.5,65.84,77.2,0.298,0.0713,44.0,82.0,3.0,2.0,11.36,50.1,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2020-12-31,DECISION,2020-12-31,DSY.PA,31.936405181884766,1.0,1.0,90.1,16.41,-20.0,52.83,2.51,27.84,32.39,0.0024,0.0083,68.0,114.0,3.0,2.0,4.54,inf,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE,
2020-12-31,DECISION,2020-12-31,EL.PA,112.67597961425781,1.0,1.0,0.0,-1.72,-31.26,27.82,-9.47,112.68,116.21,0.5367,0.095,40.0,111.0,3.0,5.0,3.54,8.0,veto 2 : canal se refermant en 8.0 séances,ATTENTE,
2020-12-31,DECISION,2020-12-31,EN.PA,24.681486129760742,1.0,-1.0,4.3,-5.27,-34.96,24.41,-4.98,24.6,26.46,0.1128,0.0224,45.0,71.0,3.0,3.0,1.86,20.6,veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2020-12-31,DECISION,2020-12-31,ENGI.PA,8.119553565979004,1.0,0.0,37.9,-8.58,-36.96,19.8,-15.87,7.94,8.42,0.0322,0.005,36.0,82.0,2.0,7.0,0.48,17.5,veto 1 : moins de 3 épisodes de contact d'un côté; veto 2 : canal se refermant en 17.5 séances,ATTENTE,
2020-12-31,DECISION,2020-12-31,GLE.PA,13.330060005187988,1.0,-1.0,15.8,-34.55,-76.91,7.82,-44.77,13.04,14.85,0.1003,0.0182,36.0,98.0,3.0,2.0,1.81,22.0,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2020-12-31,DECISION,2020-12-31,HO.PA,66.455078125,1.0,-1.0,7.9,-25.42,-60.05,9.22,-18.81,65.65,75.87,0.3974,0.0955,36.0,90.0,3.0,3.0,10.21,33.8,veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2020-12-31,DECISION,2020-12-31,KER.PA,513.4043579101562,1.0,0.0,98.4,8.51,-22.38,39.41,3.3,472.21,514.1,0.7294,-0.8907,36.0,32.0,3.0,3.0,41.88,25.9,aucun,ATTENTE,
2020-12-31,DECISION,2020-12-31,LR.PA,65.0573501586914,1.0,1.0,33.4,9.96,-15.67,35.58,-0.71,64.37,66.43,0.1995,0.0183,36.0,35.0,3.0,4.0,2.06,11.4,veto 2 : canal se refermant en 11.4 séances,ATTENTE,
2020-12-31,DECISION,2020-12-31,MC.PA,460.7494812011719,1.0,1.0,37.2,23.42,-1.7,48.55,19.88,452.93,473.95,2.2974,0.8471,33.0,105.0,2.0,5.0,21.01,14.5,veto 1 : moins de 3 épisodes de contact d'un côté; veto 2 : canal se refermant en 14.5 séances,ATTENTE,
2020-12-31,DECISION,2020-12-31,ML.PA,21.01249885559082,1.0,0.0,0.0,0.64,-29.88,31.17,-1.26,21.01,22.83,0.0736,0.0294,43.0,91.0,3.0,4.0,1.82,41.1,aucun,ATTENTE,
2020-12-31,DECISION,2020-12-31,MT.AS,17.25130271911621,1.0,1.0,82.5,-11.03,-60.37,38.32,6.76,10.93,18.59,0.0242,0.0761,41.0,110.0,4.0,2.0,7.66,inf,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE,
2020-12-31,DECISION,2020-12-31,OR.PA,283.2889709472656,1.0,0.0,79.6,14.76,-11.19,40.7,18.81,271.54,286.3,0.4836,-0.1957,36.0,34.0,2.0,2.0,14.75,21.7,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE,
2020-12-31,DECISION,2020-12-31,ORA.PA,6.7651848793029785,0.0,-1.0,10.4,-20.77,-47.88,6.34,-17.46,6.71,7.22,0.0176,-0.002,45.0,93.0,3.0,3.0,0.51,25.8,aucun,ATTENTE,
2020-12-31,DECISION,2020-12-31,PUB.PA,31.848487854003906,1.0,1.0,1.0,-14.92,-59.36,29.53,-3.03,31.83,34.14,0.2168,0.0927,43.0,105.0,3.0,4.0,2.32,18.7,veto 2 : canal se refermant en 18.7 séances,ATTENTE,
2020-12-31,DECISION,2020-12-31,RI.PA,128.83212280273438,1.0,0.0,3.6,-0.75,-25.72,24.22,2.23,128.56,136.14,0.4127,0.1204,36.0,71.0,3.0,3.0,7.59,25.9,aucun,ATTENTE,
2020-12-31,DECISION,2020-12-31,RMS.PA,837.1773071289062,1.0,1.0,74.7,21.38,-1.72,44.49,21.02,804.97,848.07,1.7686,0.8037,55.0,36.0,4.0,4.0,43.1,44.7,aucun,ATTENTE,
2020-12-31,DECISION,2020-12-31,RNO.PA,30.271474838256836,1.0,0.0,9.1,-29.75,-81.44,21.94,-19.7,30.0,32.97,0.2945,0.097,42.0,99.0,3.0,3.0,2.97,15.0,veto 2 : canal se refermant en 15.0 séances,ATTENTE,
2020-12-31,DECISION,2020-12-31,SAF.PA,110.21404266357422,1.0,-1.0,14.6,-8.16,-53.92,37.61,-10.69,107.31,127.13,0.5835,0.2522,36.0,75.0,3.0,3.0,19.82,59.8,veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2020-12-31,DECISION,2020-12-31,SAN.PA,61.1649284362793,-1.0,-1.0,38.0,0.55,-27.86,28.96,-4.54,58.64,65.29,-0.0226,-0.0791,32.0,88.0,2.0,4.0,6.65,117.6,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE,
2020-12-31,DECISION,2020-12-31,SGO.PA,31.71341323852539,1.0,-1.0,3.0,0.76,-29.62,31.15,11.64,31.57,36.34,0.1172,0.0633,36.0,77.0,4.0,4.0,4.77,88.4,veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2020-12-31,DECISION,2020-12-31,STMPA.PA,28.805818557739258,1.0,-1.0,15.1,33.19,-12.0,78.39,40.33,27.88,34.04,0.0766,0.0668,36.0,93.0,5.0,2.0,6.17,628.4,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2020-12-31,DECISION,2020-12-31,SU.PA,105.90946197509766,1.0,1.0,47.8,23.66,1.06,46.25,30.31,103.58,108.44,0.3009,-0.0162,36.0,36.0,2.0,3.0,4.86,15.3,veto 1 : moins de 3 épisodes de contact d'un côté; veto 2 : canal se refermant en 15.3 séances,ATTENTE,
2020-12-31,DECISION,2020-12-31,TEP.PA,225.88595581054688,1.0,0.0,45.4,25.74,-13.52,65.0,25.85,221.61,231.02,0.2775,-0.4464,108.0,36.0,4.0,2.0,9.41,13.0,veto 1 : moins de 3 épisodes de contact d'un côté; veto 2 : canal se refermant en 13.0 séances,ATTENTE,
2020-12-31,DECISION,2020-12-31,TTE.PA,25.083961486816406,1.0,-1.0,2.7,-21.62,-54.82,11.58,-22.92,24.99,28.44,0.1722,0.037,44.0,94.0,3.0,2.0,3.44,25.5,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2020-12-31,DECISION,2020-12-31,VIE.PA,15.160319328308105,0.0,0.0,53.8,-1.49,-31.46,28.48,-13.24,14.62,15.63,0.0638,0.0002,36.0,79.0,2.0,6.0,1.01,15.9,veto 1 : moins de 3 épisodes de contact d'un côté; veto 2 : canal se refermant en 15.9 séances,ATTENTE,
2020-12-31,DECISION,2020-12-31,VIV.PA,9.160684585571289,1.0,1.0,44.1,8.12,-18.76,35.0,5.11,8.77,9.65,0.0111,0.0107,92.0,79.0,5.0,2.0,0.88,2143.6,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE,
2020-12-31,DECISION,2020-12-31,WLN.PA,817.3377685546875,0.0,1.0,76.6,21.48,-23.19,66.15,16.45,790.52,825.54,3.4909,-0.3402,37.0,82.0,2.0,2.0,35.02,9.1,veto 1 : moins de 3 épisodes de contact d'un côté; veto 2 : canal se refermant en 9.1 séances,ATTENTE,
2021-01-29,DECISION,2021-01-29,ACA.PA,5.962790012359619,1.0,-1.0,4.1,-12.82,-45.27,19.63,-20.54,5.89,7.6,0.0275,0.0151,62.0,81.0,2.0,2.0,1.71,137.2,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2021-01-29,DECISION,2021-01-29,AI.PA,90.66337585449219,-1.0,0.0,65.8,7.68,-13.12,28.48,2.57,87.56,92.28,0.0711,-0.0831,59.0,57.0,2.0,2.0,4.71,30.6,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE,
2021-01-29,DECISION,2021-01-29,AIR.PA,76.33059692382812,1.0,-1.0,12.4,-14.24,-63.88,35.41,-33.34,75.08,85.12,0.3234,-0.1029,64.0,32.0,2.0,4.0,10.03,23.5,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2021-01-29,DECISION,2021-01-29,ALO.PA,43.737945556640625,1.0,-1.0,25.9,11.55,-22.81,45.92,6.62,41.99,48.75,0.1487,0.0414,59.0,112.0,2.0,4.0,6.76,63.0,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2021-01-29,DECISION,2021-01-29,ATO.PA,4638.376953125,0.0,-1.0,10.6,-2.37,-40.4,35.66,-4.68,4500.54,5798.14,6.0931,2.8049,59.0,62.0,2.0,4.0,1297.6,394.6,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE,
2021-01-29,DECISION,2021-01-29,BN.PA,44.95738983154297,-1.0,1.0,47.7,-8.74,-35.31,17.83,-23.24,43.8,46.22,0.0961,-0.0146,52.0,93.0,3.0,3.0,2.42,21.8,veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2021-01-29,DECISION,2021-01-29,BNP.PA,27.309751510620117,1.0,-1.0,0.2,-11.98,-46.35,22.39,-12.71,27.3,34.06,0.1181,0.0676,63.0,81.0,2.0,5.0,6.76,133.8,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2021-01-29,DECISION,2021-01-29,CA.PA,10.376551628112793,1.0,0.0,11.7,-6.07,-42.62,30.48,-7.01,9.93,13.76,0.0041,0.0275,36.0,88.0,2.0,3.0,3.83,inf,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE,
2021-01-29,DECISION,2021-01-29,CAP.PA,106.21468353271484,1.0,-1.0,21.2,6.13,-29.01,41.26,12.03,103.48,116.4,0.2844,0.0796,63.0,86.0,2.0,2.0,12.92,63.1,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2021-01-29,DECISION,2021-01-29,CS.PA,12.8168306350708,1.0,-1.0,2.9,-11.82,-36.57,12.92,-17.23,12.75,14.92,0.0533,0.0199,64.0,89.0,2.0,4.0,2.17,64.9,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2021-01-29,DECISION,2021-01-29,DG.PA,61.97576904296875,1.0,-1.0,9.0,-11.26,-40.28,17.77,-19.03,61.27,69.15,0.1351,-0.095,64.0,46.0,2.0,5.0,7.88,34.3,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2021-01-29,DECISION,2021-01-29,DSY.PA,31.667301177978516,1.0,0.0,81.6,14.9,-20.87,50.66,5.38,26.39,32.86,-0.0204,0.0151,48.0,102.0,2.0,4.0,6.47,inf,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE,
2021-01-29,DECISION,2021-01-29,EL.PA,103.35625457763672,1.0,-1.0,2.8,-6.69,-35.49,22.1,-5.67,102.87,120.41,0.2011,0.174,63.0,43.0,2.0,5.0,17.54,647.6,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2021-01-29,DECISION,2021-01-29,EN.PA,23.77930450439453,1.0,-1.0,7.4,-8.45,-37.32,20.42,-3.73,23.53,26.91,0.0616,0.0224,63.0,71.0,2.0,4.0,3.38,86.5,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2021-01-29,DECISION,2021-01-29,ENGI.PA,8.314111709594727,1.0,0.0,21.5,-8.18,-36.17,19.8,-18.28,8.1,9.1,0.0245,0.0101,62.0,108.0,2.0,3.0,1.0,69.6,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE,
2021-01-29,DECISION,2021-01-29,GLE.PA,12.089618682861328,1.0,-1.0,4.3,-39.66,-81.37,2.06,-43.94,11.91,16.03,0.0506,0.0397,64.0,81.0,2.0,3.0,4.12,380.1,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2021-01-29,DECISION,2021-01-29,HO.PA,65.8162612915039,1.0,0.0,26.2,-25.85,-60.13,8.42,-22.56,64.08,70.72,0.2463,-0.0579,63.0,40.0,2.0,3.0,6.64,21.8,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE,
2021-01-29,DECISION,2021-01-29,KER.PA,469.87628173828125,1.0,-1.0,19.9,2.85,-27.58,33.27,3.43,461.85,502.18,0.3578,-0.7774,109.0,33.0,3.0,3.0,40.32,35.5,veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2021-01-29,DECISION,2021-01-29,LR.PA,67.6418228149414,1.0,0.0,1.4,10.38,-14.93,35.7,1.93,67.55,73.87,0.1867,0.0836,63.0,104.0,5.0,3.0,6.32,61.3,aucun,ATTENTE,
2021-01-29,DECISION,2021-01-29,MC.PA,449.3862609863281,1.0,0.0,0.0,20.26,-4.79,45.31,24.96,449.39,513.06,1.4725,1.3352,60.0,64.0,3.0,6.0,63.67,463.9,aucun,ATTENTE,
2021-01-29,DECISION,2021-01-29,ML.PA,22.804418563842773,1.0,1.0,95.9,3.52,-26.96,33.99,0.93,21.17,22.87,0.0527,0.0174,62.0,45.0,2.0,4.0,1.71,48.4,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE,
2021-01-29,DECISION,2021-01-29,MT.AS,16.485591888427734,1.0,-1.0,16.6,-14.8,-62.94,33.33,33.73,15.66,20.65,0.0838,0.0921,62.0,103.0,3.0,4.0,4.99,inf,veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2021-01-29,DECISION,2021-01-29,OR.PA,264.4212951660156,1.0,-1.0,0.0,10.35,-15.19,35.9,20.61,264.42,285.5,0.217,-0.138,63.0,35.0,4.0,2.0,21.08,59.4,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2021-01-29,DECISION,2021-01-29,ORA.PA,6.744333744049072,1.0,-1.0,13.3,-20.7,-47.48,6.08,-17.66,6.62,7.54,0.0108,0.0063,61.0,68.0,4.0,3.0,0.92,204.4,veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2021-01-29,DECISION,2021-01-29,PUB.PA,33.411224365234375,1.0,0.0,26.7,-13.27,-56.51,29.98,6.77,31.75,37.98,0.1467,0.1256,62.0,104.0,2.0,4.0,6.24,296.0,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE,
2021-01-29,DECISION,2021-01-29,RI.PA,127.92831420898438,1.0,0.0,17.6,-1.68,-26.3,22.94,2.96,124.88,142.25,0.2233,0.1877,59.0,49.0,2.0,4.0,17.38,488.1,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE,
2021-01-29,DECISION,2021-01-29,RMS.PA,801.961669921875,1.0,-1.0,4.7,17.7,-4.97,40.37,27.11,798.92,864.14,1.2979,0.8037,88.0,36.0,3.0,5.0,65.23,132.0,veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2021-01-29,DECISION,2021-01-29,RNO.PA,29.831287384033203,1.0,-1.0,22.4,-30.98,-81.84,19.88,2.86,28.14,35.67,0.1703,0.1189,61.0,84.0,2.0,5.0,7.53,146.7,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2021-01-29,DECISION,2021-01-29,SAF.PA,98.95026397705078,1.0,-1.0,2.0,-14.62,-59.37,30.13,-19.32,98.24,133.81,0.259,0.2878,65.0,73.0,6.0,4.0,35.57,inf,veto 3 : critères 1 et 2 de signes opposés,ATTENTE,
2021-01-29,DECISION,2021-01-29,SAN.PA,59.96028137207031,-1.0,0.0,0.0,-0.9,-28.68,26.89,-9.08,59.96,64.75,0.0346,-0.06,31.0,47.0,2.0,4.0,4.79,50.6,veto 1 : moins de 3 épisodes de contact d'un côté,ATTENTE,
2021-01-29,DECISION,2021-01-29,SGO.PA,34.74098587036133,1.0,0.0,26.8,3.77,-26.6,34.13,8.44,33.4,38.42,0.1091,0.0759,63.0,103.0,4.0,6.0,5.02,150.9,aucun,ATTENTE,
2021-01-29,DECISION,2021-01-29,STMPA.PA,31.650251388549805,1.0,0.0,34.1,34.99,-9.26,79.25,12.46,28.9,36.97,0.0714,0.1055,100.0,78.0,6.0,4.0,8.07,inf,aucun,ATTENTE,
