DATE,TICKER,SENS,QUANTITE,PRIX,BRUT,FRAIS,NET,RANG,SCORE,VETOS,MOTIF
2022-01-03,CAP.PA,ACHAT,10,194.20133643806528,1942.0133643806528,8.05935546217971,1950.0727198428324,4,5,aucun,"rang 4, score +5, aucun veto"
2022-01-03,DSY.PA,ACHAT,39,50.126179857647685,1954.9210144482597,8.112922209960278,1963.03393665822,5,5,aucun,"rang 5, score +5, aucun veto"
2022-02-01,DSY.PA,VENTE,39,41.04563270751525,1600.779675593095,1.840896626932059,1598.9387789661628,28,2,veto 1 : moins de 3 épisodes de contact d'un côté,rang 28 au-dela de 7
2022-03-01,KER.PA,ACHAT,3,558.2508667328322,1674.7526001984966,6.950223290823761,1681.7028234893203,2,5,aucun,"rang 2, score +5, aucun veto"
2022-04-01,CAP.PA,VENTE,10,182.67708888330736,1826.7708888330735,2.1007865221580344,1824.6701023109156,16,0,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,rang 16 au-dela de 7
2022-04-01,HO.PA,ACHAT,18,103.16317391489648,1856.9371304681365,7.706289091442766,1864.6434195595793,3,4,aucun,"rang 3, score +4, aucun veto"
2022-04-01,MT.AS,ACHAT,72,26.838978482990942,1932.4064507753478,2.2222674183916498,1934.6287181937394,5,4,aucun,"rang 5, score +4, aucun veto"
2022-06-01,KER.PA,VENTE,3,454.99200421120247,1364.9760126336073,1.5697224145286484,1363.4062902190788,38,-5,veto 1 : moins de 3 épisodes de contact d'un côté,rang 38 au-dela de 7
2022-06-01,MT.AS,VENTE,72,28.265829619080947,2035.139732573828,2.340410692459902,2032.799321881368,10,1,veto 1 : moins de 3 épisodes de contact d'un côté,rang 10 au-dela de 7
2022-06-01,TTE.PA,ACHAT,42,43.30414241894463,1818.7739815956745,7.547912023622049,1826.3218936192966,4,4,aucun,"rang 4, score +4, aucun veto"
2022-08-01,BN.PA,ACHAT,39,46.970283580611856,1831.8410596438623,7.602140397522029,1839.4432000413844,5,2,aucun,"rang 5, score +2, aucun veto"
2022-09-01,BN.PA,VENTE,39,45.67358616572921,1781.2698604634393,2.048460339532955,1779.2214001239063,10,1,veto 3 : critères 1 et 2 de signes opposés,rang 10 au-dela de 7
2022-09-01,RMS.PA,ACHAT,1,1226.9537915039061,1226.9537915039061,5.091858234741211,1232.0456497386474,4,4,aucun,"rang 4, score +4, aucun veto"
2022-12-01,HO.PA,VENTE,18,112.74783325195312,2029.4609985351562,2.3338801483154294,2027.1271183868407,10,1,veto 1 : moins de 3 épisodes de contact d'un côté,rang 10 au-dela de 7
2022-12-01,RMS.PA,VENTE,1,1493.515418535889,1493.515418535889,1.7175427313162723,1491.7978758045726,21,0,aucun,rang 21 au-dela de 7
2022-12-01,DG.PA,ACHAT,23,83.74702338702262,1926.1815379015204,7.99365338229131,1934.1751912838117,5,4,aucun,"rang 5, score +4, aucun veto"
