DATE,TICKER,TYPE,PHASE,ENONCE,BORNE_BASSE,BORNE_HAUTE,BORNE_DEMENTI,SIGMA,DATE_DEPOUILLEMENT,VALEUR_CONSTATEE,VERDICT
2020-12-31,ACA.PA,CANAL,,"encadrement ferme avant le 2021-01-29 : les bornes prolongees se croisent, la thèse est inconfirmable à l'écriture",7.648,7.4,,,2021-01-29,5.962790012359619,INCONFIRMABLE
2020-12-31,ACA.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR39 dans ± 10,73 pt (σ̂), au 2021-01-29",-10.733147707616746,10.733147707616746,,10.7331,2021-01-29,-11.817220595918798,DEMENTIE
2020-12-31,AI.PA,CANAL,,"encadrement ferme avant le 2021-01-29 : les bornes prolongees se croisent, la thèse est inconfirmable à l'écriture",91.49000000000001,89.738,,,2021-01-29,90.66337585449219,INCONFIRMABLE
2020-12-31,AIR.PA,CANAL,,"clôture entre 91,63 € et 97,79 € au 2021-01-29",91.63,97.792,,,2021-01-29,76.33059692382812,DEMENTIE
2020-12-31,ALO.PA,CANAL,,"encadrement ferme avant le 2021-01-29 : les bornes prolongees se croisent, la thèse est inconfirmable à l'écriture",51.3,46.166000000000004,,,2021-01-29,43.737945556640625,INCONFIRMABLE
2020-12-31,ALO.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR39 dans ± 7,86 pt (σ̂), au 2021-01-29",-7.862735544935169,7.862735544935169,,7.8627,2021-01-29,-6.463269482294709,CONFIRMEE
2020-12-31,ATO.PA,CANAL,,"encadrement ferme avant le 2021-01-29 : les bornes prolongees se croisent, la thèse est inconfirmable à l'écriture",6073.61,5636.588,,,2021-01-29,4638.376953125,INCONFIRMABLE
2020-12-31,ATO.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR39 dans ± 6,83 pt (σ̂), au 2021-01-29",-6.8261528741917346,6.8261528741917346,,6.8262,2021-01-29,-17.819689047162047,DEMENTIE
2020-12-31,BN.PA,CANAL,,"encadrement ferme avant le 2021-01-29 : les bornes prolongees se croisent, la thèse est inconfirmable à l'écriture",45.763999999999996,43.978,,,2021-01-29,44.95738983154297,INCONFIRMABLE
2020-12-31,BNP.PA,CANAL,,"encadrement ferme avant le 2021-01-29 : les bornes prolongees se croisent, la thèse est inconfirmable à l'écriture",33.694,33.158,,,2021-01-29,27.309751510620117,INCONFIRMABLE
2020-12-31,BNP.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR39 dans ± 11,34 pt (σ̂), au 2021-01-29",-11.342729276536716,11.342729276536716,,11.3427,2021-01-29,-10.422431322441895,CONFIRMEE
2020-12-31,CA.PA,CANAL,,"clôture entre 9,92 € et 10,52 € au 2021-01-29",9.922,10.516,,,2021-01-29,10.376551628112793,CONFIRMEE
2020-12-31,CAP.PA,CANAL,,"clôture entre 113,99 € et 115,47 € au 2021-01-29",113.994,115.474,,,2021-01-29,106.21468353271484,DEMENTIE
2020-12-31,CS.PA,CANAL,,"encadrement ferme avant le 2021-01-29 : les bornes prolongees se croisent, la thèse est inconfirmable à l'écriture",15.606,14.624,,,2021-01-29,12.8168306350708,INCONFIRMABLE
2020-12-31,CS.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR39 dans ± 9,20 pt (σ̂), au 2021-01-29",-9.202231610394414,9.202231610394414,,9.2022,2021-01-29,-8.92027364685255,CONFIRMEE
2020-12-31,DG.PA,CANAL,,"clôture entre 71,80 € et 78,63 € au 2021-01-29",71.8,78.626,,,2021-01-29,61.97576904296875,DEMENTIE
2020-12-31,DSY.PA,CANAL,,"clôture entre 27,89 € et 32,56 € au 2021-01-29",27.887999999999998,32.556,,,2021-01-29,31.667301177978516,CONFIRMEE
2020-12-31,EL.PA,CANAL,,"encadrement ferme avant le 2021-01-29 : les bornes prolongees se croisent, la thèse est inconfirmable à l'écriture",123.414,118.11,,,2021-01-29,103.35625457763672,INCONFIRMABLE
2020-12-31,EN.PA,CANAL,,"clôture entre 26,86 € et 26,91 € au 2021-01-29",26.856,26.908,,,2021-01-29,23.77930450439453,DEMENTIE
2020-12-31,ENGI.PA,CANAL,,"encadrement ferme avant le 2021-01-29 : les bornes prolongees se croisent, la thèse est inconfirmable à l'écriture",8.584,8.52,,,2021-01-29,8.314111709594727,INCONFIRMABLE
2020-12-31,GLE.PA,CANAL,,"clôture entre 15,05 € et 15,21 € au 2021-01-29",15.046,15.214,,,2021-01-29,12.089618682861328,DEMENTIE
2020-12-31,GLE.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR39 dans ± 12,86 pt (σ̂), au 2021-01-29",-12.857915268427705,12.857915268427705,,12.8579,2021-01-29,-12.014301015658424,CONFIRMEE
2020-12-31,HO.PA,CANAL,,"clôture entre 73,60 € et 77,78 € au 2021-01-29",73.598,77.78,,,2021-01-29,65.8162612915039,DEMENTIE
2020-12-31,KER.PA,CANAL,,"clôture entre 486,80 € et 496,29 € au 2021-01-29",486.798,496.286,,,2021-01-29,469.87628173828125,DEMENTIE
2020-12-31,LR.PA,CANAL,,"encadrement ferme avant le 2021-01-29 : les bornes prolongees se croisent, la thèse est inconfirmable à l'écriture",68.36,66.796,,,2021-01-29,67.6418228149414,INCONFIRMABLE
2020-12-31,MC.PA,CANAL,,"encadrement ferme avant le 2021-01-29 : les bornes prolongees se croisent, la thèse est inconfirmable à l'écriture",498.878,490.892,,,2021-01-29,449.3862609863281,INCONFIRMABLE
2020-12-31,ML.PA,CANAL,,"clôture entre 22,48 € et 23,42 € au 2021-01-29",22.482000000000003,23.418,,,2021-01-29,22.804418563842773,CONFIRMEE
2020-12-31,MT.AS,CANAL,,"clôture entre 11,41 € et 20,11 € au 2021-01-29",11.414,20.112,,,2021-01-29,16.485591888427734,CONFIRMEE
2020-12-31,MT.AS,REFLEXIVE,AUTO-RENFORCEMENT,"AUTO-RENFORCEMENT : écart contre TR39 au-dessus de +5,38 pt (0,5 σ̂), au 2021-01-29",5.376516231869892,,-5.376516231869892,10.753,2021-01-29,-7.147274744264454,DEMENTIE
2020-12-31,OR.PA,CANAL,,"clôture entre 281,21 € et 282,39 € au 2021-01-29",281.21200000000005,282.386,,,2021-01-29,264.4212951660156,DEMENTIE
2020-12-31,ORA.PA,CANAL,,"clôture entre 7,06 € et 7,18 € au 2021-01-29",7.062,7.18,,,2021-01-29,6.744333744049072,DEMENTIE
2020-12-31,PUB.PA,CANAL,,"encadrement ferme avant le 2021-01-29 : les bornes prolongees se croisent, la thèse est inconfirmable à l'écriture",36.166,35.994,,,2021-01-29,33.411224365234375,INCONFIRMABLE
2020-12-31,RI.PA,CANAL,,"clôture entre 136,81 € et 138,55 € au 2021-01-29",136.814,138.54799999999997,,,2021-01-29,127.92831420898438,DEMENTIE
2020-12-31,RMS.PA,CANAL,,"clôture entre 840,34 € et 864,14 € au 2021-01-29",840.342,864.144,,,2021-01-29,801.961669921875,DEMENTIE
2020-12-31,RNO.PA,CANAL,,"encadrement ferme avant le 2021-01-29 : les bornes prolongees se croisent, la thèse est inconfirmable à l'écriture",35.89,34.91,,,2021-01-29,29.831287384033203,INCONFIRMABLE
2020-12-31,SAF.PA,CANAL,,"clôture entre 118,98 € et 132,17 € au 2021-01-29",118.98,132.174,,,2021-01-29,98.95026397705078,DEMENTIE
2020-12-31,SAN.PA,CANAL,,"clôture entre 58,19 € et 63,71 € au 2021-01-29",58.188,63.708000000000006,,,2021-01-29,59.96028137207031,CONFIRMEE
2020-12-31,SGO.PA,CANAL,,"clôture entre 33,91 € et 37,61 € au 2021-01-29",33.914,37.606,,,2021-01-29,34.74098587036133,CONFIRMEE
2020-12-31,STMPA.PA,CANAL,,"clôture entre 29,41 € et 35,38 € au 2021-01-29",29.412,35.376,,,2021-01-29,31.650251388549805,CONFIRMEE
