ISIN,SICOVAM,NOM,TICKER,ENTREE_INDICE,SORTIE_INDICE,EVALUABLE_DES,RETENUE,MOTIF
FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,,,,oui,
FR0000120073,12007,AIR LIQUIDE,AI.PA,,,,oui,
NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,,,,oui,
FR0010220475,1022047,Alstom,ALO.PA,,,,oui,
FR0000051732,5173,Atos,ATO.PA,,2021-09-17,,oui,
FR0000120644,12064,DANONE,BN.PA,,,,oui,
FR0000131104,13110,BNP,BNP.PA,,,,oui,
FR0000120172,12017,CARREFOUR,CA.PA,,,,oui,
FR0000125338,12533,Cap Gémini,CAP.PA,,,,oui,
FR0000120628,12062,Axa,CS.PA,,,,oui,
FR0000125486,12548,Vinci,DG.PA,,,,oui,
FR0000130650,13065,Dassault Systèmes,DSY.PA,,,,oui,
FR0000121667,12166,EssilorLuxottica,EL.PA,,,,oui,
FR0000120503,12050,BOUYGUES,EN.PA,,,,oui,
FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,,,,oui,
FR0014000MR3,14000,Eurofins Scientific,ERF.PA,2021-09-20,,,oui,
FR0000130809,13080,Société Générale,GLE.PA,,,,oui,
FR0000121329,12132,Thales (ex-Thomson CSF),HO.PA,,,,oui,
FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,,,,oui,
FR0010307819,1030781,Legrand,LR.PA,,,,oui,
FR0000121014,12101,LVMH MOET HENESSY,MC.PA,,,,oui,
FR0000121261,12126,Michelin B,ML.PA,,,,oui,
LU0323134006,32313400,ArcelorMittal,MT.AS,,,,oui,
FR0000120321,12032,L'Oréal,OR.PA,,,,oui,
FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,,,,oui,
FR0000130577,13057,Publicis Groupe SA,PUB.PA,,,,oui,
FR0000120693,12069,Pernod Ricard,RI.PA,,,,oui,
FR0000052292,5229,Hermes International,RMS.PA,,,,oui,
FR0000131906,13190,Renault,RNO.PA,,,,oui,
FR0000073272,7327,Safran,SAF.PA,,,,oui,
FR0000120578,12057,Sanofi,SAN.PA,,,,oui,
FR0000125007,12500,SAINT-GOBAIN,SGO.PA,,,,oui,
NL00150001Q9,150001,Stellantis,STLAP.PA,2021-01-18,,2021-07-06,oui,série synthétique avant le 2021-01-18 ; évaluable à sa 120e séance de volume strictement positif
NL0000226223,12970,STMicroelectronics (Ex-SGS Thomson Microelectronics),STMPA.PA,,,,oui,
FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,,,,oui,
FR0000051807,5180,Teleperformance,TEP.PA,,,,oui,
FR0000120271,12027,Total,TTE.PA,,,,oui,
FR0000124141,12414,Veolia Environnement,VIE.PA,,,,oui,
FR0000127771,12777,Vivendi,VIV.PA,,,,oui,
FR0011981968,1198196,Worldline,WLN.PA,,,,oui,
FR0000121501,12150,Peugeot S.A.,,,2021-01-15,,non,"radiée après la fusion Stellantis, aucune série servie"
FR0000124711,12471,Unibail-Rodamco,,,,,non,"aucune série en euros chez le fournisseur (seul UNBLF, en dollars)"
