DATE,ESPECES,TITRES,TOTAL,BASE100,REFERENCE100,LIGNES
2022-01-03,10000.0,0,10000.0,100.0,100.0,0
2022-01-04,10000.0,0,10000.0,100.0,101.2989,0
2022-01-05,10000.0,0,10000.0,100.0,102.2368,0
2022-01-06,10000.0,0,10000.0,100.0,101.2356,0
2022-01-07,10000.0,0,10000.0,100.0,101.1555,0
2022-01-10,10000.0,0,10000.0,100.0,99.7746,0
2022-01-11,10000.0,0,10000.0,100.0,100.5923,0
2022-01-12,10000.0,0,10000.0,100.0,101.219,0
2022-01-13,10000.0,0,10000.0,100.0,101.5111,0
2022-01-14,10000.0,0,10000.0,100.0,100.7062,0
2022-01-17,10000.0,0,10000.0,100.0,101.388,0
2022-01-18,10000.0,0,10000.0,100.0,100.411,0
2022-01-19,10000.0,0,10000.0,100.0,100.4366,0
2022-01-20,10000.0,0,10000.0,100.0,100.6032,0
2022-01-21,10000.0,0,10000.0,100.0,98.6802,0
2022-01-24,10000.0,0,10000.0,100.0,94.8998,0
2022-01-25,10000.0,0,10000.0,100.0,95.4004,0
2022-01-26,10000.0,0,10000.0,100.0,97.3535,0
2022-01-27,10000.0,0,10000.0,100.0,97.5952,0
2022-01-28,10000.0,0,10000.0,100.0,96.4708,0
2022-01-31,10000.0,0,10000.0,100.0,96.9072,0
2022-02-01,10000.0,0,10000.0,100.0,98.3153,0
2022-02-02,10000.0,0,10000.0,100.0,98.6894,0
2022-02-03,10000.0,0,10000.0,100.0,97.6239,0
2022-02-04,10000.0,0,10000.0,100.0,96.6708,0
2022-02-07,10000.0,0,10000.0,100.0,97.2551,0
2022-02-08,10000.0,0,10000.0,100.0,97.8119,0
2022-02-09,10000.0,0,10000.0,100.0,99.3594,0
2022-02-10,10000.0,0,10000.0,100.0,99.3401,0
2022-02-11,10000.0,0,10000.0,100.0,98.2942,0
2022-02-14,10000.0,0,10000.0,100.0,96.1182,0
2022-02-15,10000.0,0,10000.0,100.0,97.5897,0
2022-02-16,10000.0,0,10000.0,100.0,97.4695,0
2022-02-17,10000.0,0,10000.0,100.0,97.1675,0
2022-02-18,10000.0,0,10000.0,100.0,96.9075,0
2022-02-21,10000.0,0,10000.0,100.0,94.9766,0
2022-02-22,10000.0,0,10000.0,100.0,95.0684,0
2022-02-23,10000.0,0,10000.0,100.0,95.0095,0
2022-02-24,10000.0,0,10000.0,100.0,91.4091,0
2022-02-25,10000.0,0,10000.0,100.0,94.5272,0
2022-02-28,10000.0,0,10000.0,100.0,93.667,0
2022-03-01,10000.0,0,10000.0,100.0,90.2666,0
2022-03-02,10000.0,0,10000.0,100.0,90.8021,0
2022-03-03,10000.0,0,10000.0,100.0,89.404,0
2022-03-04,10000.0,0,10000.0,100.0,85.0796,0
2022-03-07,10000.0,0,10000.0,100.0,83.7464,0
2022-03-08,10000.0,0,10000.0,100.0,83.4825,0
2022-03-09,10000.0,0,10000.0,100.0,89.1114,0
2022-03-10,10000.0,0,10000.0,100.0,86.9457,0
2022-03-11,10000.0,0,10000.0,100.0,87.6262,0
2022-03-14,10000.0,0,10000.0,100.0,89.1874,0
2022-03-15,10000.0,0,10000.0,100.0,89.1862,0
2022-03-16,10000.0,0,10000.0,100.0,92.294,0
2022-03-17,10000.0,0,10000.0,100.0,92.5241,0
2022-03-18,10000.0,0,10000.0,100.0,92.7463,0
2022-03-21,10000.0,0,10000.0,100.0,92.4833,0
2022-03-22,10000.0,0,10000.0,100.0,93.4699,0
2022-03-23,10000.0,0,10000.0,100.0,92.4538,0
2022-03-24,10000.0,0,10000.0,100.0,91.9304,0
2022-03-25,10000.0,0,10000.0,100.0,92.0402,0
2022-03-28,10000.0,0,10000.0,100.0,92.2158,0
2022-03-29,10000.0,0,10000.0,100.0,94.9772,0
2022-03-30,10000.0,0,10000.0,100.0,94.1167,0
2022-03-31,10000.0,0,10000.0,100.0,92.8917,0
2022-04-01,8008.15,2017.71,10025.86,100.2586,92.9919,1
2022-04-04,8008.15,2012.97,10021.11,100.2111,93.5675,1
2022-04-05,8008.15,1998.08,10006.23,100.0623,91.8982,1
2022-04-06,8008.15,1970.03,9978.17,99.7817,90.1941,1
2022-04-07,8008.15,1938.09,9946.24,99.4624,89.8508,1
2022-04-08,8008.15,1970.46,9978.61,99.7861,90.8602,1
2022-04-11,8008.15,2012.1,10020.25,100.2025,91.1597,1
2022-04-12,8008.15,2003.47,10011.62,100.1162,90.9025,1
2022-04-13,8008.15,2027.64,10035.79,100.3579,90.964,1
2022-04-14,8008.15,2014.91,10023.06,100.2306,91.7534,1
2022-04-19,8008.15,2043.18,10051.32,100.5132,91.4815,1
2022-04-20,8008.15,2029.8,10037.94,100.3794,92.7438,1
2022-04-21,8008.15,2034.76,10042.91,100.4291,93.6425,1
2022-04-22,8008.15,1979.52,9987.67,99.8767,92.1383,1
2022-04-25,8008.15,1900.12,9908.26,99.0826,91.0389,1
2022-04-26,8008.15,1931.4,9939.55,99.3955,90.5535,1
2022-04-27,8008.15,1947.59,9955.73,99.5573,90.7474,1
2022-04-28,8008.15,2018.79,10026.94,100.2694,91.7102,1
2022-04-29,8008.15,2038.0,10046.14,100.4614,92.0861,1
2022-05-02,8008.15,2027.42,10035.57,100.3557,90.6427,1
2022-05-03,8008.15,2105.97,10114.11,101.1411,91.9061,1
2022-05-04,8008.15,2107.05,10115.19,101.1519,90.8589,1
2022-05-05,8008.15,2136.82,10144.97,101.4497,90.357,1
2022-05-06,8008.15,2183.65,10191.79,101.9179,89.2646,1
2022-05-09,8008.15,2077.27,10085.41,100.8541,87.2088,1
2022-05-10,8008.15,2077.7,10085.85,100.8585,87.5134,1
2022-05-11,8008.15,2172.86,10181.0,101.81,89.0591,1
2022-05-12,8008.15,2130.57,10138.71,101.3871,88.2679,1
2022-05-13,8008.15,2204.36,10212.51,102.1251,90.3407,1
2022-05-16,8008.15,2231.55,10239.69,102.3969,90.398,1
2022-05-17,8008.15,2258.3,10266.45,102.6645,91.6535,1
2022-05-18,8008.15,2251.83,10259.98,102.5998,90.5217,1
2022-05-19,8008.15,2223.78,10231.93,102.3193,89.7123,1
2022-05-20,8008.15,2231.55,10239.69,102.3969,89.9914,1
2022-05-23,8008.15,2299.73,10307.88,103.0788,91.2286,1
2022-05-24,8008.15,2263.48,10271.63,102.7163,89.7693,1
2022-05-25,8008.15,2328.22,10336.36,103.3636,90.6426,1
2022-05-26,8008.15,2378.71,10386.85,103.8685,92.0602,1
2022-05-27,8008.15,2368.35,10376.5,103.765,93.2407,1
2022-05-30,8008.15,2381.3,10389.44,103.8944,93.7873,1
2022-05-31,8008.15,2398.99,10407.14,104.0714,92.4413,1
2022-06-01,10387.13,0,10387.13,103.8713,92.023,0
2022-06-02,10387.13,0,10387.13,103.8713,93.1694,0
2022-06-03,10387.13,0,10387.13,103.8713,92.8232,0
2022-06-06,10387.13,0,10387.13,103.8713,93.6739,0
2022-06-07,10387.13,0,10387.13,103.8713,93.156,0
2022-06-08,10387.13,0,10387.13,103.8713,92.3849,0
2022-06-09,10387.13,0,10387.13,103.8713,91.2826,0
2022-06-10,10387.13,0,10387.13,103.8713,88.7394,0
2022-06-13,10387.13,0,10387.13,103.8713,86.5255,0
2022-06-14,10387.13,0,10387.13,103.8713,85.4542,0
2022-06-15,10387.13,0,10387.13,103.8713,86.7919,0
2022-06-16,10387.13,0,10387.13,103.8713,84.5896,0
2022-06-17,10387.13,0,10387.13,103.8713,84.7639,0
2022-06-20,10387.13,0,10387.13,103.8713,85.5094,0
2022-06-21,10387.13,0,10387.13,103.8713,85.9967,0
2022-06-22,10387.13,0,10387.13,103.8713,85.047,0
2022-06-23,10387.13,0,10387.13,103.8713,84.0214,0
2022-06-24,10387.13,0,10387.13,103.8713,86.2288,0
2022-06-27,10387.13,0,10387.13,103.8713,86.0676,0
2022-06-28,10387.13,0,10387.13,103.8713,86.6325,0
2022-06-29,10387.13,0,10387.13,103.8713,85.3645,0
2022-06-30,10387.13,0,10387.13,103.8713,83.8045,0
2022-07-01,8333.93,2110.59,10444.52,104.4452,84.0486,1
2022-07-04,8333.93,2076.34,10410.27,104.1027,84.0117,1
2022-07-05,8333.93,1962.15,10296.09,102.9609,81.6195,1
2022-07-06,8333.93,2036.81,10370.74,103.7074,83.1107,1
2022-07-07,8333.93,2070.19,10404.12,104.0412,84.6068,1
2022-07-08,8333.93,2106.2,10440.13,104.4013,85.4232,1
2022-07-11,8333.93,2118.49,10452.43,104.5243,84.6443,1
2022-07-12,8333.93,2165.92,10499.86,104.9986,85.3843,1
2022-07-13,8333.93,2136.94,10470.87,104.7087,84.6499,1
2022-07-14,8333.93,2112.35,10446.28,104.4628,83.4803,1
2022-07-15,8333.93,2153.63,10487.56,104.8756,85.2292,1
2022-07-18,8333.93,2158.9,10492.83,104.9283,86.1902,1
2022-07-19,8333.93,2187.0,10520.94,105.2094,87.7187,1
2022-07-20,8333.93,2146.6,10480.53,104.8053,87.5912,1
2022-07-21,8333.93,2137.82,10471.75,104.7175,87.8387,1
2022-07-22,8333.93,2105.32,10439.25,104.3925,87.8251,1
2022-07-25,8333.93,2080.73,10414.66,104.1466,88.0924,1
2022-07-26,8333.93,2122.01,10455.94,104.5594,87.662,1
2022-07-27,8333.93,2142.21,10476.14,104.7614,88.3402,1
2022-07-28,8333.93,2179.1,10513.03,105.1303,89.3229,1
2022-07-29,8333.93,2131.67,10465.6,104.656,90.6415,1
2022-08-01,8333.93,2197.54,10531.48,105.3148,90.5865,1
2022-08-02,8333.93,2217.74,10551.68,105.5168,90.4617,1
2022-08-03,8333.93,2194.03,10527.96,105.2796,91.1952,1
2022-08-04,8333.93,2178.22,10512.15,105.1215,91.6448,1
2022-08-05,8333.93,2169.44,10503.37,105.0337,91.2026,1
2022-08-08,8333.93,2163.29,10497.22,104.9722,91.9228,1
2022-08-09,8333.93,2186.12,10520.06,105.2006,91.4817,1
2022-08-10,8333.93,2157.14,10491.07,104.9107,92.3982,1
2022-08-11,8333.93,2168.56,10502.49,105.0249,92.7857,1
2022-08-12,8333.93,2125.52,10459.45,104.5945,92.6624,1
2022-08-15,8333.93,2133.43,10467.36,104.6736,92.9255,1
2022-08-16,8333.93,2187.88,10521.81,105.2181,93.2713,1
2022-08-17,8333.93,2208.96,10542.89,105.4289,92.2127,1
2022-08-18,8333.93,2189.64,10523.57,105.2357,92.3429,1
2022-08-19,8333.93,2197.54,10531.48,105.3148,91.4388,1
2022-08-22,8333.93,2199.3,10533.23,105.3323,89.6514,1
2022-08-23,8333.93,2187.88,10521.81,105.2181,89.3859,1
2022-08-24,8333.93,2172.95,10506.88,105.0688,89.6066,1
