DATE,DATE_DECISION,TICKER,SENS,QUANTITE,PRIX,BRUT,FRAIS,NET,RANG,TAUX_120,ECART_S,TAUX_20,ECART_OUVERTURE,MOTIF
2022-01-07,2022-01-06,RI.PA,ACHAT,11,173.5244,1908.7679,7.9214,1916.6892,4,0.1636,-1.5472,0.093,-0.2399,"clôture 173,94 € sous le bord bas 175,84 € (-1,55 s), rang 4, TAUX_120 +0,164 %/séance, TAUX_20 +0,093 %/séance"
2022-01-07,2022-01-06,EL.PA,ACHAT,12,162.031,1944.3719,8.0691,1952.4411,7,0.1518,-1.1913,0.2046,-0.4049,"clôture 162,69 € sous le bord bas 163,62 € (-1,19 s), rang 7, TAUX_120 +0,152 %/séance, TAUX_20 +0,205 %/séance"
2022-01-07,2022-01-06,CAP.PA,ACHAT,10,182.8572,1828.5718,7.5886,1836.1604,9,0.1375,-1.1042,0.2773,-0.0984,"clôture 183,04 € sous le bord bas 183,79 € (-1,10 s), rang 9, TAUX_120 +0,138 %/séance, TAUX_20 +0,277 %/séance"
2022-01-11,2022-01-10,STMPA.PA,ACHAT,51,41.8013,2131.8686,2.4516,2134.3202,3,0.2092,-1.2541,0.2411,2.9107,"clôture 40,62 € sous le bord bas 41,06 € (-1,25 s), rang 3, TAUX_120 +0,209 %/séance, TAUX_20 +0,241 %/séance"
2022-01-25,2022-01-24,BNP.PA,ACHAT,49,43.8395,2148.1361,8.9148,2157.0509,4,0.1786,-1.4803,0.2878,1.2978,"clôture 43,28 € sous le bord bas 43,99 € (-1,48 s), rang 4, TAUX_120 +0,179 %/séance, TAUX_20 +0,288 %/séance"
2022-02-10,2022-02-09,BNP.PA,VENTE,49,48.2033,2361.9619,2.7163,2359.2457,3,0.1827,1.0171,-0.0385,0.3448,"clôture 48,04 € au-dessus du bord haut 48,01 € (+1,02 s)"
2022-02-11,2022-02-10,MC.PA,ACHAT,3,633.5419,1900.6258,7.8876,1908.5134,7,0.1225,-1.0927,0.3135,-1.586,"clôture 643,75 € sous le bord bas 645,74 € (-1,09 s), rang 7, TAUX_120 +0,123 %/séance, TAUX_20 +0,314 %/séance"
2022-03-30,2022-03-29,CAP.PA,VENTE,10,181.5067,1815.0669,2.0873,1812.9796,,-0.0808,1.2155,0.707,0.149,"clôture 181,24 € au-dessus du bord haut 179,22 € (+1,22 s)"
2022-03-30,2022-03-29,EL.PA,VENTE,12,153.1104,1837.3246,2.1129,1835.2117,,-0.1175,1.0568,0.9227,0.1631,"clôture 152,86 € au-dessus du bord haut 152,38 € (+1,06 s)"
2022-03-30,2022-03-29,STMPA.PA,VENTE,51,39.6514,2022.2208,2.3256,2019.8953,,-0.0929,1.1139,0.9857,-0.2051,"clôture 39,73 € au-dessus du bord haut 39,44 € (+1,11 s)"
2022-03-30,2022-03-29,TTE.PA,ACHAT,55,36.3797,2000.884,8.3037,2009.1877,4,0.1356,-1.1851,0.1622,1.2115,"clôture 35,94 € sous le bord bas 36,30 € (-1,19 s), rang 4, TAUX_120 +0,136 %/séance, TAUX_20 +0,162 %/séance"
