DATE,L5-P1,L10-P1,L5-P2,L10-P2,APPARIEE,REFERENCE100
2022-01-03,100.0,100.0,100.0,100.0,100.0,100.0
2022-01-04,100.0,100.0,100.0,100.0,100.0,101.2989
2022-01-05,100.0,100.0,100.0,100.0,100.0,102.2368
2022-01-06,100.0,100.0,100.0,100.0,100.0,101.2356
2022-01-07,98.5731,99.3085,100.0,100.0,100.0,101.1555
2022-01-10,97.8479,98.9421,98.6902,99.3779,100.0,99.7746
2022-01-11,97.8929,98.9866,99.1822,99.6062,100.2193,100.5923
2022-01-12,97.8124,98.9554,99.2789,99.6474,100.3875,101.219
2022-01-13,97.8673,98.9772,98.6774,99.367,100.4656,101.5111
2022-01-14,96.8838,98.4973,98.1331,99.1065,100.2525,100.7062
2022-01-17,98.3833,99.2238,99.3617,99.6814,100.4327,101.388
2022-01-18,97.0902,98.607,98.5103,99.2853,100.1716,100.411
2022-01-19,97.1724,98.6624,99.2681,99.6416,100.1784,100.4366
2022-01-20,97.5686,98.8597,99.6396,99.8205,100.2232,100.6032
2022-01-21,96.4186,98.3008,98.8191,99.4328,99.7043,98.6802
2022-01-24,93.2473,96.7616,96.5094,98.352,98.6804,94.8998
2022-01-25,93.0696,96.6737,96.0264,98.1288,98.8158,95.4004
2022-01-26,95.1033,97.7323,96.8707,98.5219,99.3383,97.3535
2022-01-27,95.8146,98.2981,96.9986,98.578,99.4028,97.5952
2022-01-28,94.3254,97.5057,96.3727,98.2839,99.1031,96.4708
2022-01-31,95.3489,98.0006,96.7679,98.4675,99.2194,96.9072
2022-02-01,97.272,99.0582,98.1883,99.1436,99.5955,98.3153
2022-02-02,97.8855,99.472,99.1471,99.5952,99.6963,98.6894
2022-02-03,95.5908,98.5211,97.5415,98.8438,99.4065,97.6239
2022-02-04,94.8791,98.255,97.0016,98.5985,99.1506,96.6708
2022-02-07,95.7634,98.7091,97.3281,98.7558,99.3075,97.2551
2022-02-08,96.1414,98.7969,97.3983,98.7892,99.457,97.8119
2022-02-09,98.2616,99.9167,98.5854,99.35,99.8713,99.3594
2022-02-10,97.6454,99.5205,97.9869,99.0622,99.8661,99.3401
2022-02-11,96.1825,98.7767,97.1905,98.6691,99.5872,98.2942
2022-02-14,94.3756,97.9607,96.0468,98.1468,99.0087,96.1182
2022-02-15,95.6713,99.0538,96.9826,98.5183,99.4956,97.5897
2022-02-16,94.7614,98.5015,95.9486,98.0603,99.4559,97.4695
2022-02-17,94.5706,98.3176,96.1605,98.1604,99.3571,97.1675
2022-02-18,94.6608,98.2372,96.5563,98.3357,99.2717,96.9075
2022-02-21,92.9499,96.4812,94.8118,97.2957,98.4173,94.9766
2022-02-22,93.0188,96.1177,94.6984,97.421,98.4688,95.0684
2022-02-23,93.01,95.8322,94.4068,97.099,98.4289,95.0095
2022-02-24,90.4081,91.173,90.4767,93.3666,95.9927,91.4091
2022-02-25,93.6275,94.6559,93.6085,95.2166,98.086,94.5272
2022-02-28,92.7698,91.9856,91.3142,92.954,97.5091,93.667
2022-03-01,89.8039,86.6585,87.4432,89.9723,95.2519,90.2666
2022-03-02,90.1948,86.2521,88.2793,90.3784,95.6054,90.8021
2022-03-03,89.0473,85.0145,87.5755,90.1208,94.682,89.404
2022-03-04,84.3654,79.6084,82.6897,86.6564,91.8139,85.0796
2022-03-07,83.2146,77.7309,81.049,85.6036,90.9344,83.7464
2022-03-08,81.7107,78.5572,80.4615,85.9592,90.7606,83.4825
2022-03-09,88.346,85.774,87.3635,90.5967,94.4824,89.1114
2022-03-10,85.7132,82.7483,84.3175,88.4482,93.0398,86.9457
2022-03-11,86.2107,83.0776,84.7653,88.8532,93.4907,87.6262
2022-03-14,87.2505,85.1453,86.7617,90.4145,94.525,89.1874
2022-03-15,86.9248,85.3576,86.2949,90.2881,94.5241,89.1862
2022-03-16,91.2896,89.3195,90.5976,93.1166,96.5892,92.294
2022-03-17,92.1655,89.9889,91.0816,93.2722,96.7429,92.5241
2022-03-18,93.5701,90.3704,92.1148,93.5106,96.8914,92.7463
2022-03-21,93.407,89.8026,91.6461,93.3381,96.7156,92.4833
2022-03-22,94.1519,91.0751,92.5089,94.027,97.375,93.4699
2022-03-23,93.1385,89.6542,91.0087,93.119,96.6956,92.4538
2022-03-24,93.2054,88.9111,90.2497,92.648,96.3462,91.9304
2022-03-25,93.3187,88.5613,89.8318,92.3354,96.4194,92.0402
2022-03-28,94.0392,89.3578,90.9059,93.0346,96.5363,92.2158
2022-03-29,97.3675,93.1626,94.974,96.3746,98.7226,94.9772
2022-03-30,97.6967,92.7183,94.5714,95.8358,98.0386,94.1167
2022-03-31,96.7724,91.7044,93.8531,95.2237,97.3073,92.8917
2022-04-01,97.4459,92.1784,93.7687,95.4165,97.3581,92.9919
2022-04-04,98.0575,92.1782,94.0287,95.2757,97.6504,93.5675
2022-04-05,98.1774,90.3861,93.0704,93.5401,96.8068,91.8982
2022-04-06,96.6062,88.9646,91.7565,92.536,95.9547,90.1941
2022-04-07,96.1175,87.965,90.9615,91.6714,95.7834,89.8508
2022-04-08,96.906,88.9544,91.9686,92.5045,96.3945,90.8602
2022-04-11,97.4902,90.125,92.8384,93.7874,96.6092,91.1597
2022-04-12,97.8307,90.1093,93.1596,93.8239,96.4238,90.9025
2022-04-13,98.0204,90.4924,93.4313,94.0835,96.4682,90.964
2022-04-14,97.9825,90.8188,93.6205,94.3616,97.0386,91.7534
2022-04-19,97.9395,90.5934,93.6693,94.0995,96.8424,91.4815
2022-04-20,98.6128,92.2854,94.8603,95.5582,97.7529,92.7438
2022-04-21,99.6005,93.3903,96.2373,96.5727,98.403,93.6425
2022-04-22,98.2769,92.2022,94.7122,95.4184,97.313,92.1383
2022-04-25,97.0965,91.3298,93.2111,94.2407,96.5167,91.0389
2022-04-26,97.5924,91.16,93.5259,94.1757,96.1658,90.5535
2022-04-27,97.8617,90.4145,93.5401,93.667,96.3062,90.7474
2022-04-28,98.7771,91.0894,94.3091,94.2324,97.0009,91.7102
2022-04-29,99.0051,91.2224,94.6239,94.3943,97.272,92.0861
2022-05-02,98.1345,90.0595,93.4504,93.2657,96.2316,90.6427
2022-05-03,99.1338,91.5949,95.3345,94.7425,97.1417,91.9061
2022-05-04,98.6204,90.9959,94.7287,94.0908,96.3851,90.8589
2022-05-05,98.3244,90.3592,94.3102,93.5696,96.0224,90.357
2022-05-06,98.3035,89.7988,94.2425,93.1228,95.2335,89.2646
2022-05-09,96.4638,87.9669,92.1824,91.3409,93.7463,87.2088
2022-05-10,96.5483,88.3726,92.6756,91.7552,93.9663,87.5134
2022-05-11,98.6479,90.5731,95.1642,93.7597,95.0836,89.0591
2022-05-12,97.8672,89.3163,94.1328,92.6318,94.509,88.2679
2022-05-13,99.5452,91.0832,96.1101,94.2124,96.0101,90.3407
2022-05-16,99.6451,91.2963,96.1737,94.182,96.0516,90.398
2022-05-17,100.2474,92.9874,97.2117,95.3193,96.9609,91.6535
2022-05-18,99.8067,92.6172,96.7199,94.8715,96.2784,90.5217
2022-05-19,98.6385,91.853,96.035,94.3275,95.7894,89.7123
2022-05-20,97.987,91.9729,95.5558,94.4504,95.958,89.9914
2022-05-23,98.117,93.0449,96.5426,95.5163,96.8459,91.2286
2022-05-24,97.4053,92.201,95.4537,94.6452,95.7975,89.7693
2022-05-25,97.5641,92.5891,95.6,95.0527,96.2427,90.6426
2022-05-26,98.833,93.3693,96.8264,95.8635,96.965,92.0602
2022-05-27,99.4129,93.7294,97.3941,96.2233,97.5671,93.2407
2022-05-30,99.5389,93.8832,97.5372,96.3885,97.8452,93.7873
2022-05-31,98.9419,92.9502,96.9746,95.4116,97.1612,92.4413
2022-06-01,99.1317,92.9956,97.1727,95.4562,96.9751,92.023
2022-06-02,99.5791,93.3055,97.614,95.7877,97.4869,93.1694
2022-06-03,99.7434,93.5163,97.7734,96.0139,97.3327,92.8232
2022-06-06,99.9846,93.8154,97.9921,96.3175,97.7136,93.6739
2022-06-07,99.9831,93.8594,98.0033,96.372,97.4343,93.156
2022-06-08,99.4602,93.4413,97.4781,95.9522,97.0171,92.3849
2022-06-09,99.0487,93.2832,97.0632,95.7876,96.5494,91.2826
2022-06-10,97.8699,92.3728,95.9268,94.8608,95.4651,88.7394
2022-06-13,97.9077,92.1841,96.0029,94.6643,94.519,86.5255
2022-06-14,97.5959,92.1802,95.7328,94.6429,94.0555,85.4542
2022-06-15,98.0312,92.6726,96.1353,95.1397,94.6384,86.7919
2022-06-16,97.5345,92.2412,95.6521,94.7069,93.6802,84.5896
2022-06-17,97.1721,92.0199,95.2826,94.481,93.7567,84.7639
2022-06-20,98.0643,92.5305,96.1765,94.9965,94.0823,85.5094
2022-06-21,97.6021,92.2769,95.7219,94.7312,94.2957,85.9967
2022-06-22,96.0021,91.4217,94.0922,93.8583,93.8829,85.047
2022-06-23,95.2127,90.8455,93.306,93.2747,93.4405,84.0214
2022-06-24,96.7382,91.7726,94.7924,94.229,94.3905,86.2288
2022-06-27,96.6146,91.5236,94.696,93.9737,94.3211,86.0676
2022-06-28,97.4608,92.021,95.5179,94.4837,94.5635,86.6325
2022-06-29,96.8837,91.6275,94.9591,94.0813,94.017,85.3645
