DATE,ESPECES,TITRES,TOTAL,BASE100,REFERENCE100,LIGNES
2022-01-03,10000.0,0,10000.0,100.0,100.0,0
2022-01-04,10000.0,0,10000.0,100.0,101.2989,0
2022-01-05,9017.51,974.18,9991.7,99.917,102.2368,1
2022-01-06,9017.51,938.61,9956.13,99.5613,101.2356,1
2022-01-07,9017.51,921.84,9939.35,99.3935,101.1555,1
2022-01-10,6295.57,3557.77,9853.34,98.5334,99.7746,4
2022-01-11,6295.57,3591.2,9886.77,98.8677,100.5923,4
2022-01-12,6295.57,3594.07,9889.64,98.8964,101.219,4
2022-01-13,6295.57,3547.52,9843.09,98.4309,101.5111,4
2022-01-14,6295.57,3509.33,9804.9,98.049,100.7062,4
2022-01-17,6295.57,3578.38,9873.95,98.7395,101.388,4
2022-01-18,6295.57,3524.98,9820.55,98.2055,100.411,4
2022-01-19,6295.57,3569.09,9864.66,98.6466,100.4366,4
2022-01-20,5264.67,4626.1,9890.77,98.9077,100.6032,5
2022-01-21,5264.67,4546.81,9811.48,98.1148,98.6802,5
2022-01-24,5264.67,4342.89,9607.56,96.0756,94.8998,5
2022-01-25,4290.27,5269.84,9560.11,95.6011,95.4004,6
2022-01-26,2614.43,7048.34,9662.77,96.6277,97.3535,8
2022-01-27,1380.83,8311.1,9691.93,96.9193,97.5952,9
2022-01-28,1380.83,8246.66,9627.49,96.2749,96.4708,9
2022-01-31,1380.83,8369.81,9750.63,97.5063,96.9072,9
2022-02-01,1380.83,8500.9,9881.72,98.8172,98.3153,9
2022-02-02,1380.83,8597.25,9978.08,99.7808,98.6894,9
2022-02-03,1380.83,8357.15,9737.97,97.3797,97.6239,9
2022-02-04,1380.83,8299.02,9679.84,96.7984,96.6708,9
2022-02-07,1380.83,8285.86,9666.69,96.6669,97.2551,9
2022-02-08,1380.83,8280.49,9661.32,96.6132,97.8119,9
2022-02-09,1380.83,8447.23,9828.06,98.2806,99.3594,9
2022-02-10,1380.83,8367.32,9748.15,97.4815,99.3401,9
2022-02-11,1380.83,8178.55,9559.37,95.5937,98.2942,9
2022-02-14,1380.83,8012.99,9393.81,93.9381,96.1182,9
2022-02-15,1380.83,8195.24,9576.06,95.7606,97.5897,9
2022-02-16,5.9,9490.12,9496.02,94.9602,97.4695,10
2022-02-17,5.9,9524.07,9529.97,95.2997,97.1675,10
2022-02-18,5.9,9419.47,9425.37,94.2537,96.9075,10
2022-02-21,5.9,9234.75,9240.65,92.4065,94.9766,10
2022-02-22,5.9,9226.83,9232.73,92.3273,95.0684,10
2022-02-23,5.9,9225.58,9231.48,92.3148,95.0095,10
2022-02-24,5.9,8969.49,8975.39,89.7539,91.4091,10
2022-02-25,5.9,9273.74,9279.64,92.7964,94.5272,10
2022-02-28,5.9,9240.94,9246.84,92.4684,93.667,10
2022-03-01,5.9,8927.36,8933.26,89.3326,90.2666,10
2022-03-02,5.9,8968.12,8974.02,89.7402,90.8021,10
2022-03-03,5.9,8822.62,8828.52,88.2852,89.404,10
2022-03-04,5.9,8342.96,8348.87,83.4887,85.0796,10
2022-03-07,5.9,8252.42,8258.32,82.5832,83.7464,10
2022-03-08,5.9,8112.39,8118.29,81.1829,83.4825,10
2022-03-09,5.9,8818.4,8824.3,88.243,89.1114,10
2022-03-10,5.9,8525.24,8531.14,85.3114,86.9457,10
2022-03-11,5.9,8566.6,8572.51,85.7251,87.6262,10
2022-03-14,5.9,8728.57,8734.47,87.3447,89.1874,10
2022-03-15,5.9,8724.4,8730.3,87.303,89.1862,10
2022-03-16,5.9,9155.72,9161.62,91.6162,92.294,10
2022-03-17,5.9,9235.22,9241.12,92.4112,92.5241,10
2022-03-18,5.9,9313.08,9318.98,93.1898,92.7463,10
2022-03-21,5.9,9241.25,9247.15,92.4715,92.4833,10
2022-03-22,5.9,9347.02,9352.92,93.5292,93.4699,10
2022-03-23,5.9,9241.84,9247.74,92.4774,92.4538,10
2022-03-24,5.9,9194.55,9200.45,92.0045,91.9304,10
2022-03-25,5.9,9173.34,9179.24,91.7924,92.0402,10
2022-03-28,5.9,9251.39,9257.29,92.5729,92.2158,10
2022-03-29,5.9,9635.98,9641.88,96.4188,94.9772,10
2022-03-30,3746.73,5841.84,9588.57,95.8857,94.1167,6
2022-03-31,4569.59,4991.64,9561.22,95.6122,92.8917,5
2022-04-01,4569.59,5004.87,9574.46,95.7446,92.9919,5
2022-04-04,4569.59,5073.13,9642.72,96.4272,93.5675,5
2022-04-05,4569.59,4974.21,9543.79,95.4379,91.8982,5
2022-04-06,5825.54,3596.95,9422.49,94.2249,90.1941,4
2022-04-07,4872.91,4487.26,9360.16,93.6016,89.8508,5
2022-04-08,3909.66,5502.17,9411.83,94.1183,90.8602,6
2022-04-11,3909.66,5525.86,9435.53,94.3553,91.1597,6
2022-04-12,3909.66,5540.11,9449.77,94.4977,90.9025,6
2022-04-13,3909.66,5566.05,9475.71,94.7571,90.964,6
2022-04-14,3909.66,5566.0,9475.66,94.7566,91.7534,6
2022-04-19,3909.66,5562.73,9472.39,94.7239,91.4815,6
2022-04-20,3909.66,5634.63,9544.29,95.4429,92.7438,6
2022-04-21,3909.66,5735.78,9645.44,96.4544,93.6425,6
2022-04-22,3909.66,5604.52,9514.18,95.1418,92.1383,6
2022-04-25,3909.66,5518.48,9428.14,94.2814,91.0389,6
2022-04-26,3909.66,5486.21,9395.87,93.9587,90.5535,6
2022-04-27,2948.52,6510.79,9459.32,94.5932,90.7474,7
2022-04-28,1966.88,7550.59,9517.46,95.1746,91.7102,8
2022-04-29,1966.88,7565.78,9532.66,95.3266,92.0861,8
2022-05-02,1966.88,7416.82,9383.7,93.837,90.6427,8
2022-05-03,1966.88,7539.44,9506.31,95.0631,91.9061,8
2022-05-04,1966.88,7469.27,9436.14,94.3614,90.8589,8
2022-05-05,1966.88,7406.03,9372.9,93.729,90.357,8
2022-05-06,1966.88,7347.15,9314.03,93.1403,89.2646,8
2022-05-09,1966.88,7144.74,9111.61,91.1161,87.2088,8
2022-05-10,1966.88,7185.42,9152.29,91.5229,87.5134,8
2022-05-11,1002.11,8369.32,9371.43,93.7143,89.0591,9
2022-05-12,1002.11,8220.68,9222.78,92.2278,88.2679,9
2022-05-13,1002.11,8395.05,9397.16,93.9716,90.3407,9
2022-05-16,1002.11,8430.51,9432.62,94.3262,90.398,9
2022-05-17,2102.47,7428.58,9531.05,95.3105,91.6535,8
2022-05-18,2102.47,7335.45,9437.92,94.3792,90.5217,8
2022-05-19,2102.47,7253.71,9356.18,93.5618,89.7123,8
2022-05-20,1061.97,8330.99,9392.96,93.9296,89.9914,9
2022-05-23,1061.97,8446.97,9508.95,95.0895,91.2286,9
2022-05-24,2250.47,7145.28,9395.75,93.9575,89.7693,8
2022-05-25,2250.47,7186.63,9437.1,94.371,90.6426,8
2022-05-26,2250.47,7312.2,9562.67,95.6267,92.0602,8
2022-05-27,3333.34,6279.23,9612.57,96.1257,93.2407,7
2022-05-30,3333.34,6315.38,9648.72,96.4872,93.7873,7
2022-05-31,3890.82,5657.14,9547.96,95.4796,92.4413,6
2022-06-01,3890.82,5652.67,9543.49,95.4349,92.023,6
2022-06-02,3890.82,5731.68,9622.5,96.225,93.1694,6
2022-06-03,3890.82,5749.14,9639.96,96.3996,92.8232,6
2022-06-06,2924.13,6719.47,9643.59,96.4359,93.6739,7
2022-06-07,3775.51,5862.5,9638.01,96.3801,93.156,6
2022-06-08,4688.88,4898.22,9587.1,95.871,92.3849,5
2022-06-09,4688.88,4873.61,9562.49,95.6249,91.2826,5
2022-06-10,4688.88,4805.75,9494.63,94.9463,88.7394,5
2022-06-13,3798.58,5693.87,9492.45,94.9245,86.5255,6
2022-06-14,3798.58,5663.19,9461.77,94.6177,85.4542,6
2022-06-15,3798.58,5686.83,9485.41,94.8541,86.7919,6
2022-06-16,3798.58,5633.67,9432.24,94.3224,84.5896,6
2022-06-17,3798.58,5625.92,9424.5,94.245,84.7639,6
2022-06-20,3798.58,5675.15,9473.73,94.7373,85.5094,6
2022-06-21,3798.58,5631.48,9430.05,94.3005,85.9967,6
2022-06-22,3798.58,5556.26,9354.83,93.5483,85.047,6
2022-06-23,3798.58,5492.5,9291.07,92.9107,84.0214,6
2022-06-24,3798.58,5622.02,9420.59,94.2059,86.2288,6
2022-06-27,3798.58,5603.94,9402.51,94.0251,86.0676,6
2022-06-28,3798.58,5657.25,9455.82,94.5582,86.6325,6
2022-06-29,3798.58,5612.12,9410.7,94.107,85.3645,6
2022-06-30,3798.58,5548.22,9346.8,93.468,83.8045,6
2022-07-01,2868.09,6508.21,9376.3,93.763,84.0486,7
2022-07-04,2868.09,6504.94,9373.03,93.7303,84.0117,7
2022-07-05,2868.09,6307.48,9175.57,91.7557,81.6195,7
2022-07-06,2868.09,6371.73,9239.83,92.3983,83.1107,7
2022-07-07,2868.09,6425.07,9293.16,92.9316,84.6068,7
2022-07-08,2868.09,6508.04,9376.13,93.7613,85.4232,7
2022-07-11,2868.09,6446.97,9315.06,93.1506,84.6443,7
2022-07-12,2868.09,6497.82,9365.92,93.6592,85.3843,7
2022-07-13,2868.09,6445.68,9313.77,93.1377,84.6499,7
2022-07-14,2868.09,6373.69,9241.78,92.4178,83.4803,7
2022-07-15,2868.09,6461.56,9329.65,93.2965,85.2292,7
2022-07-18,1944.53,7434.67,9379.2,93.792,86.1902,8
2022-07-19,1944.53,7524.84,9469.37,94.6937,87.7187,8
2022-07-20,2946.17,6495.15,9441.32,94.4132,87.5912,7
2022-07-21,2946.17,6433.98,9380.14,93.8014,87.8387,7
2022-07-22,2946.17,6412.39,9358.56,93.5856,87.8251,7
2022-07-25,2946.17,6451.66,9397.83,93.9783,88.0924,7
2022-07-26,2946.17,6461.51,9407.68,94.0768,87.662,7
2022-07-27,2946.17,6487.86,9434.03,94.3403,88.3402,7
2022-07-28,2946.17,6434.01,9380.18,93.8018,89.3229,7
2022-07-29,2946.17,6379.66,9325.83,93.2583,90.6415,7
2022-08-01,2946.17,6328.73,9274.9,92.749,90.5865,7
2022-08-02,2946.17,6369.99,9316.16,93.1616,90.4617,7
2022-08-03,2946.17,6365.36,9311.53,93.1153,91.1952,7
2022-08-04,2946.17,6342.58,9288.74,92.8874,91.6448,7
2022-08-05,2946.17,6397.47,9343.64,93.4364,91.2026,7
2022-08-08,2946.17,6415.3,9361.47,93.6147,91.9228,7
2022-08-09,2946.17,6453.03,9399.2,93.992,91.4817,7
2022-08-10,2946.17,6382.46,9328.63,93.2863,92.3982,7
2022-08-11,2946.17,6411.82,9357.98,93.5798,92.7857,7
2022-08-12,2946.17,6393.25,9339.42,93.3942,92.6624,7
