DATE,TICKER,PHASE,SOUS_ECHANTILLON,TOP10,SOUS_BAS,AU_DESSUS_HAUT,TAUX_20_POSITIF,PERSISTANT,EXCES_20,BANDE_SUIVANTE
2020-12-31,ACA.PA,0,oui,non,non,non,non,non,-11.8172,oui
2020-12-31,AI.PA,0,oui,non,non,non,non,non,-2.1501,oui
2020-12-31,AIR.PA,0,oui,oui,non,non,non,non,-10.0377,oui
2020-12-31,ALO.PA,0,oui,non,non,oui,oui,non,-6.4633,non
2020-12-31,ATO.PA,0,oui,non,non,oui,oui,non,-17.8197,non
2020-12-31,BN.PA,0,oui,non,non,oui,oui,non,-0.4766,non
2020-12-31,BNP.PA,0,oui,oui,non,non,non,non,-10.4224,oui
2020-12-31,CA.PA,0,oui,non,non,non,oui,non,-2.9938,non
2020-12-31,CAP.PA,0,oui,non,non,oui,oui,non,-8.4658,non
2020-12-31,CS.PA,0,oui,non,non,non,non,non,-8.9203,oui
2020-12-31,DG.PA,0,oui,non,non,non,non,non,-8.5838,oui
2020-12-31,DSY.PA,0,oui,non,non,oui,oui,non,-3.5513,non
2020-12-31,EL.PA,0,oui,non,non,non,oui,non,-10.98,non
2020-12-31,EN.PA,0,oui,non,non,non,non,non,-6.364,oui
2020-12-31,ENGI.PA,0,oui,non,non,non,oui,non,-0.3125,oui
2020-12-31,GLE.PA,0,oui,oui,non,non,non,non,-12.0143,oui
2020-12-31,HO.PA,0,oui,non,non,non,non,non,-3.67,oui
2020-12-31,KER.PA,0,oui,non,non,non,non,non,-11.187,oui
2020-12-31,LR.PA,0,oui,non,non,oui,oui,non,1.2639,non
2020-12-31,MC.PA,0,oui,oui,non,non,oui,non,-5.175,oui
2020-12-31,ML.PA,0,oui,non,non,non,oui,non,5.8192,oui
2020-12-31,MT.AS,0,oui,oui,non,oui,oui,non,-7.1473,non
2020-12-31,OR.PA,0,oui,non,non,non,oui,non,-9.3689,oui
2020-12-31,ORA.PA,0,oui,non,non,non,non,non,-3.0169,oui
2020-12-31,PUB.PA,0,oui,oui,non,non,oui,non,2.1981,oui
2020-12-31,RI.PA,0,oui,non,non,non,oui,non,-3.4102,oui
2020-12-31,RMS.PA,0,oui,oui,non,non,oui,non,-6.9152,oui
