COMPARAISON,PHASE,NA,NB,DIFFERENCE,SE,G,IC,P,EXCLUT_ZERO
TOP10,0,244,724,0.1989,0.8878,25,1.8322,0.8247,non
TOP10,1,245,723,0.2481,0.7729,25,1.5953,0.751,non
TOP10,2,243,725,0.0089,0.778,25,1.6058,0.991,non
TOP10,3,242,726,-0.1412,0.8871,25,1.831,0.8748,non
TOP10,4,242,726,-0.2557,0.9223,25,1.9036,0.784,non
TOP10,5,242,726,-0.419,0.9054,25,1.8686,0.6477,non
TOP10,6,242,726,-0.2265,0.9172,25,1.8929,0.807,non
TOP10,7,242,726,-0.3438,1.0127,25,2.0901,0.7372,non
TOP10,8,242,726,-0.2691,0.896,25,1.8493,0.7665,non
TOP10,9,243,725,-0.0887,0.8499,25,1.7542,0.9178,non
TOP10,10,242,727,-0.2085,0.8092,25,1.67,0.7988,non
TOP10,11,243,726,-0.3075,0.8893,25,1.8354,0.7325,non
TOP10,12,243,726,0.004,0.9359,25,1.9315,0.9966,non
TOP10,13,244,725,0.1006,0.945,25,1.9504,0.9161,non
TOP10,14,245,724,0.0654,1.0186,25,2.1024,0.9494,non
TOP10,15,245,724,0.069,1.0179,25,2.1009,0.9465,non
TOP10,16,236,694,0.2752,1.0576,24,2.1878,0.797,non
TOP10,17,236,694,0.1524,0.9861,24,2.0398,0.8785,non
TOP10,18,235,695,0.1539,1.0244,24,2.1192,0.8819,non
TOP10,19,234,696,0.1318,0.9456,24,1.9561,0.8904,non
CRITERE-2,0,76,168,2.2451,1.439,25,2.9699,0.1318,non
CRITERE-2,1,71,174,1.0432,1.1606,25,2.3955,0.3777,non
CRITERE-2,2,67,176,1.2918,1.0741,25,2.2167,0.2408,non
CRITERE-2,3,58,184,1.6556,1.1425,25,2.3579,0.1602,non
CRITERE-2,4,67,175,2.2192,1.3319,25,2.7488,0.1087,non
CRITERE-2,5,70,172,0.8272,1.0366,25,2.1394,0.4327,non
CRITERE-2,6,69,173,2.5935,1.2523,25,2.5846,0.0493,oui
CRITERE-2,7,68,174,1.9425,1.0353,25,2.1367,0.0728,non
CRITERE-2,8,71,171,2.2195,1.1627,25,2.3997,0.0683,non
CRITERE-2,9,72,171,-0.7059,1.2371,25,2.5532,0.5736,non
CRITERE-2,10,72,170,0.1428,0.8396,25,1.7329,0.8664,non
CRITERE-2,11,66,177,-0.8343,0.9426,25,1.9454,0.3849,non
CRITERE-2,12,58,185,-0.9515,1.041,25,2.1486,0.3698,non
CRITERE-2,13,60,184,-0.4855,1.1606,25,2.3954,0.6795,non
CRITERE-2,14,64,181,0.3453,1.1814,25,2.4383,0.7726,non
CRITERE-2,15,68,177,0.9629,1.1315,25,2.3354,0.4032,non
CRITERE-2,16,77,159,0.709,1.2666,24,2.6201,0.5811,non
CRITERE-2,17,77,159,1.1952,1.2837,24,2.6556,0.3615,non
CRITERE-2,18,80,155,2.113,1.2487,24,2.5831,0.1041,non
CRITERE-2,19,72,162,1.9793,1.1092,24,2.2945,0.0875,non
CRITERE-3,0,15,61,-3.0855,3.1823,21,6.6382,0.3438,non
CRITERE-3,1,14,57,-3.2054,2.4537,19,5.1551,0.2079,non
CRITERE-3,2,13,54,-0.7268,2.0737,22,4.3124,0.7295,non
CRITERE-3,3,11,47,-1.6729,1.6862,20,3.5292,0.3336,non
CRITERE-3,4,14,53,0.8851,1.5132,21,3.1565,0.5652,non
CRITERE-3,5,16,54,-0.143,2.1961,24,4.5429,0.9486,non
CRITERE-3,6,14,55,1.3365,2.3929,21,4.9915,0.5827,non
CRITERE-3,7,14,54,1.1073,1.9062,20,3.9898,0.5682,non
CRITERE-3,8,19,52,2.4717,2.4531,20,5.1344,0.3263,non
CRITERE-3,9,21,51,1.7242,1.986,19,4.1724,0.3967,non
CRITERE-3,10,14,58,0.7556,1.4334,20,3.0002,0.6042,non
CRITERE-3,11,13,53,-0.6461,1.8075,19,3.7975,0.7249,non
CRITERE-3,12,11,47,0.036,2.1601,19,4.5381,0.9869,non
CRITERE-3,13,11,49,-0.9289,3.1171,20,6.5242,0.7689,non
CRITERE-3,14,11,53,-0.6763,3.0351,20,6.3526,0.826,non
CRITERE-3,15,10,58,-0.7806,2.833,19,5.9518,0.786,non
CRITERE-3,16,17,60,0.6754,2.6153,21,5.4555,0.7989,non
CRITERE-3,17,14,63,-2.8063,1.574,19,3.3067,0.0915,non
CRITERE-3,18,18,62,-1.762,2.0825,20,4.3587,0.408,non
CRITERE-3,19,14,58,-2.8536,2.4378,23,5.0557,0.2543,non
VENTE,0,230,738,-0.405,0.4509,25,0.9307,0.378,non
VENTE,1,221,747,-0.4283,0.5451,25,1.1251,0.4398,non
VENTE,2,227,741,-0.2522,0.5022,25,1.0364,0.6201,non
VENTE,3,228,740,-1.0027,0.494,25,1.0195,0.0536,non
VENTE,4,215,753,-0.821,0.5415,25,1.1176,0.1425,non
VENTE,5,218,750,-0.3459,0.591,25,1.2197,0.5638,non
VENTE,6,209,759,-1.0263,0.5133,25,1.0593,0.057,non
VENTE,7,215,753,-0.9521,0.553,25,1.1413,0.098,non
VENTE,8,225,743,-1.0657,0.679,25,1.4013,0.1296,non
VENTE,9,217,751,-0.2249,0.8027,25,1.6567,0.7817,non
VENTE,10,197,772,-0.2854,0.5799,25,1.1969,0.6271,non
VENTE,11,209,760,-0.5833,0.4908,25,1.0129,0.2463,non
VENTE,12,201,768,-0.6535,0.6306,25,1.3015,0.3104,non
VENTE,13,198,771,-0.3709,0.5795,25,1.1961,0.5283,non
VENTE,14,195,774,-0.3822,0.6588,25,1.3597,0.5672,non
VENTE,15,191,778,-0.2656,0.5566,25,1.1489,0.6375,non
VENTE,16,187,743,-0.1955,0.5112,24,1.0575,0.7056,non
VENTE,17,197,733,-0.6682,0.4203,24,0.8694,0.1255,non
VENTE,18,198,732,-0.2097,0.496,24,1.0261,0.6764,non
VENTE,19,198,732,-0.0926,0.4571,24,0.9456,0.8412,non
PERSISTANCE,0,10,5,-5.2557,6.8235,10,15.4358,0.4609,non
PERSISTANCE,1,10,4,-2.8096,3.3091,8,7.8248,0.4239,non
PERSISTANCE,2,7,6,-1.4838,3.4679,8,8.2002,0.6816,non
PERSISTANCE,3,8,3,5.5845,1.4547,7,3.5595,0.0086,non
PERSISTANCE,4,7,7,-0.802,2.611,10,5.9065,0.7657,non
PERSISTANCE,5,10,6,2.6572,3.6204,12,7.9684,0.4783,non
PERSISTANCE,6,8,6,-4.0788,3.7623,10,8.5109,0.3065,non
PERSISTANCE,7,9,5,3.0952,3.6937,9,8.5176,0.4264,non
PERSISTANCE,8,10,9,1.6704,3.4106,13,7.4311,0.6331,non
PERSISTANCE,9,11,10,8.4555,1.6655,10,3.7676,0.0007,non
PERSISTANCE,10,9,5,-1.7294,4.3374,11,9.6644,0.6985,non
PERSISTANCE,11,9,4,4.6158,3.253,9,7.5013,0.1937,non
PERSISTANCE,12,10,1,,,7,,,non
PERSISTANCE,13,8,3,0.7583,7.448,7,18.2246,0.9222,non
PERSISTANCE,14,8,3,2.2802,3.1195,9,7.1936,0.4857,non
PERSISTANCE,15,6,4,-0.2371,5.1262,7,12.5434,0.9646,non
PERSISTANCE,16,7,10,-1.4672,3.9491,9,9.1066,0.7199,non
PERSISTANCE,17,11,3,6.8181,5.4352,7,13.2993,0.2563,non
PERSISTANCE,18,14,4,-4.8742,1.6644,8,3.9357,0.0221,oui
PERSISTANCE,19,9,5,0.5692,3.8115,9,8.7894,0.885,non
