DATE,ESPECES,TITRES,TOTAL,BASE100,REFERENCE100,LIGNES
2022-01-03,10000.0,0,10000.0,100.0,100.0,0
2022-01-04,10000.0,0,10000.0,100.0,101.2989,0
2022-01-05,10000.0,0,10000.0,100.0,102.2368,0
2022-01-06,10000.0,0,10000.0,100.0,101.2356,0
2022-01-07,10000.0,0,10000.0,100.0,101.1555,0
2022-01-10,7278.05,2659.74,9937.79,99.3779,99.7746,3
2022-01-11,7278.05,2682.57,9960.62,99.6062,100.5923,3
2022-01-12,7278.05,2686.69,9964.74,99.6474,101.219,3
2022-01-13,7278.05,2658.65,9936.7,99.367,101.5111,3
2022-01-14,7278.05,2632.6,9910.65,99.1065,100.7062,3
2022-01-17,7278.05,2690.09,9968.14,99.6814,101.388,3
2022-01-18,7278.05,2650.47,9928.53,99.2853,100.411,3
2022-01-19,7278.05,2686.1,9964.16,99.6416,100.4366,3
2022-01-20,7278.05,2704.0,9982.05,99.8205,100.6032,3
2022-01-21,7278.05,2665.23,9943.28,99.4328,98.6802,3
2022-01-24,7278.05,2557.14,9835.2,98.352,94.8998,3
2022-01-25,7278.05,2534.83,9812.88,98.1288,95.4004,3
2022-01-26,7278.05,2574.14,9852.19,98.5219,97.3535,3
2022-01-27,7278.05,2579.75,9857.8,98.578,97.5952,3
2022-01-28,7278.05,2550.34,9828.39,98.2839,96.4708,3
2022-01-31,7278.05,2568.7,9846.75,98.4675,96.9072,3
2022-02-01,7278.05,2636.3,9914.36,99.1436,98.3153,3
2022-02-02,7278.05,2681.47,9959.52,99.5952,98.6894,3
2022-02-03,7278.05,2606.33,9884.38,98.8438,97.6239,3
2022-02-04,7278.05,2581.8,9859.85,98.5985,96.6708,3
2022-02-07,7278.05,2597.53,9875.58,98.7558,97.2551,3
2022-02-08,7278.05,2600.87,9878.92,98.7892,97.8119,3
2022-02-09,7278.05,2656.94,9935.0,99.35,99.3594,3
2022-02-10,7278.05,2628.17,9906.22,99.0622,99.3401,3
2022-02-11,7278.05,2588.86,9866.91,98.6691,98.2942,3
2022-02-14,6662.2,3152.48,9814.68,98.1468,96.1182,4
2022-02-15,6662.2,3189.62,9851.83,98.5183,97.5897,4
2022-02-16,6662.2,3143.82,9806.03,98.0603,97.4695,4
2022-02-17,6662.2,3153.84,9816.04,98.1604,97.1675,4
2022-02-18,5586.25,4247.32,9833.57,98.3357,96.9075,5
2022-02-21,4470.63,5258.94,9729.57,97.2957,94.9766,6
2022-02-22,3368.21,6373.89,9742.1,97.421,95.0684,7
2022-02-23,3368.21,6341.69,9709.9,97.099,95.0095,7
2022-02-24,3368.21,5968.45,9336.66,93.3666,91.4091,7
2022-02-25,3368.21,6153.45,9521.66,95.2166,94.5272,7
2022-02-28,3368.21,5927.19,9295.4,92.954,93.667,7
2022-03-01,3368.21,5629.02,8997.23,89.9723,90.2666,7
2022-03-02,3368.21,5669.64,9037.84,90.3784,90.8021,7
2022-03-03,3368.21,5643.87,9012.08,90.1208,89.404,7
2022-03-04,3368.21,5297.43,8665.64,86.6564,85.0796,7
2022-03-07,3368.21,5192.15,8560.36,85.6036,83.7464,7
2022-03-08,3368.21,5227.71,8595.92,85.9592,83.4825,7
2022-03-09,3368.21,5691.46,9059.67,90.5967,89.1114,7
2022-03-10,3368.21,5476.61,8844.82,88.4482,86.9457,7
2022-03-11,3368.21,5517.11,8885.32,88.8532,87.6262,7
2022-03-14,3368.21,5673.24,9041.45,90.4145,89.1874,7
2022-03-15,3368.21,5660.6,9028.81,90.2881,89.1862,7
2022-03-16,3368.21,5943.45,9311.66,93.1166,92.294,7
2022-03-17,3368.21,5959.01,9327.22,93.2722,92.5241,7
2022-03-18,3368.21,5982.85,9351.06,93.5106,92.7463,7
2022-03-21,3368.21,5965.61,9333.81,93.3381,92.4833,7
2022-03-22,3368.21,6034.49,9402.7,94.027,93.4699,7
2022-03-23,3368.21,5943.69,9311.9,93.119,92.4538,7
2022-03-24,3368.21,5896.59,9264.8,92.648,91.9304,7
2022-03-25,3368.21,5865.33,9233.54,92.3354,92.0402,7
2022-03-28,2267.16,7036.3,9303.46,93.0346,92.2158,8
2022-03-29,2267.16,7370.29,9637.46,96.3746,94.9772,8
2022-03-30,4091.26,5492.32,9583.58,95.8358,94.1167,6
2022-03-31,4914.11,4608.26,9522.37,95.2237,92.8917,5
2022-04-01,4914.11,4627.54,9541.65,95.4165,92.9919,5
2022-04-04,4914.11,4613.46,9527.57,95.2757,93.5675,5
2022-04-05,4914.11,4439.9,9354.01,93.5401,91.8982,5
2022-04-06,4914.11,4339.49,9253.6,92.536,90.1941,5
2022-04-07,3961.48,5205.67,9167.14,91.6714,89.8508,6
2022-04-08,2998.23,6252.22,9250.45,92.5045,90.8602,7
2022-04-11,2998.23,6380.51,9378.74,93.7874,91.1597,7
2022-04-12,2998.23,6384.16,9382.39,93.8239,90.9025,7
2022-04-13,2998.23,6410.12,9408.35,94.0835,90.964,7
2022-04-14,2998.23,6437.93,9436.16,94.3616,91.7534,7
2022-04-19,2998.23,6411.72,9409.95,94.0995,91.4815,7
2022-04-20,2998.23,6557.59,9555.82,95.5582,92.7438,7
2022-04-21,2998.23,6659.04,9657.27,96.5727,93.6425,7
2022-04-22,2998.23,6543.61,9541.84,95.4184,92.1383,7
2022-04-25,2998.23,6425.84,9424.07,94.2407,91.0389,7
2022-04-26,2998.23,6419.34,9417.57,94.1757,90.5535,7
2022-04-27,2998.23,6368.47,9366.7,93.667,90.7474,7
2022-04-28,2998.23,6425.01,9423.24,94.2324,91.7102,7
2022-04-29,2998.23,6441.2,9439.43,94.3943,92.0861,7
2022-05-02,2998.23,6328.34,9326.57,93.2657,90.6427,7
2022-05-03,2998.23,6476.02,9474.25,94.7425,91.9061,7
2022-05-04,2998.23,6410.85,9409.08,94.0908,90.8589,7
2022-05-05,2998.23,6358.73,9356.96,93.5696,90.357,7
2022-05-06,2998.23,6314.05,9312.28,93.1228,89.2646,7
2022-05-09,2998.23,6135.86,9134.09,91.3409,87.2088,7
2022-05-10,2998.23,6177.29,9175.52,91.7552,87.5134,7
2022-05-11,2998.23,6377.74,9375.97,93.7597,89.0591,7
2022-05-12,2998.23,6264.95,9263.18,92.6318,88.2679,7
2022-05-13,2998.23,6423.01,9421.24,94.2124,90.3407,7
2022-05-16,2998.23,6419.97,9418.2,94.182,90.398,7
2022-05-17,4098.59,5433.33,9531.93,95.3193,91.6535,6
2022-05-18,4098.59,5388.55,9487.15,94.8715,90.5217,6
2022-05-19,4098.59,5334.16,9432.75,94.3275,89.7123,6
2022-05-20,3087.82,6357.22,9445.04,94.4504,89.9914,7
2022-05-23,3087.82,6463.81,9551.63,95.5163,91.2286,7
2022-05-24,4943.96,4520.55,9464.52,94.6452,89.7693,5
2022-05-25,4943.96,4561.3,9505.27,95.0527,90.6426,5
2022-05-26,4943.96,4642.39,9586.35,95.8635,92.0602,5
2022-05-27,4943.96,4678.37,9622.33,96.2233,93.2407,5
2022-05-30,4943.96,4694.89,9638.85,96.3885,93.7873,5
2022-05-31,5501.44,4039.72,9541.16,95.4116,92.4413,4
2022-06-01,5501.44,4044.18,9545.62,95.4562,92.023,4
2022-06-02,5501.44,4077.33,9578.77,95.7877,93.1694,4
2022-06-03,5501.44,4099.95,9601.39,96.0139,92.8232,4
2022-06-06,4652.16,4979.59,9631.75,96.3175,93.6739,5
2022-06-07,4652.16,4985.04,9637.2,96.372,93.156,5
2022-06-08,5717.76,3877.46,9595.22,95.9522,92.3849,4
2022-06-09,5717.76,3861.0,9578.76,95.7876,91.2826,4
2022-06-10,5717.76,3768.32,9486.08,94.8608,88.7394,4
2022-06-13,5717.76,3748.66,9466.43,94.6643,86.5255,4
2022-06-14,5717.76,3746.53,9464.29,94.6429,85.4542,4
2022-06-15,5717.76,3796.2,9513.97,95.1397,86.7919,4
2022-06-16,5717.76,3752.93,9470.69,94.7069,84.5896,4
2022-06-17,5717.76,3730.34,9448.1,94.481,84.7639,4
2022-06-20,5717.76,3781.89,9499.65,94.9965,85.5094,4
2022-06-21,5717.76,3755.35,9473.12,94.7312,85.9967,4
2022-06-22,5717.76,3668.07,9385.83,93.8583,85.047,4
2022-06-23,5717.76,3609.7,9327.47,93.2747,84.0214,4
2022-06-24,5717.76,3705.14,9422.9,94.229,86.2288,4
2022-06-27,5717.76,3679.61,9397.37,93.9737,86.0676,4
2022-06-28,5717.76,3730.61,9448.37,94.4837,86.6325,4
2022-06-29,5717.76,3690.37,9408.13,94.0813,85.3645,4
2022-06-30,5717.76,3654.77,9372.54,93.7254,83.8045,4
2022-07-01,5717.76,3693.35,9411.12,94.1112,84.0486,4
2022-07-04,4807.34,4607.08,9414.42,94.1442,84.0117,5
2022-07-05,4807.34,4417.68,9225.02,92.2502,81.6195,5
2022-07-06,4807.34,4499.3,9306.64,93.0664,83.1107,5
2022-07-07,4807.34,4567.24,9374.57,93.7457,84.6068,5
2022-07-08,3849.88,5586.0,9435.87,94.3587,85.4232,6
2022-07-11,3849.88,5560.33,9410.2,94.102,84.6443,6
2022-07-12,3849.88,5624.38,9474.26,94.7426,85.3843,6
2022-07-13,3849.88,5555.79,9405.67,94.0567,84.6499,6
2022-07-14,3849.88,5463.28,9313.15,93.1315,83.4803,6
2022-07-15,3849.88,5536.41,9386.29,93.8629,85.2292,6
2022-07-18,3849.88,5561.29,9411.17,94.1117,86.1902,6
2022-07-19,3849.88,5632.75,9482.63,94.8263,87.7187,6
2022-07-20,4851.52,4583.79,9435.31,94.3531,87.5912,5
2022-07-21,4851.52,4555.68,9407.2,94.072,87.8387,5
2022-07-22,4851.52,4512.35,9363.87,93.6387,87.8251,5
2022-07-25,4851.52,4537.17,9388.69,93.8869,88.0924,5
2022-07-26,4851.52,4559.05,9410.57,94.1057,87.662,5
2022-07-27,4851.52,4588.06,9439.57,94.3957,88.3402,5
2022-07-28,4851.52,4566.16,9417.68,94.1768,89.3229,5
2022-07-29,4851.52,4553.7,9405.22,94.0522,90.6415,5
2022-08-01,4851.52,4525.88,9377.39,93.7739,90.5865,5
2022-08-02,4851.52,4572.98,9424.49,94.2449,90.4617,5
2022-08-03,4851.52,4604.55,9456.06,94.5606,91.1952,5
2022-08-04,5872.21,3557.06,9429.26,94.2926,91.6448,4
2022-08-05,5872.21,3594.43,9466.63,94.6663,91.2026,4
2022-08-08,5872.21,3584.75,9456.96,94.5696,91.9228,4
2022-08-09,5872.21,3596.94,9469.14,94.6914,91.4817,4
2022-08-10,5872.21,3519.96,9392.16,93.9216,92.3982,4
2022-08-11,5872.21,3508.82,9381.02,93.8102,92.7857,4
