DATE_DECISION,TICKER,RANG,ECART_S,TAUX_20,SORT
2022-01-07,RI.PA,5,-2.699521,0.038847,EXECUTE
2022-01-07,EL.PA,8,-2.13593,0.143966,EXECUTE
2022-01-07,CAP.PA,9,-1.463384,0.180937,EXECUTE
2022-02-11,MC.PA,7,-1.922204,0.226381,EXECUTE
2022-02-17,BNP.PA,5,-1.422711,0.131134,EXECUTE
2022-02-18,CS.PA,4,-2.285297,0.030716,EXECUTE
2022-02-21,GLE.PA,2,-1.903284,0.114119,EXECUTE
2022-03-25,VIE.PA,7,-1.728488,0.134,EXECUTE
2022-04-06,DG.PA,7,-1.865852,0.019581,EXECUTE
2022-04-07,TTE.PA,4,-1.50431,0.147902,EXECUTE
2022-05-19,CA.PA,2,-2.161542,0.185924,EXECUTE
2022-06-03,HO.PA,1,-1.844021,0.039221,EXECUTE
2022-07-01,SAN.PA,2,-1.144731,0.018734,EXECUTE
2022-07-07,ORA.PA,3,-2.464593,0.139495,EXECUTE
2022-08-18,ALO.PA,2,-1.735915,0.258291,EXECUTE
2022-09-26,RNO.PA,1,-1.464664,0.301139,EXECUTE
2022-10-20,OR.PA,7,-1.130763,0.004307,EXECUTE
