TIRAGE,UNIVERS,TOP10
1,98.07,88.9988
2,95.4142,98.3705
3,87.762,88.8372
4,100.1489,93.3451
5,98.5473,97.7783
6,91.0467,92.6465
7,92.4667,94.3545
8,98.5761,93.556
9,98.8874,90.591
10,93.9642,92.1638
11,95.7849,95.2423
12,94.2083,96.2481
13,97.7494,95.0546
14,101.5503,98.5917
15,102.1636,95.0544
16,98.7248,91.2162
17,98.3287,92.7716
18,95.9936,93.8804
19,97.5255,90.8209
20,98.289,96.3022
21,101.021,89.2756
22,99.8827,92.2778
23,89.8067,89.8216
24,99.984,97.4927
25,98.604,88.8354
26,97.1145,92.9165
27,94.1141,97.2399
28,94.8494,91.5914
29,103.8167,92.9967
30,95.2955,101.2829
31,92.9593,94.5693
32,95.4728,92.5811
33,100.6269,87.2411
34,100.0305,93.04
35,98.9255,97.5541
36,95.924,94.1249
37,95.5817,91.2659
38,90.1366,98.1887
39,95.6841,92.1201
40,93.8897,94.6935
41,98.2426,90.7181
42,95.5473,94.5417
43,105.9714,93.3741
44,91.1756,94.4901
45,94.8275,93.559
46,93.74,92.4048
47,89.6878,93.0186
48,102.2253,89.4138
49,94.2786,95.1357
50,89.662,92.2988
51,95.452,97.2151
52,96.7609,92.7006
53,100.8991,91.452
54,100.3067,94.3542
55,99.2019,93.0002
56,98.9601,92.5803
57,104.5048,90.6132
58,94.6379,94.6751
59,100.3437,91.8381
60,92.7721,90.3043
61,92.1558,96.8178
62,100.5178,94.8888
63,97.1296,93.9004
64,94.7185,90.4645
65,97.2968,93.7506
66,98.1101,93.56
67,101.624,95.1713
68,100.6832,92.9746
69,102.4188,95.9548
70,103.9203,96.8722
71,93.7106,95.7363
72,90.8237,92.6422
73,100.1632,96.7409
74,91.5492,89.6219
75,91.1037,93.6766
76,94.9097,93.1852
77,100.7803,89.6867
78,95.7625,87.6076
79,100.1967,87.0266
80,97.8386,94.1202
81,99.2667,93.7533
82,99.1668,91.5608
83,91.9279,90.3176
84,99.9638,96.6498
85,91.9997,95.1431
86,102.7099,89.971
87,100.6103,93.5827
88,96.5079,94.77
89,103.5774,92.5315
90,88.5709,94.7617
91,98.874,91.9096
92,92.6596,93.8028
93,102.1436,93.6978
94,93.7177,93.5988
95,94.2087,94.5957
96,96.265,91.4476
97,87.9133,91.9314
98,93.0435,90.4785
99,92.0714,95.1782
100,98.3071,89.6956
101,104.5193,90.6435
102,90.0795,90.4857
103,96.8637,97.0884
104,95.3574,87.3388
105,97.3349,93.347
