DATE,RANG,TICKER,TAUX_120,ECART_S,TAUX_20,CANDIDAT
2020-12-31,1,MT.AS,0.611944,1.278567,0.679674,non
2020-12-31,2,RNO.PA,0.427636,0.675074,0.102664,non
2020-12-31,3,PUB.PA,0.420393,0.264405,0.278698,non
2020-12-31,4,AIR.PA,0.32623,0.105424,-0.285893,non
2020-12-31,5,MC.PA,0.269059,0.555615,0.115932,non
2020-12-31,6,SAF.PA,0.252177,-0.122235,-0.239583,non
2020-12-31,7,STMPA.PA,0.237833,-0.831721,-0.526179,non
2020-12-31,8,GLE.PA,0.217505,0.514815,-0.286949,non
2020-12-31,9,RMS.PA,0.193589,0.535523,0.32342,non
2020-12-31,10,BNP.PA,0.181018,0.484186,-0.210922,non
2021-01-04,1,MT.AS,0.623272,1.802158,0.669789,non
2021-01-04,2,RNO.PA,0.43585,0.603931,0.037621,non
2021-01-04,3,PUB.PA,0.424147,0.439746,0.233178,non
2021-01-04,4,AIR.PA,0.329696,0.070849,-0.265835,non
2021-01-04,5,MC.PA,0.273957,0.513054,0.138689,non
2021-01-04,6,SAF.PA,0.254279,-0.136875,-0.209038,non
2021-01-04,7,STMPA.PA,0.240191,0.045851,-0.327774,non
2021-01-04,8,GLE.PA,0.229508,0.280003,-0.25561,non
2021-01-04,9,RMS.PA,0.197372,0.624462,0.355917,non
2021-01-04,10,BNP.PA,0.188755,0.407629,-0.202533,non
2021-01-05,1,MT.AS,0.633394,1.681109,0.684941,non
2021-01-05,2,RNO.PA,0.444722,0.76268,0.045655,non
2021-01-05,3,PUB.PA,0.426434,0.246422,0.193446,non
2021-01-05,4,AIR.PA,0.332243,0.017925,-0.216937,non
2021-01-05,5,MC.PA,0.278348,0.116542,0.122307,non
2021-01-05,6,SAF.PA,0.255931,-0.144719,-0.159955,non
2021-01-05,7,STMPA.PA,0.243745,0.154259,-0.08701,non
2021-01-05,8,GLE.PA,0.24098,0.283495,-0.180328,non
2021-01-05,9,RMS.PA,0.200502,-0.098311,0.33168,non
2021-01-05,10,BNP.PA,0.195613,0.33466,-0.159532,non
2021-01-06,1,MT.AS,0.64431,1.929,0.71755,non
2021-01-06,2,RNO.PA,0.453982,0.705428,0.050902,non
2021-01-06,3,PUB.PA,0.429061,0.656119,0.181768,non
2021-01-06,4,AIR.PA,0.334616,0.016654,-0.169507,non
2021-01-06,5,MC.PA,0.282474,-0.189487,0.095326,non
2021-01-06,6,SAF.PA,0.257415,-0.187441,-0.130238,non
2021-01-06,7,GLE.PA,0.255515,0.875364,-0.041034,non
2021-01-06,8,STMPA.PA,0.248158,0.107439,0.18576,non
2021-01-06,9,BNP.PA,0.204918,0.88927,-0.073181,non
2021-01-06,10,RMS.PA,0.203887,-0.313699,0.306663,non
2021-01-07,1,MT.AS,0.655687,2.167,0.746108,non
2021-01-07,2,RNO.PA,0.465329,1.061994,0.090479,non
2021-01-07,3,PUB.PA,0.432143,0.757551,0.16812,non
2021-01-07,4,AIR.PA,0.337863,-0.101477,-0.130467,non
2021-01-07,5,MC.PA,0.287317,0.388074,0.104957,non
2021-01-07,6,GLE.PA,0.270317,0.910763,0.087007,non
2021-01-07,7,SAF.PA,0.258709,-0.269569,-0.102202,non
2021-01-07,8,STMPA.PA,0.252397,0.245455,0.464034,non
2021-01-07,9,BNP.PA,0.215757,1.081015,0.035656,non
2021-01-07,10,RMS.PA,0.207498,-0.106405,0.283889,non
2021-01-08,1,MT.AS,0.664134,1.623217,0.722216,non
2021-01-08,2,RNO.PA,0.473162,0.53711,0.116116,non
2021-01-08,3,PUB.PA,0.435226,1.032961,0.208519,non
2021-01-08,4,AIR.PA,0.340582,-0.085192,-0.094939,non
2021-01-08,5,MC.PA,0.292257,0.814667,0.147647,non
2021-01-08,6,GLE.PA,0.282661,0.626058,0.192927,non
2021-01-08,7,SAF.PA,0.259148,-0.240463,-0.086197,non
2021-01-08,8,STMPA.PA,0.257693,0.558941,0.566262,non
2021-01-08,9,BNP.PA,0.224469,0.743204,0.113193,non
2021-01-08,10,RMS.PA,0.211077,0.345663,0.273711,non
2021-01-11,1,MT.AS,0.672408,1.367101,0.672608,non
2021-01-11,2,RNO.PA,0.483001,0.349315,0.11953,non
2021-01-11,3,PUB.PA,0.43998,0.640247,0.208867,non
