DATE,EXECUTION,CLOSE_AJUSTE,CLOSE_REEL,VAL_120,S_120,ECART_S,TAUX_120,TAUX_20,SOUS_BAS,AU_DESSUS,SEUIL_FRANCHI,SIGNAL
2022-01-07,2022-01-10,107.1354,142.5972,103.7361,3.0495,1.1147,0.0347,0.1582,non,oui,oui,au-dessus du bord haut
2022-01-14,2022-01-17,105.9712,141.0477,104.6009,3.0762,0.4454,0.0449,0.2772,non,non,oui,dans la bande
2022-01-21,2022-01-24,106.2862,141.467,105.1773,3.0906,0.3588,0.0499,0.0842,non,non,oui,dans la bande
2022-01-28,2022-01-31,103.5469,137.8209,105.4297,3.0634,-0.6146,0.0522,-0.191,non,non,oui,dans la bande
2022-02-04,2022-02-07,100.8486,134.2295,105.6953,2.9895,-1.6212,0.0562,-0.2439,oui,non,oui,"sous le bord bas, pente courte négative"
2022-02-11,2022-02-14,98.3969,130.9663,105.3964,3.0885,-2.2663,0.0535,-0.3719,oui,non,oui,"sous le bord bas, pente courte négative"
2022-02-18,2022-02-21,103.2319,137.4016,105.3575,3.0732,-0.6917,0.0552,-0.2326,non,non,oui,dans la bande
2022-02-25,2022-02-28,101.3554,134.9041,105.2123,3.098,-1.245,0.0546,-0.1387,oui,non,oui,"sous le bord bas, pente courte négative"
2022-03-04,2022-03-07,98.0956,130.5652,104.9686,3.1833,-2.1591,0.0507,0.0528,oui,non,oui,candidate à l'achat
2022-03-11,2022-03-14,98.4517,131.0392,103.9485,3.523,-1.5602,0.0348,-0.1696,oui,non,oui,"sous le bord bas, pente courte négative"
2022-03-18,2022-03-21,104.4646,139.0423,103.6332,3.4297,0.2424,0.0247,0.0852,non,non,oui,dans la bande
2022-03-25,2022-03-28,108.0668,143.8369,103.6152,3.276,1.3588,0.0173,0.4046,non,oui,oui,au-dessus du bord haut
2022-04-01,2022-04-04,109.1625,145.2953,104.085,3.234,1.5701,0.0163,0.7243,non,oui,oui,au-dessus du bord haut
2022-04-08,2022-04-11,111.0938,147.8658,104.8153,3.3505,1.8739,0.0198,0.4787,non,oui,oui,au-dessus du bord haut
2022-04-14,2022-04-19,111.5594,148.4856,105.4727,3.4666,1.7558,0.0233,0.372,non,oui,oui,au-dessus du bord haut
2022-04-22,2022-04-25,109.7104,146.0245,106.0153,3.5345,1.0454,0.0262,0.1451,non,oui,oui,au-dessus du bord haut
2022-04-29,2022-05-02,113.2304,150.7097,106.9957,3.6699,1.6989,0.0364,0.0849,non,oui,oui,au-dessus du bord haut
2022-05-06,2022-05-09,110.135,146.5897,108.0508,3.7499,0.5558,0.0481,0.0482,non,non,oui,dans la bande
2022-05-13,2022-05-16,111.217,148.0299,108.5668,3.7234,0.7118,0.0535,-0.0843,non,non,oui,dans la bande
2022-05-20,2022-05-23,111.6493,148.6053,109.3552,3.7745,0.6078,0.0587,0.0147,non,non,oui,dans la bande
2022-05-27,2022-05-30,115.5123,153.7469,110.3316,3.7964,1.3647,0.0671,0.1527,non,oui,oui,au-dessus du bord haut
2022-06-03,2022-06-06,112.8208,150.1645,111.4268,3.7403,0.3727,0.0792,0.2578,non,non,oui,dans la bande
2022-06-10,2022-06-13,106.707,129.1154,111.852,3.7465,-1.3733,0.0812,-0.1093,oui,non,oui,"sous le bord bas, pente courte négative"
2022-06-17,2022-06-20,99.2516,120.0944,111.0245,4.1419,-2.8424,0.069,-0.621,oui,non,oui,"sous le bord bas, pente courte négative"
2022-06-24,2022-06-27,103.4702,125.1989,109.9984,4.5756,-1.4267,0.0573,-0.8588,oui,non,oui,"sous le bord bas, pente courte négative"
2022-07-01,2022-07-04,97.3647,117.8113,109.1304,4.8809,-2.4106,0.0483,-0.6571,oui,non,oui,"sous le bord bas, pente courte négative"
2022-07-08,2022-07-11,98.5306,119.222,107.713,5.3835,-1.7057,0.032,-0.3488,oui,non,oui,"sous le bord bas, pente courte négative"
2022-07-15,2022-07-18,97.4261,117.8856,106.3009,5.7416,-1.5457,0.0149,-0.2436,oui,non,oui,"sous le bord bas, pente courte négative"
2022-07-22,2022-07-25,99.2056,120.0388,105.1308,5.9245,-1.0001,0.0001,-0.121,oui,non,oui,"sous le bord bas, pente courte négative"
2022-07-29,2022-08-01,102.8719,124.475,104.0094,5.9091,-0.1925,-0.0175,0.2384,non,non,oui,dans la bande
2022-08-05,2022-08-08,102.2736,123.7511,103.0047,5.7162,-0.1279,-0.0351,0.3198,non,non,oui,dans la bande
2022-08-12,2022-08-15,104.1605,126.0342,102.4212,5.5751,0.312,-0.0456,0.3277,non,non,oui,dans la bande
2022-08-19,2022-08-22,104.6974,126.6838,101.9472,5.3797,0.5112,-0.0554,0.283,non,non,oui,dans la bande
2022-08-26,2022-08-29,99.4357,120.3172,100.5567,4.7847,-0.2343,-0.0793,-0.0363,non,non,oui,dans la bande
2022-09-02,2022-09-05,95.8154,115.9366,98.6536,4.2372,-0.6698,-0.1073,-0.4681,non,non,oui,dans la bande
2022-09-09,2022-09-12,94.22,114.0062,96.6849,3.9464,-0.6246,-0.1322,-0.7146,non,non,oui,dans la bande
2022-09-16,2022-09-19,93.4223,113.041,95.3884,3.8272,-0.5137,-0.1447,-0.4215,non,non,oui,dans la bande
2022-09-23,2022-09-26,90.5997,109.6256,93.832,3.7962,-0.8515,-0.1588,-0.2915,non,non,oui,dans la bande
