DATE,SOUS_BAS,TAUX_20_POSITIF,AU_DESSUS_HAUT,SOUS_ECHANTILLON,RENDEMENT_20
2022-01-07,non,oui,oui,oui,-5.8681
2022-01-14,non,oui,non,non,-7.1475
2022-01-21,non,oui,non,non,-2.8737
2022-01-28,non,non,non,non,-2.1164
2022-02-04,oui,non,non,oui,-2.7299
2022-02-11,oui,non,non,non,0.0557
2022-02-18,non,non,non,non,1.1941
2022-02-25,oui,non,non,non,6.6216
2022-03-04,oui,oui,non,oui,11.2818
2022-03-11,oui,non,non,non,12.8408
2022-03-18,non,oui,non,non,5.4805
2022-03-25,non,oui,oui,non,2.1166
2022-04-01,non,oui,oui,oui,2.8356
2022-04-08,non,oui,oui,non,-2.8233
2022-04-14,non,oui,oui,non,-0.1444
2022-04-22,non,oui,oui,non,1.7673
2022-04-29,non,oui,oui,oui,2.0152
2022-05-06,non,oui,non,non,2.4386
2022-05-13,non,non,non,non,-4.0552
2022-05-20,non,oui,non,non,-11.1042
2022-05-27,non,oui,oui,oui,-10.425
2022-06-03,non,oui,non,non,-13.6996
2022-06-10,oui,non,non,non,-7.6624
2022-06-17,oui,non,non,non,-1.8393
2022-06-24,oui,non,non,oui,-4.1216
2022-07-01,oui,non,non,non,5.6562
2022-07-08,oui,non,non,non,3.7988
2022-07-15,oui,non,non,non,6.9123
2022-07-22,oui,non,non,oui,5.5358
2022-07-29,non,oui,non,non,-3.3403
2022-08-05,non,oui,non,non,-6.3147
2022-08-12,non,oui,non,non,-9.5435
2022-08-19,non,oui,non,oui,-10.7692
2022-08-26,non,non,non,non,-8.8861
2022-09-02,non,non,non,non,-5.8918
2022-09-09,non,non,non,non,-4.2657
2022-09-16,non,non,non,oui,-2.5944
2022-09-23,non,non,non,non,3.2848
2022-09-30,non,non,non,non,13.491
2022-10-07,non,non,non,non,13.0272
2022-10-14,non,non,non,oui,13.857
2022-10-21,non,oui,non,non,12.0
2022-10-28,non,oui,oui,non,6.0561
2022-11-04,non,oui,oui,non,5.7027
2022-11-11,non,oui,oui,oui,1.3029
2022-11-18,non,oui,oui,non,-2.8396
2022-11-25,non,oui,oui,non,-5.5124
2022-12-02,non,oui,oui,non,-3.9146
2022-12-09,non,oui,non,oui,4.1654
2022-12-16,non,non,non,non,8.6321
2022-12-23,non,non,non,non,7.4346
2022-12-30,non,non,non,non,11.9789
2023-01-06,non,oui,non,oui,2.8596
2023-01-13,non,oui,non,non,0.0844
2023-01-20,non,oui,non,non,3.1621
2023-01-27,non,oui,non,non,-0.3507
2023-02-03,non,oui,non,oui,3.4682
2023-02-10,non,oui,non,non,4.5953
2023-02-17,non,oui,non,non,-1.4724
2023-02-24,non,oui,non,non,1.259
2023-03-03,non,oui,non,oui,2.5539
2023-03-10,non,oui,non,non,6.6908
2023-03-17,oui,non,non,non,9.2515
2023-03-24,non,non,non,non,9.1444
2023-03-31,non,oui,non,oui,5.5772
2023-04-06,non,oui,oui,non,3.4548
2023-04-14,non,oui,oui,non,3.1847
2023-04-21,non,oui,oui,non,1.5601
2023-04-28,non,oui,oui,oui,-0.3616
2023-05-05,non,oui,non,non,-0.6702
2023-05-12,non,oui,non,non,-2.5817
2023-05-19,non,oui,non,non,3.0813
2023-05-26,oui,non,non,oui,-0.477
2023-06-02,oui,non,non,non,3.0242
2023-06-09,oui,non,non,non,-1.1622
2023-06-16,non,oui,oui,non,-4.2158
2023-06-23,oui,oui,non,oui,1.4504
2023-06-30,non,oui,non,non,-0.3045
2023-07-07,oui,non,non,non,2.7394
2023-07-14,oui,non,non,non,0.4725
2023-07-21,oui,non,non,oui,-0.1492
2023-07-28,non,oui,non,non,-0.5254
2023-08-04,oui,oui,non,non,5.1566
2023-08-11,non,oui,non,non,2.3883
2023-08-18,non,oui,non,oui,4.619
2023-08-25,non,oui,non,non,-1.4124
2023-09-01,non,oui,non,non,-4.4134
2023-09-08,non,oui,non,non,-4.6169
2023-09-15,non,oui,oui,oui,-3.9867
2023-09-22,oui,non,non,non,-4.9334
2023-09-29,oui,non,non,non,0.2502
2023-10-06,oui,non,non,non,3.3832
2023-10-13,non,non,non,oui,3.2474
2023-10-20,oui,non,non,non,11.5581
2023-10-27,non,non,non,non,8.375
2023-11-03,non,oui,non,non,6.1405
2023-11-10,non,oui,oui,oui,5.2341
2023-11-17,non,oui,oui,non,3.3596
2023-11-24,non,oui,oui,non,2.1306
2023-12-01,non,oui,oui,non,-0.7159
2023-12-08,non,oui,oui,oui,-2.2017
2023-12-15,non,oui,oui,non,-1.2502
2023-12-22,non,oui,oui,non,-2.7627
2023-12-29,non,oui,non,non,-2.1803
2024-01-05,non,non,non,oui,0.3632
2024-01-12,non,non,non,non,-4.6459
2024-01-19,non,non,non,non,-1.1097
2024-01-26,non,non,non,non,10.5085
2024-02-02,non,non,non,oui,9.1302
2024-02-09,oui,non,non,non,15.6317
2024-02-16,non,non,non,non,14.0503
2024-02-23,non,oui,oui,non,0.5172
2024-03-01,non,oui,oui,oui,2.3965
2024-03-08,non,oui,oui,non,-3.2635
2024-03-15,non,oui,oui,non,-4.8273
2024-03-22,non,oui,non,non,0.042
2024-03-28,non,oui,non,oui,-4.3767
2024-04-05,non,non,non,non,-2.9867
2024-04-12,non,non,non,non,-0.7258
2024-04-19,non,non,non,non,0.5184
2024-04-26,oui,non,non,oui,0.9298
2024-05-03,oui,non,non,non,1.6638
2024-05-10,non,non,non,non,2.1029
2024-05-17,non,non,non,non,-3.964
2024-05-24,non,oui,non,oui,-1.6857
2024-05-31,oui,non,non,non,-1.6912
2024-06-07,non,oui,non,non,-3.9908
2024-06-14,oui,non,non,non,4.2818
2024-06-21,oui,non,non,oui,0.0982
2024-06-28,oui,non,non,non,3.745
2024-07-05,non,non,non,non,0.0122
2024-07-12,non,oui,non,non,-1.5051
2024-07-19,non,non,non,oui,1.7419
2024-07-26,non,oui,non,non,-0.8367
2024-08-02,non,oui,non,non,3.2053
2024-08-09,non,non,non,non,-0.7579
2024-08-16,non,non,oui,oui,2.6163
2024-08-23,non,non,oui,non,1.0849
2024-08-30,non,oui,oui,non,4.4215
2024-09-06,non,oui,non,non,3.2274
2024-09-13,non,oui,oui,oui,0.329
2024-09-20,non,oui,non,non,3.5535
2024-09-27,non,oui,oui,non,-4.9608
2024-10-04,non,oui,non,non,-0.7756
2024-10-11,non,non,non,oui,-5.4339
2024-10-18,non,non,oui,non,-7.4159
2024-10-25,non,oui,non,non,-4.3
2024-11-01,oui,non,non,non,-5.4239
2024-11-08,oui,non,non,oui,0.3468
2024-11-15,oui,non,non,non,-0.6841
2024-11-22,oui,non,non,non,-3.0329
2024-11-29,oui,non,non,non,-0.2289
2024-12-06,non,non,non,oui,-2.7274
2024-12-13,oui,oui,non,non,-2.0664
2024-12-20,oui,non,non,non,4.5179
2024-12-27,oui,non,non,non,6.44
2025-01-03,oui,non,non,oui,9.0274
2025-01-10,non,non,non,non,8.3547
2025-01-17,non,oui,non,non,7.8019
2025-01-24,non,oui,oui,non,8.9399
2025-01-31,non,oui,oui,oui,4.7568
2025-02-07,non,oui,oui,non,6.6107
2025-02-14,non,oui,oui,non,3.5497
2025-02-21,non,oui,oui,non,-0.4933
2025-02-28,non,oui,oui,oui,-0.1699
2025-03-07,non,oui,oui,non,-3.9379
2025-03-14,non,oui,oui,non,-6.623
2025-03-21,non,oui,non,non,-1.4872
2025-03-28,non,non,non,oui,1.4179
2025-04-04,non,non,non,non,5.3811
2025-04-11,oui,non,non,non,8.5898
2025-04-17,non,non,non,non,9.2771
2025-04-25,non,oui,non,oui,5.8391
2025-05-02,non,oui,oui,non,0.2392
2025-05-09,non,oui,non,non,1.5564
2025-05-16,non,oui,non,non,-0.2945
2025-05-23,non,oui,non,oui,-2.8056
2025-05-30,non,oui,non,non,-3.1908
2025-06-06,non,oui,non,non,-4.6005
2025-06-13,non,non,non,non,-4.2123
2025-06-20,oui,non,non,oui,-3.7816
2025-06-27,oui,non,non,non,-2.7749
2025-07-04,oui,non,non,non,-2.7425
2025-07-11,oui,non,non,non,-0.7539
2025-07-18,oui,non,non,oui,4.7791
2025-07-25,oui,non,non,non,6.6636
2025-08-01,oui,non,non,non,3.5248
2025-08-08,non,non,non,non,0.9207
2025-08-15,non,oui,non,oui,-1.6535
2025-08-22,non,oui,non,non,-4.0629
2025-08-29,non,oui,non,non,-0.4313
2025-09-05,non,non,non,non,-2.1097
2025-09-12,non,non,non,oui,-4.3105
2025-09-19,non,non,non,non,-1.628
2025-09-26,non,non,non,non,-1.687
2025-10-03,non,non,non,non,-2.1901
2025-10-10,oui,non,non,oui,-0.1651
2025-10-17,non,non,non,non,-1.0068
2025-10-24,non,non,non,non,-3.8029
2025-10-31,non,oui,non,non,-1.6675
2025-11-07,non,non,non,oui,-3.6972
2025-11-14,non,non,non,non,-7.2948
2025-11-21,oui,non,non,non,-3.8809
2025-11-28,oui,non,non,non,-2.7253
2025-12-05,oui,non,non,oui,-4.3665
2025-12-12,oui,non,non,non,1.8663
2025-12-19,oui,non,non,non,-2.3574
2025-12-24,non,non,non,non,-1.6623
2026-01-02,non,non,non,oui,-0.6667
2026-01-09,non,non,non,non,5.6297
2026-01-16,non,non,non,non,6.3937
2026-01-23,non,non,non,non,11.3818
2026-01-30,non,non,oui,oui,12.853
2026-02-06,non,oui,oui,non,-0.2623
2026-02-13,non,oui,oui,non,0.8737
2026-02-20,non,oui,oui,non,-4.7391
2026-02-27,non,oui,oui,oui,-2.9735
2026-03-06,non,oui,non,non,8.4877
2026-03-13,non,non,oui,non,9.5974
2026-03-20,non,non,non,non,11.4805
2026-03-27,non,non,oui,oui,5.0191
2026-04-02,non,oui,oui,non,-0.5983
2026-04-10,non,oui,oui,non,-6.6511
2026-04-17,non,oui,oui,non,-4.1916
2026-04-24,non,oui,oui,oui,-0.1332
2026-04-30,non,oui,non,non,-0.6452
2026-05-08,oui,non,non,non,6.974
2026-05-15,oui,non,non,non,7.2969
2026-05-22,non,non,non,oui,0.1087
2026-05-29,non,oui,non,non,6.7756
2026-06-05,non,oui,non,non,8.1407
2026-06-12,non,oui,non,non,3.5651
2026-06-19,oui,oui,non,oui,7.4927
2026-06-26,non,oui,non,non,2.1173
2026-07-03,non,oui,oui,non,-5.3134
2026-07-10,non,oui,non,non,-1.1015
2026-07-17,non,oui,non,oui,-4.647
2026-07-24,non,oui,non,non,-5.3252
2026-07-31,oui,non,non,non,-0.5389
2026-08-07,non,non,non,non,-1.1254
2026-08-14,oui,non,non,oui,
2026-08-21,oui,non,non,non,
2026-08-28,oui,non,non,non,
2026-09-04,non,oui,non,non,
2026-09-10,oui,oui,non,oui,
