DATE,DATE_DECISION,SENS,QUANTITE,PRIX_REEL,BRUT,FRAIS,NET,ECART_S,TAUX_20,MOTIF
2022-03-07,2022-03-04,ACHAT,7,127.6119,893.2836,3.7071,896.9907,-2.1591,0.0528,"clôture 98,10 sous le bord bas 101,79 (-2,16 s), TAUX_20 +0,053 %/séance"
2022-03-28,2022-03-25,VENTE,7,144.8213,1013.7493,1.1658,-1.1658,1.3588,0.4046,"clôture 108,07 au-dessus du bord haut 106,89 (+1,36 s)"
2023-06-26,2023-06-23,ACHAT,6,150.0092,900.0554,3.7352,903.7906,-1.8188,0.1155,"clôture 123,87 sous le bord bas 125,69 (-1,82 s), TAUX_20 +0,115 %/séance"
2023-07-10,2023-07-07,REGLE-4,6,146.172,877.0323,3.6397,880.6719,-3.0899,-0.0296,"clôture 120,90 sous le seuil de la règle 4 (-3,09 s dans la bande)"
2023-09-18,2023-09-15,VENTE,12,158.4208,1901.0495,2.1862,-2.1862,1.3934,0.1533,"clôture 131,27 au-dessus du bord haut 130,46 (+1,39 s)"
2024-12-16,2024-12-13,ACHAT,6,153.2174,919.3044,3.8151,923.1195,-1.0102,0.0725,"clôture 139,62 sous le bord bas 139,66 (-1,01 s), TAUX_20 +0,073 %/séance"
2024-12-23,2024-12-20,REGLE-4,6,148.7551,892.5308,3.704,896.2348,-1.6519,-0.0084,"clôture 135,84 sous le seuil de la règle 4 (-1,65 s dans la bande)"
2025-01-27,2025-01-24,VENTE,12,156.7565,1881.0774,2.1632,-2.1632,1.4779,0.2414,"clôture 143,17 au-dessus du bord haut 141,47 (+1,48 s)"
2026-06-22,2026-06-19,ACHAT,6,165.48,992.88,4.1205,997.0004,-1.1229,0.0766,"clôture 164,16 sous le bord bas 164,71 (-1,12 s), TAUX_20 +0,077 %/séance"
2026-07-06,2026-07-03,VENTE,6,181.0,1086.0,1.2489,-1.2489,1.7515,0.3855,"clôture 180,30 au-dessus du bord haut 176,82 (+1,75 s)"
