DATE,ESPECES,TITRES,TOTAL,BASE100,APPARIEE100,DETENTION100
2022-01-03,10000.0,0.0,10000.0,100.0,100.0,99.0655
2022-01-04,10000.0,0.0,10000.0,100.0,100.0,100.9669
2022-01-05,10000.0,0.0,10000.0,100.0,100.0,102.6004
2022-01-06,10000.0,0.0,10000.0,100.0,100.0,100.6607
2022-01-07,10000.0,0.0,10000.0,100.0,100.0,100.3034
2022-01-10,10000.0,0.0,10000.0,100.0,100.0,100.0737
2022-01-11,10000.0,0.0,10000.0,100.0,100.0,100.4948
2022-01-12,10000.0,0.0,10000.0,100.0,100.0,101.4263
2022-01-13,10000.0,0.0,10000.0,100.0,100.0,100.3927
2022-01-14,10000.0,0.0,10000.0,100.0,100.0,99.2187
2022-01-17,10000.0,0.0,10000.0,100.0,100.0,99.576
2022-01-18,10000.0,0.0,10000.0,100.0,100.0,98.4785
2022-01-19,10000.0,0.0,10000.0,100.0,100.0,99.895
2022-01-20,10000.0,0.0,10000.0,100.0,100.0,101.0052
2022-01-21,10000.0,0.0,10000.0,100.0,100.0,99.5122
2022-01-24,10000.0,0.0,10000.0,100.0,100.0,96.6537
2022-01-25,10000.0,0.0,10000.0,100.0,100.0,97.5342
2022-01-26,10000.0,0.0,10000.0,100.0,100.0,97.7128
2022-01-27,10000.0,0.0,10000.0,100.0,100.0,98.4402
2022-01-28,10000.0,0.0,10000.0,100.0,100.0,96.9599
2022-01-31,10000.0,0.0,10000.0,100.0,100.0,97.0748
2022-02-01,10000.0,0.0,10000.0,100.0,100.0,97.5086
2022-02-02,10000.0,0.0,10000.0,100.0,100.0,98.7592
2022-02-03,10000.0,0.0,10000.0,100.0,100.0,96.8323
2022-02-04,10000.0,0.0,10000.0,100.0,100.0,94.446
2022-02-07,10000.0,0.0,10000.0,100.0,100.0,93.961
2022-02-08,10000.0,0.0,10000.0,100.0,100.0,93.5272
2022-02-09,10000.0,0.0,10000.0,100.0,100.0,93.5527
2022-02-10,10000.0,0.0,10000.0,100.0,100.0,94.9181
2022-02-11,10000.0,0.0,10000.0,100.0,100.0,92.1617
2022-02-14,10000.0,0.0,10000.0,100.0,100.0,91.1663
2022-02-15,10000.0,0.0,10000.0,100.0,100.0,92.6977
2022-02-16,10000.0,0.0,10000.0,100.0,100.0,95.1734
2022-02-17,10000.0,0.0,10000.0,100.0,100.0,96.3984
2022-02-18,10000.0,0.0,10000.0,100.0,100.0,96.6664
2022-02-21,10000.0,0.0,10000.0,100.0,100.0,94.0759
2022-02-22,10000.0,0.0,10000.0,100.0,100.0,93.9483
2022-02-23,10000.0,0.0,10000.0,100.0,100.0,95.084
2022-02-24,10000.0,0.0,10000.0,100.0,100.0,92.736
2022-02-25,10000.0,0.0,10000.0,100.0,100.0,94.9181
2022-02-28,10000.0,0.0,10000.0,100.0,100.0,95.3648
2022-03-01,10000.0,0.0,10000.0,100.0,100.0,94.8926
2022-03-02,10000.0,0.0,10000.0,100.0,100.0,95.4413
2022-03-03,10000.0,0.0,10000.0,100.0,100.0,94.6119
2022-03-04,10000.0,0.0,10000.0,100.0,100.0,91.881
2022-03-07,9103.01,900.81,10003.82,100.0382,100.0,90.5666
2022-03-08,9103.01,878.1,9981.11,99.8111,99.7742,88.2951
2022-03-09,9103.01,931.44,10034.45,100.3445,100.3044,93.6292
2022-03-10,9103.01,905.79,10008.8,100.088,100.0494,91.0642
