DATE,TICKER,EXECUTION,CLOSE_AJUSTE,CLOSE_REEL,VAL_120,S_120,ECART_S,TAUX_120,TAUX_20,SOUS_BAS,AU_DESSUS,SEUIL_FRANCHI,SIGNAL
2022-01-07,AI.PA,2022-01-10,107.1354,142.5972,103.7361,3.0495,1.1147,0.0347,0.1582,non,oui,non,au-dessus du bord haut
2022-01-07,KER.PA,2022-01-10,627.506,627.506,588.6202,39.3398,0.9885,-0.0332,0.2838,non,non,non,dans la bande
2022-01-07,ORA.PA,2022-01-10,7.1139,7.1139,7.0164,0.1272,0.7666,0.0103,0.1908,non,non,non,dans la bande
2022-01-07,SAF.PA,2022-01-10,106.9822,106.9822,103.5255,5.1851,0.6667,-0.0132,0.6862,non,non,non,dans la bande
2022-01-07,ENGI.PA,2022-01-10,8.954,8.954,8.935,0.238,0.0798,0.1222,0.1678,non,non,non,dans la bande
2022-01-14,AI.PA,2022-01-17,105.9712,141.0477,104.6009,3.0762,0.4454,0.0449,0.2772,non,non,non,dans la bande
2022-01-14,KER.PA,2022-01-17,584.9725,584.9725,594.736,38.2395,-0.2553,-0.0105,0.1209,non,non,non,dans la bande
2022-01-14,ORA.PA,2022-01-17,7.5198,7.5198,7.0803,0.1438,3.055,0.0213,0.287,non,oui,non,au-dessus du bord haut
2022-01-14,SAF.PA,2022-01-17,107.5926,107.5926,104.2972,5.1192,0.6437,0.0009,0.526,non,non,non,dans la bande
2022-01-14,ENGI.PA,2022-01-17,9.3838,9.3838,9.0311,0.2446,1.4422,0.128,0.3953,non,oui,non,au-dessus du bord haut
2022-01-21,AI.PA,2022-01-24,106.2862,141.467,105.1773,3.0906,0.3588,0.0499,0.0842,non,non,non,dans la bande
2022-01-21,KER.PA,2022-01-24,587.8732,587.8732,601.263,33.9657,-0.3942,0.018,-0.2714,non,non,non,dans la bande
2022-01-21,ORA.PA,2022-01-24,7.4669,7.4669,7.1554,0.1634,1.9069,0.0335,0.3848,non,oui,non,au-dessus du bord haut
2022-01-21,SAF.PA,2022-01-24,106.0093,106.0093,104.8642,5.1238,0.2235,0.0092,0.2856,non,non,non,dans la bande
2022-01-21,ENGI.PA,2022-01-24,9.1541,9.1541,9.1143,0.2474,0.1606,0.1315,0.3318,non,non,non,dans la bande
2022-01-28,AI.PA,2022-01-31,103.5469,137.8209,105.4297,3.0634,-0.6146,0.0522,-0.191,non,non,non,dans la bande
2022-01-28,KER.PA,2022-01-31,569.4142,569.4142,605.819,26.4113,-1.3784,0.0452,-0.6096,oui,non,non,"sous le bord bas, pente courte négative"
2022-01-28,ORA.PA,2022-01-31,7.9008,7.9008,7.2635,0.1925,3.3109,0.0519,0.4986,non,oui,non,au-dessus du bord haut
2022-01-28,SAF.PA,2022-01-31,99.1416,99.1416,104.4218,5.1829,-1.0188,0.0044,-0.2435,oui,non,non,"sous le bord bas, pente courte négative"
2022-01-28,ENGI.PA,2022-01-31,9.1622,9.1622,9.1656,0.2476,-0.0137,0.132,0.0772,non,non,non,dans la bande
2022-02-04,AI.PA,2022-02-07,100.8486,134.2295,105.6953,2.9895,-1.6212,0.0562,-0.2439,oui,non,non,"sous le bord bas, pente courte négative"
2022-02-04,KER.PA,2022-02-07,573.2819,573.2819,607.0804,24.0887,-1.4031,0.0527,-0.333,oui,non,non,"sous le bord bas, pente courte négative"
2022-02-04,ORA.PA,2022-02-07,7.9113,7.9113,7.3947,0.2127,2.4297,0.0751,0.4325,non,oui,non,au-dessus du bord haut
2022-02-04,SAF.PA,2022-02-07,101.2592,101.2592,104.0037,5.1546,-0.5325,-0.0038,-0.2857,non,non,non,dans la bande
2022-02-04,ENGI.PA,2022-02-07,9.5311,9.5311,9.2774,0.2384,1.0644,0.1436,0.0727,non,oui,non,au-dessus du bord haut
2022-02-11,AI.PA,2022-02-14,98.3969,130.9663,105.3964,3.0885,-2.2663,0.0535,-0.3719,oui,non,non,"sous le bord bas, pente courte négative"
2022-02-11,KER.PA,2022-02-14,544.8023,544.8023,602.3747,25.6547,-2.2441,0.0426,-0.3171,oui,non,non,"sous le bord bas, pente courte négative"
2022-02-11,ORA.PA,2022-02-14,8.2388,8.2388,7.5669,0.2383,2.8197,0.1052,0.5261,non,oui,non,au-dessus du bord haut
2022-02-11,SAF.PA,2022-02-14,109.7101,109.7101,104.1316,5.1656,1.0799,-0.0054,0.0404,non,oui,non,au-dessus du bord haut
2022-02-11,ENGI.PA,2022-02-14,9.8244,9.8244,9.437,0.2303,1.6821,0.1618,0.3795,non,oui,non,au-dessus du bord haut
2022-02-18,AI.PA,2022-02-21,103.2319,137.4016,105.3575,3.0732,-0.6917,0.0552,-0.2326,non,non,non,dans la bande
2022-02-18,KER.PA,2022-02-21,585.9395,585.9395,599.543,26.4483,-0.5143,0.0384,-0.1361,non,non,non,dans la bande
2022-02-18,ORA.PA,2022-02-21,8.3082,8.3082,7.7373,0.2546,2.2423,0.1325,0.478,non,oui,non,au-dessus du bord haut
2022-02-18,SAF.PA,2022-02-21,108.2031,108.2031,104.5942,5.206,0.6932,-0.0029,0.4985,non,non,non,dans la bande
2022-02-18,ENGI.PA,2022-02-21,9.7852,9.7852,9.5704,0.2163,0.9931,0.1745,0.4894,non,non,non,dans la bande
2022-02-25,AI.PA,2022-02-28,101.3554,134.9041,105.2123,3.098,-1.245,0.0546,-0.1387,oui,non,non,"sous le bord bas, pente courte négative"
2022-02-25,KER.PA,2022-02-28,561.3275,561.3275,597.8341,26.3833,-1.3837,0.0393,-0.1951,oui,non,non,"sous le bord bas, pente courte négative"
2022-02-25,ORA.PA,2022-02-28,8.2176,8.2176,7.8852,0.2594,1.2815,0.1533,0.3028,non,oui,non,au-dessus du bord haut
2022-02-25,SAF.PA,2022-02-28,109.2523,109.2523,104.3811,5.0624,0.9622,-0.0115,0.2515,non,non,non,dans la bande
2022-02-25,ENGI.PA,2022-02-28,9.742,9.742,9.6716,0.2102,0.3347,0.1802,0.1745,non,non,non,dans la bande
2022-03-04,AI.PA,2022-03-07,98.0956,130.5652,104.9686,3.1833,-2.1591,0.0507,0.0528,oui,non,non,candidate à l'achat
2022-03-04,KER.PA,2022-03-07,491.0076,491.0076,587.8612,29.2372,-3.3127,0.0145,-0.3205,oui,non,non,"sous le bord bas, pente courte négative"
2022-03-04,ORA.PA,2022-03-07,7.8691,7.8691,7.9884,0.2558,-0.4664,0.164,-0.0381,non,non,non,dans la bande
2022-03-04,SAF.PA,2022-03-07,92.522,92.522,103.1865,5.0378,-2.1169,-0.0311,-0.3759,oui,non,non,"sous le bord bas, pente courte négative"
2022-03-04,ENGI.PA,2022-03-07,7.2524,7.2524,9.5235,0.3927,-5.7836,0.15,-0.9867,oui,non,non,"sous le bord bas, pente courte négative"
2022-03-11,AI.PA,2022-03-14,98.4517,131.0392,103.9485,3.523,-1.5602,0.0348,-0.1696,oui,non,non,"sous le bord bas, pente courte négative"
2022-03-11,KER.PA,2022-03-14,489.6892,489.6892,570.1541,34.5414,-2.3295,-0.0282,-0.9325,oui,non,non,"sous le bord bas, pente courte négative"
2022-03-11,ORA.PA,2022-03-14,7.9159,7.9159,8.0389,0.2546,-0.4835,0.1646,-0.3045,non,non,non,dans la bande
2022-03-11,SAF.PA,2022-03-14,99.3324,99.3324,101.632,5.26,-0.4372,-0.0498,-0.8574,non,non,non,dans la bande
2022-03-11,ENGI.PA,2022-03-14,7.4808,7.4808,9.2196,0.5831,-2.9821,0.0969,-1.9081,oui,non,non,"sous le bord bas, pente courte négative"
2022-03-18,AI.PA,2022-03-21,104.4646,139.0423,103.6332,3.4297,0.2424,0.0247,0.0852,non,non,non,dans la bande
2022-03-18,KER.PA,2022-03-21,531.3536,531.3536,555.801,34.5155,-0.7083,-0.0663,-0.7337,non,non,non,dans la bande
2022-03-18,ORA.PA,2022-03-21,7.9536,7.9536,8.1074,0.2505,-0.614,0.168,-0.2163,non,non,non,dans la bande
2022-03-18,SAF.PA,2022-03-21,101.6216,101.6216,101.2024,5.2485,0.0799,-0.0533,-0.4118,non,non,non,dans la bande
2022-03-18,ENGI.PA,2022-03-21,8.158,8.158,9.0233,0.6238,-1.3873,0.0581,-1.396,oui,non,non,"sous le bord bas, pente courte négative"
2022-03-25,AI.PA,2022-03-28,108.0668,143.8369,103.6152,3.276,1.3588,0.0173,0.4046,non,oui,non,au-dessus du bord haut
2022-03-25,KER.PA,2022-03-28,511.8399,511.8399,542.7875,32.874,-0.9414,-0.1007,-0.1122,non,non,non,dans la bande
2022-03-25,ORA.PA,2022-03-28,8.1482,8.1482,8.1759,0.2472,-0.1117,0.1708,0.0358,non,non,non,dans la bande
2022-03-25,SAF.PA,2022-03-28,99.6376,99.6376,100.5867,5.2314,-0.1814,-0.0586,0.0391,non,non,non,dans la bande
2022-03-25,ENGI.PA,2022-03-28,7.9728,7.9728,8.8528,0.6355,-1.3849,0.0237,0.0172,oui,non,non,candidate à l'achat
2022-04-01,AI.PA,2022-04-04,109.1625,145.2953,104.085,3.234,1.5701,0.0163,0.7243,non,oui,non,au-dessus du bord haut
2022-04-01,KER.PA,2022-04-04,505.687,505.687,531.6493,31.6337,-0.8207,-0.127,0.3383,non,non,non,dans la bande
2022-04-01,ORA.PA,2022-04-04,8.1316,8.1316,8.2434,0.2438,-0.4585,0.1733,0.2193,non,non,non,dans la bande
2022-04-01,SAF.PA,2022-04-04,102.0413,102.0413,100.6854,5.2437,0.2586,-0.0526,0.4031,non,non,non,dans la bande
2022-04-01,ENGI.PA,2022-04-04,8.0593,8.0593,8.6714,0.625,-0.9792,-0.0133,0.6472,non,non,non,dans la bande
2022-04-08,AI.PA,2022-04-11,111.0938,147.8658,104.8153,3.3505,1.8739,0.0198,0.4787,non,oui,non,au-dessus du bord haut
2022-04-08,KER.PA,2022-04-11,484.5911,484.5911,518.3468,30.1204,-1.1207,-0.1582,-0.1844,oui,non,non,"sous le bord bas, pente courte négative"
2022-04-08,ORA.PA,2022-04-11,8.3263,8.3263,8.3123,0.239,0.0586,0.1764,0.1364,non,non,non,dans la bande
2022-04-08,SAF.PA,2022-04-11,97.0051,97.0051,99.8802,5.2653,-0.5461,-0.0605,-0.1291,non,non,non,dans la bande
2022-04-08,ENGI.PA,2022-04-11,7.8485,7.8485,8.4821,0.6151,-1.0302,-0.0487,-0.0251,oui,non,non,"sous le bord bas, pente courte négative"
2022-04-14,AI.PA,2022-04-19,111.5594,148.4856,105.4727,3.4666,1.7558,0.0233,0.372,non,oui,non,au-dessus du bord haut
2022-04-14,KER.PA,2022-04-19,469.2086,469.2086,504.3633,28.808,-1.2203,-0.1908,-0.6519,oui,non,non,"sous le bord bas, pente courte négative"
2022-04-14,ORA.PA,2022-04-19,8.4938,8.4938,8.3868,0.2363,0.4527,0.1809,0.2591,non,non,non,dans la bande
2022-04-14,SAF.PA,2022-04-19,99.0844,99.0844,99.2998,5.26,-0.0409,-0.0654,-0.2016,non,non,non,dans la bande
2022-04-14,ENGI.PA,2022-04-19,7.8755,7.8755,8.3311,0.6082,-0.7491,-0.0748,-0.2618,non,non,non,dans la bande
