DATE,TICKER,SOUS_BAS,TAUX_20_POSITIF,AU_DESSUS_HAUT,SOUS_ECHANTILLON,RENDEMENT_20
2022-01-07,AI.PA,non,oui,oui,oui,-5.8681
2022-01-07,KER.PA,non,oui,non,oui,-8.6412
2022-01-07,ORA.PA,non,oui,non,oui,11.2101
2022-01-07,SAF.PA,non,oui,non,oui,-5.3495
2022-01-07,ENGI.PA,non,oui,non,oui,6.4453
2022-01-14,AI.PA,non,oui,non,non,-7.1475
2022-01-14,KER.PA,non,oui,non,non,-6.867
2022-01-14,ORA.PA,non,oui,oui,non,9.5616
2022-01-14,SAF.PA,non,oui,non,non,1.9681
2022-01-14,ENGI.PA,non,oui,oui,non,4.6954
2022-01-21,AI.PA,non,oui,non,non,-2.8737
2022-01-21,KER.PA,non,non,non,non,-0.3289
2022-01-21,ORA.PA,non,oui,oui,non,11.2661
2022-01-21,SAF.PA,non,oui,non,non,2.0694
2022-01-21,ENGI.PA,non,oui,non,non,6.895
2022-01-28,AI.PA,non,non,non,non,-2.1164
2022-01-28,KER.PA,oui,non,non,non,-1.4202
2022-01-28,ORA.PA,non,oui,oui,non,4.0107
2022-01-28,SAF.PA,oui,non,non,non,10.1982
2022-01-28,ENGI.PA,non,oui,non,non,6.3284
2022-02-04,AI.PA,oui,non,non,oui,-2.7299
2022-02-04,KER.PA,oui,non,non,oui,-14.3514
2022-02-04,ORA.PA,non,oui,oui,oui,-0.534
2022-02-04,SAF.PA,non,non,non,oui,-8.6285
2022-02-04,ENGI.PA,non,oui,oui,oui,-23.9081
2022-02-11,AI.PA,oui,non,non,non,0.0557
2022-02-11,KER.PA,oui,non,non,non,-10.1162
2022-02-11,ORA.PA,non,oui,oui,non,-3.9194
2022-02-11,SAF.PA,non,oui,oui,non,-9.4592
2022-02-11,ENGI.PA,non,oui,oui,non,-23.8547
2022-02-18,AI.PA,non,non,non,non,1.1941
2022-02-18,KER.PA,non,non,non,non,-9.316
2022-02-18,ORA.PA,non,oui,oui,non,-4.2681
2022-02-18,SAF.PA,non,oui,non,non,-6.0825
2022-02-18,ENGI.PA,non,oui,non,non,-16.6298
2022-02-25,AI.PA,oui,non,non,non,6.6216
2022-02-25,KER.PA,oui,non,non,non,-8.8162
2022-02-25,ORA.PA,non,oui,oui,non,-0.8447
2022-02-25,SAF.PA,non,oui,non,non,-8.8004
2022-02-25,ENGI.PA,non,oui,non,non,-18.1604
2022-03-04,AI.PA,oui,oui,non,oui,11.2818
2022-03-04,KER.PA,oui,non,non,oui,2.9896
2022-03-04,ORA.PA,non,non,non,oui,3.3365
2022-03-04,SAF.PA,oui,non,non,oui,10.2887
2022-03-04,ENGI.PA,oui,non,non,oui,11.1256
2022-03-11,AI.PA,oui,non,non,non,12.8408
2022-03-11,KER.PA,oui,non,non,non,-1.0411
2022-03-11,ORA.PA,non,non,non,non,5.1849
2022-03-11,SAF.PA,non,non,non,non,-2.343
2022-03-11,ENGI.PA,oui,non,non,non,4.9142
2022-03-18,AI.PA,non,oui,non,non,5.4805
2022-03-18,KER.PA,non,non,non,non,-12.3408
2022-03-18,ORA.PA,non,non,non,non,5.9571
2022-03-18,SAF.PA,non,non,non,non,-3.5104
2022-03-18,ENGI.PA,oui,non,non,non,-3.1975
2022-03-25,AI.PA,non,oui,oui,non,2.1166
2022-03-25,KER.PA,non,non,non,non,-12.8628
2022-03-25,ORA.PA,non,oui,non,non,4.1667
2022-03-25,SAF.PA,non,oui,non,non,0.7084
2022-03-25,ENGI.PA,oui,oui,non,non,4.3609
2022-04-01,AI.PA,non,oui,oui,oui,2.8356
2022-04-01,KER.PA,non,oui,non,oui,-13.3135
2022-04-01,ORA.PA,non,oui,non,oui,6.2906
2022-04-01,SAF.PA,non,oui,non,oui,-6.0759
2022-04-01,ENGI.PA,non,oui,non,oui,2.3569
2022-04-08,AI.PA,non,oui,oui,non,-2.8233
2022-04-08,KER.PA,oui,non,non,non,-18.285
2022-04-08,ORA.PA,non,oui,non,non,6.216
2022-04-08,SAF.PA,non,non,non,non,-8.8889
2022-04-08,ENGI.PA,oui,non,non,non,1.7908
2022-04-14,AI.PA,non,oui,oui,non,-0.1444
2022-04-14,KER.PA,oui,non,non,non,-12.2048
2022-04-14,ORA.PA,non,oui,non,non,4.1215
2022-04-14,SAF.PA,non,non,non,non,-7.1236
2022-04-14,ENGI.PA,non,non,non,non,7.3673
2022-04-22,AI.PA,non,oui,oui,non,1.7673
2022-04-22,KER.PA,oui,non,non,non,-13.4406
2022-04-22,ORA.PA,non,oui,non,non,4.286
2022-04-22,SAF.PA,non,non,non,non,-10.2375
2022-04-22,ENGI.PA,non,non,non,non,12.5935
2022-04-29,AI.PA,non,oui,oui,oui,2.0152
2022-04-29,KER.PA,non,non,non,oui,-3.0627
2022-04-29,ORA.PA,non,oui,non,oui,3.4105
2022-04-29,SAF.PA,non,oui,non,oui,-3.5278
2022-04-29,ENGI.PA,non,oui,non,oui,12.171
2022-05-06,AI.PA,non,oui,non,non,2.4386
2022-05-06,KER.PA,oui,non,non,non,13.7803
2022-05-06,ORA.PA,non,oui,non,non,-0.1555
2022-05-06,SAF.PA,oui,non,non,non,1.314
2022-05-06,ENGI.PA,non,oui,non,non,11.995
2022-05-13,AI.PA,non,non,non,non,-4.0552
2022-05-13,KER.PA,oui,non,non,non,10.9324
2022-05-13,ORA.PA,non,oui,non,non,-4.0652
2022-05-13,SAF.PA,oui,non,non,non,-4.5571
2022-05-13,ENGI.PA,non,oui,non,non,7.9049
2022-05-20,AI.PA,non,oui,non,non,-11.1042
2022-05-20,KER.PA,non,non,non,non,6.9946
2022-05-20,ORA.PA,non,oui,non,non,-2.1528
2022-05-20,SAF.PA,oui,non,non,non,-4.5949
2022-05-20,ENGI.PA,non,oui,oui,non,-10.9793
2022-05-27,AI.PA,non,oui,oui,oui,-10.425
