TICKER,ACHAT,SORTIE,MOTIF,TRANCHES,QUANTITE,PRIX_ACHAT,PRIX_SORTIE,SEUIL_REGLE_4,SEANCES,PLUS_VALUE,REPLI_CLOTURE,REPLI_LOW,CONTRIBUTION
AI.PA,2022-03-07,2022-03-28,VENTE,1,7,127.6119,144.8213,126.3283,16,13.4857,-1.7,-2.2143,115.5928
ENGI.PA,2022-03-28,2022-05-23,VENTE,1,126,7.9742,9.3266,7.3373,39,16.96,-2.983,-6.2712,164.8831
ORA.PA,2022-07-11,2022-10-31,VENTE,2,251,8.1027,7.4901,8.0818,81,-7.5598,-12.0265,-12.3834,-164.3507
SAF.PA,2023-03-13,2023-07-31,VENTE,2,15,125.1348,145.8035,124.8915,98,16.5172,-2.6006,-4.1174,299.7258
KER.PA,2023-04-11,2023-07-24,VENTE,2,4,490.5027,493.9673,475.8916,74,0.7063,-11.1744,-11.4359,3.444
AI.PA,2023-06-26,2023-09-18,VENTE,2,12,148.0906,158.4208,147.1852,61,6.9756,-1.219,-1.9082,114.4007
ENGI.PA,2023-06-26,2023-11-20,VENTE,1,88,11.3573,12.4432,10.9424,106,9.5607,-1.4221,-2.6753,90.1468
ORA.PA,2023-07-10,2023-09-11,VENTE,2,346,8.7301,9.081,8.2516,46,4.0197,-3.2486,-4.3034,105.2712
SAF.PA,2023-10-23,2023-11-20,VENTE,2,21,142.4864,155.1546,137.4812,21,8.8908,-0.3623,-1.5037,249.8677
ORA.PA,2023-12-18,2024-04-22,VENTE,2,242,9.0089,9.3673,8.8873,86,3.9781,-1.6622,-1.8722,75.0748
SAF.PA,2024-05-06,2024-09-16,VENTE,2,10,196.8292,198.0164,194.2997,96,0.6032,-6.203,-8.24,1.4268
ENGI.PA,2024-07-15,2024-08-19,VENTE,1,90,12.2466,13.6711,11.6564,26,11.6321,-0.5011,-1.3601,122.2188
AI.PA,2024-12-16,2025-01-27,VENTE,2,14,150.9863,156.7565,149.528,28,3.8217,-1.758,-2.2802,69.4865
ORA.PA,2025-06-09,2025-08-04,VENTE,1,92,12.1298,13.1605,11.9023,41,8.4973,-1.3375,-1.7309,88.8007
ENGI.PA,2025-07-14,2025-10-20,VENTE,2,120,18.5106,18.6631,18.4069,71,0.8237,-10.7475,-11.5446,6.503
SAF.PA,2025-10-20,2026-01-12,VENTE,2,6,292.7606,313.0822,287.6369,58,6.9414,-4.5769,-4.9485,112.4799
KER.PA,2025-12-22,2026-04-07,VENTE,3,14,290.5752,263.3441,278.1403,72,-9.3714,-20.8404,-22.6952,-402.3577
ENGI.PA,2026-03-09,,ouverte,2,88,24.3369,24.3,24.4743,130,-0.1518,-2.2473,-3.8498,-12.1378
ORA.PA,2026-04-20,,ouverte,3,264,16.7222,15.515,16.1011,102,-7.219,-9.7007,-11.5246,-337.0126
SAF.PA,2026-04-27,2026-06-01,VENTE,1,4,268.8789,302.5,250.0497,25,12.5042,-2.4641,-3.4204,128.6297
AI.PA,2026-06-22,2026-07-06,VENTE,1,6,165.48,181.0,159.6787,11,9.3788,0.1329,-0.7372,87.7507
